topology,amplitude,sample,basis_nmse_x,basis_nmse_y,basis_nmse_2d,basis_R2_x,basis_R2_y,basis_R2_2d,selected_drive_channels,drive_smoothing_frames,selected_K,selected_filter_length_s,selected_svd_rank
topology_17_prestress,amp=1,sample_0,0.3188658862797614,0.5034847735453386,0.34215374396135545,0.6811341137202386,0.4965152264546614,0.6578462560386446,u,1,1,8.0,6
topology_17_prestress,amp=1,sample_1,0.3175655068340205,0.48568628576339223,0.3390436664973944,0.6824344931659795,0.5143137142366078,0.6609563335026056,u,1,1,8.0,6
topology_17_prestress,amp=1,sample_2,0.315588178418494,0.4830448887656224,0.33715754087206484,0.684411821581506,0.5169551112343775,0.6628424591279352,u,1,1,8.0,6
topology_17_prestress,amp=1,sample_3,0.31517806383612584,0.4744451503284954,0.33601953107997995,0.6848219361638741,0.5255548496715046,0.66398046892002,u,1,1,8.0,6
topology_17_prestress,amp=1,sample_4,0.3127548756751749,0.472025798283436,0.33344548971390575,0.6872451243248251,0.5279742017165641,0.6665545102860942,u,1,1,8.0,6
