topology,amplitude,sample,mode_index,coefficient_x,coefficient_y,q_norm_sq,c_mech_x,c_mech_y,c_mech_2d,dominant_drive_channel,dominant_frequency_hz,dominant_decay_time_s,dominant_phase,dominant_raw_feature_loading
topology_17_prestress,amp=1,sample_0,0,-990.2198199798729,43.72347697831162,1.000000000000002,0.23482374172933734,0.0031717322827207526,0.2056031180567023,u,5.91381623393926,1.0,cos,-0.32585799107245567
topology_17_prestress,amp=1,sample_0,1,245.7200335529121,-483.3135978986679,1.0000000000000007,0.014459720762198149,0.38754770507157593,0.06152110223835826,u,5.91381623393926,10.0,cos,-0.3583154475801404
topology_17_prestress,amp=1,sample_0,2,1104.7623806050676,-103.9508216389275,1.0,0.29229173065400654,0.017927634694111367,0.25768339716068395,u,5.91381623393926,0.5,cos,0.4153117199990261
topology_17_prestress,amp=1,sample_0,3,-92.64678690327268,60.88774194646949,0.9999999999999983,0.0020556042099564922,0.006150733042990642,0.002572164453948779,u,5.91381623393926,1.0,cos,-0.4149280015694179
topology_17_prestress,amp=1,sample_0,4,747.9190728750681,-214.47439913447448,0.9999999999999992,0.13396396439486757,0.07631643256308598,0.1266922949742709,u,5.91381623393926,2.0,sin,-0.46227144328536157
topology_17_prestress,amp=1,sample_0,5,-121.54550300012534,-57.05098397314262,0.9999999999999999,0.0035379897043696373,0.005399995771709889,0.0037728634647997217,u,5.91381623393926,0.5,cos,-0.49358134208095794
topology_17_prestress,amp=1,sample_1,0,-972.1605390158563,35.22734199451537,1.0000000000000009,0.2254584132296033,0.002021218956933036,0.19691334126475768,u,5.91381623393926,1.0,cos,-0.32597550741818415
topology_17_prestress,amp=1,sample_1,1,263.08384788757934,-496.24855464528173,1.0000000000000007,0.016511207654150286,0.4010995006201147,0.06564403236261636,u,5.91381623393926,10.0,cos,-0.3580903099929407
topology_17_prestress,amp=1,sample_1,2,1115.2574511935406,-113.53661059247028,1.0000000000000007,0.29671584298005316,0.020995463262270742,0.26149136700666625,u,5.91381623393926,0.5,cos,0.41558946127169927
topology_17_prestress,amp=1,sample_1,3,-105.19114956730222,79.79976653750964,1.0000000000000009,0.002639665348474233,0.010371864946014669,0.0036274874283066198,u,5.91381623393926,1.0,cos,-0.4153728106495359
topology_17_prestress,amp=1,sample_1,4,761.2704328725835,-213.5234415819747,0.9999999999999997,0.1382510357975712,0.07425825392064025,0.13007567998962777,u,5.91381623393926,2.0,sin,-0.46168011063309466
topology_17_prestress,amp=1,sample_1,5,-109.4352150267013,-58.460129365528786,1.0000000000000009,0.0028569632898716637,0.005566383905263376,0.0032031035406081217,u,5.91381623393926,0.5,cos,-0.4926941014851648
topology_17_prestress,amp=1,sample_2,0,-963.5503740160433,22.261845961730526,1.0000000000000002,0.2211387441278016,0.0007983965613308426,0.19275767292465196,u,5.91381623393926,1.0,sin,-0.32623986122152093
topology_17_prestress,amp=1,sample_2,1,270.40322848098714,-503.49952134824673,1.000000000000002,0.017415651891759937,0.40840818293231096,0.06777768038957727,u,5.91381623393926,10.0,cos,-0.35685390287940266
topology_17_prestress,amp=1,sample_2,2,-1116.5966791631158,126.03376115020319,1.0000000000000004,0.29696731612208244,0.025589989325303018,0.2620123960640739,u,5.91381623393926,0.5,cos,-0.4164000615349422
topology_17_prestress,amp=1,sample_2,3,-110.42135880908987,84.60305509561698,0.9999999999999998,0.0029041708666436208,0.011531037997570938,0.004015359684338927,u,5.91381623393926,1.0,cos,-0.4142043283685452
topology_17_prestress,amp=1,sample_2,4,-775.4084152993427,201.62930845624675,1.0,0.14321120869219622,0.06549431921841853,0.13320083792622836,u,5.91381623393926,2.0,sin,0.4624877255523149
topology_17_prestress,amp=1,sample_2,5,107.90590503364487,56.44189282337621,1.0,0.0027733610601170682,0.0051321512912893075,0.003077186456797981,u,5.91381623393926,0.5,cos,0.4948007767753413
topology_17_prestress,amp=1,sample_3,0,-954.5339229256443,13.752277712908255,0.9999999999999996,0.2159280110481762,0.0002976896274139835,0.1877109300451419,u,5.91381623393926,1.0,sin,-0.32600277572138386
topology_17_prestress,amp=1,sample_3,1,282.23566716958,-516.8882444147645,1.0000000000000007,0.018877741830476382,0.4205404208489413,0.07143875586172707,u,5.91381623393926,10.0,cos,-0.35549528021102234
topology_17_prestress,amp=1,sample_3,2,-1123.7840322238085,133.56728516466478,0.9999999999999993,0.29928983286655203,0.028081133375729452,0.26379984337046775,u,5.91381623393926,0.5,cos,-0.4170619731291172
topology_17_prestress,amp=1,sample_3,3,-109.74051217314778,82.76636558233844,1.0000000000000004,0.002854041050452344,0.010782567975024023,0.003891556947990843,u,5.91381623393926,1.0,cos,-0.41412758262144783
topology_17_prestress,amp=1,sample_3,4,-781.7960456653132,199.86415466792295,1.0,0.14484822869683742,0.06287590611920674,0.1341214456964706,u,5.91381623393926,2.0,sin,0.4640853075407773
topology_17_prestress,amp=1,sample_3,5,112.93672520861128,43.48256234766559,1.0000000000000009,0.0030227110302458253,0.002976080617592126,0.003016609039939523,u,5.91381623393926,0.5,cos,0.49672160415326483
topology_17_prestress,amp=1,sample_4,0,-955.2921929909234,11.226317143054867,1.0000000000000007,0.21646194198929491,0.0002002220259953132,0.18836775062130556,u,5.91381623393926,1.0,cos,-0.32605225633438883
topology_17_prestress,amp=1,sample_4,1,278.538188121621,-512.4923004787545,0.9999999999999987,0.01840257454832738,0.41726497135843404,0.07021810855674873,u,5.91381623393926,10.0,cos,-0.3560733557806946
topology_17_prestress,amp=1,sample_4,2,-1125.4819675585277,135.4268682690354,1.0000000000000002,0.3004596628599816,0.029137139215069243,0.2652126163506892,u,5.91381623393926,0.5,cos,-0.41579115173868353
topology_17_prestress,amp=1,sample_4,3,119.57655977890542,-91.85460961309839,1.0000000000000007,0.0033915732599743707,0.013404145991772651,0.004692289514616152,u,5.91381623393926,1.0,cos,0.4152975037688783
topology_17_prestress,amp=1,sample_4,4,-784.5470970921534,202.1571176968882,0.9999999999999998,0.14599807611984744,0.06492550131235048,0.13546607613518083,u,5.91381623393926,2.0,sin,0.4642920100730174
topology_17_prestress,amp=1,sample_4,5,103.27588814386814,43.752355060673366,1.0000000000000018,0.0025299210598995155,0.0030411658666502934,0.002596336001199273,u,5.91381623393926,0.5,cos,0.4964712041407258
