topology,amplitude,frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,number_drive_channels,K,filter_length_s,num_samples,selected_frequencies_hz,validation_nmse_x_mean,validation_nmse_x_std,validation_nmse_y_mean,validation_nmse_y_std,validation_nmse_2d_mean,validation_nmse_2d_std,condition_number_mean,condition_number_std
topology_17_prestress,amp=1,fft_prefix,fft_prefix_K1,nan,u,1,1,1.0,5,5.9138162,0.3871250811202095,0.004272825887571363,0.9245380578664939,0.01060560819107309,0.44494805044636676,0.003935312178754981,8.894153865482295,0.03798806284603812
topology_17_prestress,amp=1,fft_prefix,fft_prefix_K1,nan,u,1,1,2.0,5,5.9138162,0.37294535296343195,0.0024614710557243637,0.8814896269126364,0.014735171192431494,0.4276551212021433,0.001724753396392937,26.53516328083499,0.03540626901488347
topology_17_prestress,amp=1,fft_prefix,fft_prefix_K1,nan,u,1,1,3.0,5,5.9138162,0.357638200460387,0.0027731500307415415,0.7977020171499551,0.03037284202676538,0.40494502358080575,0.0017400807855510105,19.639559268381316,0.05482530093172938
topology_17_prestress,amp=1,fft_prefix,fft_prefix_K1,nan,u,1,1,5.0,5,5.9138162,0.43728881285552956,0.007154235119180256,0.8295540973601362,0.02895676971633765,0.47944570707731043,0.004157462245678864,20.137208096794456,0.11576120598444867
topology_17_prestress,amp=1,fft_prefix,fft_prefix_K1,nan,u,1,1,8.0,5,5.9138162,0.4087601782530439,0.0038735499926058556,0.6022292704601766,0.026032922495169832,0.42952772920064347,0.0025984206985625894,24.735729833592522,0.1536680473405045
topology_17_prestress,amp=1,fft_prefix,fft_prefix_K2,nan,u,1,2,1.0,5,5.9138162 0.20046835,0.34137461332861563,0.004244714516175579,0.9136059732049903,0.010150782315847439,0.4029466061554524,0.004025951836761174,11.975967390744142,0.057124897327467866
topology_17_prestress,amp=1,fft_prefix,fft_prefix_K2,nan,u,1,2,2.0,5,5.9138162 0.20046835,0.3549193434488927,0.0019677968951287007,0.8932341259105439,0.010732039147067262,0.4128429076926203,0.0017363600903435852,14.519966398635964,0.0075334237167168075
topology_17_prestress,amp=1,fft_prefix,fft_prefix_K2,nan,u,1,2,3.0,5,5.9138162 0.20046835,0.3990841492637031,0.002673668476107922,0.8565747285272645,0.029605992073007063,0.4482683053760157,0.0016659381881945633,18.422311795745145,0.03009385500976495
topology_17_prestress,amp=1,fft_prefix,fft_prefix_K2,nan,u,1,2,5.0,5,5.9138162 0.20046835,0.4144782951702073,0.007583830377686683,0.8006400340045884,0.0316514907029151,0.45596958877368143,0.00439789206927049,27.010524005818457,0.164700716734666
topology_17_prestress,amp=1,fft_prefix,fft_prefix_K2,nan,u,1,2,8.0,5,5.9138162 0.20046835,0.40445113734300786,0.005725385826193544,0.6128007975281153,0.02634824062321254,0.42681651669671455,0.0032790365846961564,30.555464430808843,0.11854208352705695
