topology,amplitude,sample,candidate_id,mode_index,raw_feature_name,drive_channel,frequency_hz,decay_time_s,phase,loading
topology_17_prestress,amp=1,sample_0,K1_L8,2,u_f=5.9138Hz_Td=100.000s_sin,u,5.91381623393926,100.0,sin,-0.3848424385400029
topology_17_prestress,amp=1,sample_0,K1_L8,3,u_f=5.9138Hz_Td=0.500s_cos,u,5.91381623393926,0.5,cos,-0.3811566941861871
topology_17_prestress,amp=1,sample_0,K1_L8,3,u_f=5.9138Hz_Td=0.500s_sin,u,5.91381623393926,0.5,sin,0.4000716572011983
topology_17_prestress,amp=1,sample_0,K1_L8,3,u_f=5.9138Hz_Td=1.000s_cos,u,5.91381623393926,1.0,cos,-0.4149280015694179
topology_17_prestress,amp=1,sample_0,K1_L8,3,u_f=5.9138Hz_Td=1.000s_sin,u,5.91381623393926,1.0,sin,0.374162494843153
topology_17_prestress,amp=1,sample_0,K1_L8,3,u_f=5.9138Hz_Td=2.000s_cos,u,5.91381623393926,2.0,cos,-0.23864958273321796
topology_17_prestress,amp=1,sample_0,K1_L8,3,u_f=5.9138Hz_Td=2.000s_sin,u,5.91381623393926,2.0,sin,0.21225485575915098
topology_17_prestress,amp=1,sample_0,K1_L8,3,u_f=5.9138Hz_Td=5.000s_cos,u,5.91381623393926,5.0,cos,0.07687579577619011
topology_17_prestress,amp=1,sample_0,K1_L8,3,u_f=5.9138Hz_Td=5.000s_sin,u,5.91381623393926,5.0,sin,-0.06481289652728493
topology_17_prestress,amp=1,sample_0,K1_L8,3,u_f=5.9138Hz_Td=10.000s_cos,u,5.91381623393926,10.0,cos,0.21326848959789296
topology_17_prestress,amp=1,sample_0,K1_L8,3,u_f=5.9138Hz_Td=10.000s_sin,u,5.91381623393926,10.0,sin,-0.1833850829842568
topology_17_prestress,amp=1,sample_0,K1_L8,3,u_f=5.9138Hz_Td=100.000s_cos,u,5.91381623393926,100.0,cos,0.3328566813158388
topology_17_prestress,amp=1,sample_0,K1_L8,3,u_f=5.9138Hz_Td=100.000s_sin,u,5.91381623393926,100.0,sin,-0.2836828691867742
topology_17_prestress,amp=1,sample_0,K1_L8,4,u_f=5.9138Hz_Td=0.500s_cos,u,5.91381623393926,0.5,cos,0.3731647488241792
topology_17_prestress,amp=1,sample_0,K1_L8,4,u_f=5.9138Hz_Td=0.500s_sin,u,5.91381623393926,0.5,sin,0.3919582177986487
topology_17_prestress,amp=1,sample_0,K1_L8,4,u_f=5.9138Hz_Td=1.000s_cos,u,5.91381623393926,1.0,cos,-0.1463259545411268
topology_17_prestress,amp=1,sample_0,K1_L8,4,u_f=5.9138Hz_Td=1.000s_sin,u,5.91381623393926,1.0,sin,-0.1395132237917358
topology_17_prestress,amp=1,sample_0,K1_L8,4,u_f=5.9138Hz_Td=2.000s_cos,u,5.91381623393926,2.0,cos,-0.36968744704256007
topology_17_prestress,amp=1,sample_0,K1_L8,4,u_f=5.9138Hz_Td=2.000s_sin,u,5.91381623393926,2.0,sin,-0.46227144328536157
topology_17_prestress,amp=1,sample_0,K1_L8,4,u_f=5.9138Hz_Td=5.000s_cos,u,5.91381623393926,5.0,cos,-0.12203001046729214
topology_17_prestress,amp=1,sample_0,K1_L8,4,u_f=5.9138Hz_Td=5.000s_sin,u,5.91381623393926,5.0,sin,-0.20440606722322344
topology_17_prestress,amp=1,sample_0,K1_L8,4,u_f=5.9138Hz_Td=10.000s_cos,u,5.91381623393926,10.0,cos,0.07652813412585402
topology_17_prestress,amp=1,sample_0,K1_L8,4,u_f=5.9138Hz_Td=10.000s_sin,u,5.91381623393926,10.0,sin,0.0765062872577063
topology_17_prestress,amp=1,sample_0,K1_L8,4,u_f=5.9138Hz_Td=100.000s_cos,u,5.91381623393926,100.0,cos,0.28773288782628337
topology_17_prestress,amp=1,sample_0,K1_L8,4,u_f=5.9138Hz_Td=100.000s_sin,u,5.91381623393926,100.0,sin,0.4058383416584415
topology_17_prestress,amp=1,sample_0,K1_L8,5,u_f=5.9138Hz_Td=0.500s_cos,u,5.91381623393926,0.5,cos,-0.49358134208095794
topology_17_prestress,amp=1,sample_0,K1_L8,5,u_f=5.9138Hz_Td=0.500s_sin,u,5.91381623393926,0.5,sin,0.454089641912087
topology_17_prestress,amp=1,sample_0,K1_L8,5,u_f=5.9138Hz_Td=1.000s_cos,u,5.91381623393926,1.0,cos,0.034219657126671466
topology_17_prestress,amp=1,sample_0,K1_L8,5,u_f=5.9138Hz_Td=1.000s_sin,u,5.91381623393926,1.0,sin,-0.015018171103110989
topology_17_prestress,amp=1,sample_0,K1_L8,5,u_f=5.9138Hz_Td=2.000s_cos,u,5.91381623393926,2.0,cos,0.4274522120798957
topology_17_prestress,amp=1,sample_0,K1_L8,5,u_f=5.9138Hz_Td=2.000s_sin,u,5.91381623393926,2.0,sin,-0.3297945868951907
topology_17_prestress,amp=1,sample_0,K1_L8,5,u_f=5.9138Hz_Td=5.000s_cos,u,5.91381623393926,5.0,cos,0.19857322415934348
topology_17_prestress,amp=1,sample_0,K1_L8,5,u_f=5.9138Hz_Td=5.000s_sin,u,5.91381623393926,5.0,sin,-0.1711939861907683
topology_17_prestress,amp=1,sample_0,K1_L8,5,u_f=5.9138Hz_Td=10.000s_cos,u,5.91381623393926,10.0,cos,-0.054422111054841515
topology_17_prestress,amp=1,sample_0,K1_L8,5,u_f=5.9138Hz_Td=10.000s_sin,u,5.91381623393926,10.0,sin,0.027513109764328282
topology_17_prestress,amp=1,sample_0,K1_L8,5,u_f=5.9138Hz_Td=100.000s_cos,u,5.91381623393926,100.0,cos,-0.3436391229770329
topology_17_prestress,amp=1,sample_0,K1_L8,5,u_f=5.9138Hz_Td=100.000s_sin,u,5.91381623393926,100.0,sin,0.2583764149865127
topology_17_prestress,amp=1,sample_1,K1_L8,0,u_f=5.9138Hz_Td=0.500s_cos,u,5.91381623393926,0.5,cos,-0.32068212641332916
topology_17_prestress,amp=1,sample_1,K1_L8,0,u_f=5.9138Hz_Td=0.500s_sin,u,5.91381623393926,0.5,sin,-0.31446260205392396
topology_17_prestress,amp=1,sample_1,K1_L8,0,u_f=5.9138Hz_Td=1.000s_cos,u,5.91381623393926,1.0,cos,-0.32597550741818415
topology_17_prestress,amp=1,sample_1,K1_L8,0,u_f=5.9138Hz_Td=1.000s_sin,u,5.91381623393926,1.0,sin,-0.3258821463303642
topology_17_prestress,amp=1,sample_1,K1_L8,0,u_f=5.9138Hz_Td=2.000s_cos,u,5.91381623393926,2.0,cos,-0.30937407240172266
topology_17_prestress,amp=1,sample_1,K1_L8,0,u_f=5.9138Hz_Td=2.000s_sin,u,5.91381623393926,2.0,sin,-0.31757863328847535
topology_17_prestress,amp=1,sample_1,K1_L8,0,u_f=5.9138Hz_Td=5.000s_cos,u,5.91381623393926,5.0,cos,-0.2691395651472329
topology_17_prestress,amp=1,sample_1,K1_L8,0,u_f=5.9138Hz_Td=5.000s_sin,u,5.91381623393926,5.0,sin,-0.2808960473321711
topology_17_prestress,amp=1,sample_1,K1_L8,0,u_f=5.9138Hz_Td=10.000s_cos,u,5.91381623393926,10.0,cos,-0.24852718546648642
topology_17_prestress,amp=1,sample_1,K1_L8,0,u_f=5.9138Hz_Td=10.000s_sin,u,5.91381623393926,10.0,sin,-0.25944928130446276
topology_17_prestress,amp=1,sample_1,K1_L8,0,u_f=5.9138Hz_Td=100.000s_cos,u,5.91381623393926,100.0,cos,-0.22859014339829775
topology_17_prestress,amp=1,sample_1,K1_L8,0,u_f=5.9138Hz_Td=100.000s_sin,u,5.91381623393926,100.0,sin,-0.23785856280706819
topology_17_prestress,amp=1,sample_1,K1_L8,1,u_f=5.9138Hz_Td=0.500s_cos,u,5.91381623393926,0.5,cos,-0.11243646078481023
topology_17_prestress,amp=1,sample_1,K1_L8,1,u_f=5.9138Hz_Td=0.500s_sin,u,5.91381623393926,0.5,sin,0.14449932065892002
topology_17_prestress,amp=1,sample_1,K1_L8,1,u_f=5.9138Hz_Td=1.000s_cos,u,5.91381623393926,1.0,cos,-0.20934200070204728
topology_17_prestress,amp=1,sample_1,K1_L8,1,u_f=5.9138Hz_Td=1.000s_sin,u,5.91381623393926,1.0,sin,0.2110075203779032
topology_17_prestress,amp=1,sample_1,K1_L8,1,u_f=5.9138Hz_Td=2.000s_cos,u,5.91381623393926,2.0,cos,-0.29917331064691405
topology_17_prestress,amp=1,sample_1,K1_L8,1,u_f=5.9138Hz_Td=2.000s_sin,u,5.91381623393926,2.0,sin,0.28408145257912254
topology_17_prestress,amp=1,sample_1,K1_L8,1,u_f=5.9138Hz_Td=5.000s_cos,u,5.91381623393926,5.0,cos,-0.35121176274194366
