sample,source,n,raw_min,raw_max,mean,variance,skew,excess_kurtosis,ks_p,chi2_p,runs_p,max_abs_acf_lag1_to_max,significant_acf_lags,verdict
sample_0,actuation,899,-229.25096287634324,246.14078177783642,-0.09899864967702245,0.14549155067040645,0.23465887631526466,-0.26086538837041706,6.262565883862606e-32,9.406620932578395e-80,2.6017664382851908e-154,0.9830255668460829,53,not_iid_uniform
sample_1,actuation,899,-228.06046939055955,244.55857223548298,-0.10742834248014617,0.14773665316174903,0.2525436126414193,-0.253049412207635,2.188759831304046e-32,4.672772749082212e-79,7.501722423637533e-156,0.9831156735662304,53,not_iid_uniform
sample_2,actuation,899,-230.6490158010945,240.00247569354133,-0.0981326974735966,0.14815196710683926,0.2501303922211118,-0.26558598523503196,2.294146385338915e-30,4.876805148198216e-79,2.6017664382851908e-154,0.983079794571448,53,not_iid_uniform
sample_3,actuation,899,-231.37006685358665,243.50337972496027,-0.10348152580115128,0.1457751215901151,0.2516087690378575,-0.2647304970065698,1.9842051287363707e-32,4.199253697165119e-79,7.501722423637533e-156,0.9831093925423684,53,not_iid_uniform
sample_4,actuation,899,-230.55025983115456,243.02339593925103,-0.10492878400332051,0.14659582869112364,0.2520804961274798,-0.26524951339035274,1.1099751743530884e-32,1.6397868608117e-79,2.6017664382851908e-154,0.9831138040164039,53,not_iid_uniform
