H,D,horizon_steps,lag_stride_frames,readout_time_delays,target_time_delays,number_of_terms,num_topology_sample_pairs,overparameterized_fraction,condition_warning,selected_alpha,selected_alpha_std_across_samples,min_training_rows_per_fold,min_training_rows_per_fold_std_across_samples,terms_per_training_row,terms_per_training_row_std_across_samples,train_nmse_x_mean,train_nmse_x_mean_std_across_samples,val_nmse_x_mean,val_nmse_x_mean_std_across_samples,train_nmse_y_mean,train_nmse_y_mean_std_across_samples,val_nmse_y_mean,val_nmse_y_mean_std_across_samples,train_nmse_2d_mean,train_nmse_2d_mean_std_across_samples,val_nmse_2d_mean,val_nmse_2d_mean_std_across_samples,train_validation_gap_2d,train_validation_gap_2d_std_across_samples
21,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",22,5,0.0,,0.01,0.0,432.0,0.0,0.050925925925925916,6.938893903907228e-18,0.29200834335976567,0.003029905979046922,0.42975656440647325,0.00381786345936482,0.7650855471105485,0.002500542344988721,0.8382519571232354,0.003547185853461398,0.35482507115684986,0.003099542989835257,0.4844041907726214,0.00327601487489185,0.12957911961577162,0.0027594046317791594
22,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",23,5,0.0,,0.01,0.0,432.0,0.0,0.05324074074074074,0.0,0.288242621275128,0.0027659539868580205,0.4247643348410824,0.0036119941528178407,0.7526724608620687,0.002331838846363337,0.8278515320806548,0.004444045713348043,0.3498453025938943,0.0027823358239642704,0.47808236908234675,0.003165576592265681,0.12823706648845243,0.0027943988411557354
23,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",24,5,0.0,,0.01,0.0,431.0,0.0,0.05568445475638051,0.0,0.2879341597575868,0.0027996208368502667,0.4252055390756497,0.003470414880400682,0.748502870732213,0.0026342950217962736,0.8266346290375747,0.004409393146291423,0.34899055873181994,0.002953286352187489,0.4780120936910334,0.0031184940409886633,0.12902153495921348,0.0030161898932348974
24,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",25,5,0.0,,0.01,0.0,430.0,0.0,0.058139534883720936,6.938893903907228e-18,0.28544105776227363,0.002458994903766877,0.42279707886768314,0.003389940871354683,0.7315567740976187,0.00224808862225555,0.810262331433669,0.00363719175151929,0.34442969423476094,0.0025157980291735734,0.472821824652163,0.00298701761539396,0.12839213041740205,0.0028075431336917617
25,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",26,5,0.0,,0.01,0.0,429.0,0.0,0.06060606060606061,0.0,0.2840599835137705,0.0026864029704165553,0.42389229883760393,0.0037409172733129667,0.7303794560198839,0.0021325683172288543,0.8122369462671045,0.00370926241865085,0.3429942095116586,0.0027902479473192465,0.47397659514918333,0.0031645628450157714,0.13098238563752473,0.003943353800894809
26,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",27,5,0.0,,0.01,0.0,429.0,0.0,0.06293706293706294,0.0,0.28392951833157765,0.002429030181521214,0.42738023943876025,0.004339901850696335,0.7253353709796542,0.002315348061781901,0.8071689980770275,0.003654445311395459,0.3421970770407664,0.002558390963550542,0.4759306385851888,0.003774515546478505,0.1337335615444224,0.004825368276335153
27,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",28,5,0.0,,0.01,0.0,428.0,0.0,0.06542056074766354,0.0,0.28152673462242783,0.0014675487565879754,0.4178644261904646,0.00469940765973598,0.7153314818586233,0.0021514823734724896,0.7876968193718248,0.00820335304477459,0.33863485886941885,0.001604050456607745,0.4646776562210932,0.0044618259420788646,0.1260427973516744,0.005246218628078747
28,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]",29,5,0.0,,0.01,0.0,427.0,0.0,0.06791569086651054,0.0,0.280473813368579,0.0022208696882710837,0.4137479270577572,0.0031889676933503502,0.7132254650772396,0.0021786886728450343,0.7873894046326576,0.005335676089840659,0.3373466141435416,0.002374612235225065,0.4610721424723228,0.0028349311296745608,0.12372552832878121,0.0030280165329317626
29,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",30,5,0.0,,0.01,0.0,426.0,0.0,0.07042253521126761,0.0,0.27415232929241445,0.001956411279360213,0.4079862559947586,0.0032799121563159696,0.6918562205181098,0.0019464899149689934,0.7597174521316999,0.005363694849590865,0.3289210923017494,0.0021414705336363967,0.4515951072953861,0.002704486081019396,0.1226740149936367,0.002723381622110803
30,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",31,5,0.0,,0.01,0.0,426.0,0.0,0.07276995305164319,0.0,0.271073013257177,0.0019118094705113343,0.40588723821839867,0.0033488539877682124,0.6892100825170013,0.0017361316371156657,0.7582233621906478,0.0056967641322042475,0.3258341657496745,0.0021137300802488565,0.4494336311659217,0.002701123981617542,0.12359946541624729,0.002678324999448829
