train_nmse_x_mean,train_nmse_x_std,val_nmse_x_mean,val_nmse_x_std,train_nmse_y_mean,train_nmse_y_std,val_nmse_y_mean,val_nmse_y_std,train_nmse_2d_mean,train_nmse_2d_std,val_nmse_2d_mean,val_nmse_2d_std,train_validation_gap_2d,topology,amplitude,sample,H,D,horizon_steps,lag_stride_frames,readout_time_delays,target_time_delays,number_of_terms,selected_alpha,min_training_rows_per_fold,terms_per_training_row,overparameterized,condition_warning,num_usable_rows
0.358380783771865,0.05249134816769461,0.47253037591764946,0.1363402961719045,0.953060419236252,0.013382350597257116,0.967057569091552,0.03449869116699346,0.4390698095533947,0.05782414582840451,0.5512507573609887,0.14396237825107963,0.11218094780759402,topology_17_prestress,amp=1,sample_0,0,1,5,1,[0],[5],1,1e-10,448,0.002232142857142857,False,,598
0.3507209418286915,0.05395502355125151,0.46630844636854035,0.137205264264212,0.9417163742605038,0.009457532598977067,0.9565397954453758,0.025098667006754092,0.4308569784788605,0.058434707692868716,0.5439567923857457,0.14274271740987157,0.11309981390688517,topology_17_prestress,amp=1,sample_0,1,1,5,1,"[0, 1]","[5, 6]",2,1.0,447,0.0044742729306487695,False,,597
0.32984703331382537,0.04991088058193994,0.43858535063508863,0.13475326629289053,0.9380201969573442,0.007217915324791982,0.9559836121655806,0.013371642526459095,0.412262687599578,0.05489990556374865,0.5204418719620503,0.13962824328415704,0.10817918436247226,topology_17_prestress,amp=1,sample_0,2,1,5,1,"[0, 1, 2]","[5, 6, 7]",3,0.01,447,0.006711409395973154,False,,596
0.3284739053974975,0.049605974476501676,0.436953732561256,0.1350878715724238,0.9235191231333946,0.003925904264566433,0.9438766064610981,0.00539599781311927,0.4089446135569216,0.05400538073346278,0.5162063898632292,0.13805495882279756,0.10726177630630762,topology_17_prestress,amp=1,sample_0,3,1,5,1,"[0, 1, 2, 3]","[5, 6, 7, 8]",4,1e-10,446,0.008968609865470852,False,,595
0.32568168815089066,0.04774508288299796,0.43463752490310603,0.12867397241794282,0.9197028731380477,0.0026361760790276634,0.9439767718154403,0.00884899881345666,0.4059308620178381,0.05193415913879613,0.5140003655095368,0.1316032364951109,0.10806950349169864,topology_17_prestress,amp=1,sample_0,4,1,5,1,"[0, 1, 2, 3, 4]","[5, 6, 7, 8, 9]",5,0.01,445,0.011235955056179775,False,,594
0.3164719418215193,0.0448079207878882,0.42423061520880984,0.1213999401309667,0.9191948980943985,0.0030149428027696234,0.9469977700785217,0.011598666039919402,0.3977547430937457,0.049433732090941006,0.5059051548875684,0.12576107855717022,0.10815041179382268,topology_17_prestress,amp=1,sample_0,5,1,5,1,"[0, 1, 2, 3, 4, 5]","[5, 6, 7, 8, 9, 10]",6,0.01,444,0.013513513513513514,False,,593
0.3160274248540238,0.044312559498783585,0.42606563967052796,0.12197338945082592,0.8988076139377706,0.009427068255212398,0.9319844731499678,0.03672222022551234,0.3944733784176809,0.047493128171554426,0.5037073402067589,0.12209854847584985,0.10923396178907802,topology_17_prestress,amp=1,sample_0,6,1,5,1,"[0, 1, 2, 3, 4, 5, 6]","[5, 6, 7, 8, 9, 10, 11]",7,0.01,444,0.015765765765765764,False,,592
0.3063998820102967,0.04280453467080339,0.41019252965431624,0.1160432128692517,0.8958438889280746,0.01079518640386816,0.9297328432379601,0.043507118376015924,0.38559508425796213,0.04619810370638289,0.48987892835916513,0.11780354523226295,0.104283844101203,topology_17_prestress,amp=1,sample_0,7,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7]","[5, 6, 7, 8, 9, 10, 11, 12]",8,0.01,443,0.01805869074492099,False,,591
0.30489012104264124,0.04279684236330356,0.4087190659862286,0.11531243643819236,0.8833093786097802,0.012630410543986477,0.9196720685237854,0.0515805494437842,0.3824793066162554,0.0455475868832632,0.4866212557719167,0.11545869052037588,0.10414194915566133,topology_17_prestress,amp=1,sample_0,8,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5, 6, 7, 8, 9, 10, 11, 12, 13]",9,0.01,442,0.020361990950226245,False,,590
0.304723623620874,0.04288365696391266,0.40933573759217784,0.11587898909752907,0.874774375341592,0.0174188224371669,0.9179095583025453,0.06945413233327768,0.38106965749174193,0.04481818995188769,0.48588581448206714,0.11358180686921704,0.1048161569903252,topology_17_prestress,amp=1,sample_0,9,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",10,0.01,441,0.022675736961451247,False,,589
