topology,amplitude,sample,H,D,fold,selected_alpha,number_of_terms,min_training_rows_per_fold,terms_per_training_row,overparameterized,condition_warning,train_nmse_x,val_nmse_x,train_nmse_y,val_nmse_y,train_nmse_2d,val_nmse_2d
topology_17_prestress,amp=1,sample_0,0,1,0,1e-10,1,448,0.002232142857142857,False,,0.31795018027362304,0.5168810445738318,0.9441225655808122,0.9876398421783059,0.39641703079685886,0.599859966470954
topology_17_prestress,amp=1,sample_0,0,1,1,1e-10,1,448,0.002232142857142857,False,,0.30386977299938595,0.6484287496995543,0.9372927328359479,0.9999564844928086,0.3783658251923415,0.7280734717453279
topology_17_prestress,amp=1,sample_0,0,1,2,1e-10,1,448,0.002232142857142857,False,,0.4367411318152252,0.2696894446512087,0.9718421165822798,0.9101130727163604,0.5263078864786056,0.3293062237813832
topology_17_prestress,amp=1,sample_0,0,1,3,1e-10,1,448,0.002232142857142857,False,,0.3749620499992257,0.45512226474600315,0.9589842619459676,0.9705208769787331,0.4551884957457729,0.54776336744629
topology_17_prestress,amp=1,sample_0,1,1,0,1.0,2,447,0.0044742729306487695,False,,0.308981374423328,0.5128875611675028,0.9341270205103803,0.9720268410212924,0.3870975812215862,0.5948526934624745
topology_17_prestress,amp=1,sample_0,1,1,1,1.0,2,447,0.0044742729306487695,False,,0.29458027899740286,0.6442617385213697,0.9315593491044037,0.9768733011172213,0.36976331312575955,0.7190616654081281
topology_17_prestress,amp=1,sample_0,1,1,2,1.0,2,447,0.0044742729306487695,False,,0.4309687478531758,0.2638847441529907,0.9550364310904924,0.9138816273593129,0.5187381081361645,0.3243926937714125
topology_17_prestress,amp=1,sample_0,1,1,3,1.0,2,447,0.0044742729306487695,False,,0.36835336604085944,0.4441997416322982,0.946142696336739,0.9633774122836769,0.4478289114319315,0.5375201169009676
topology_17_prestress,amp=1,sample_0,2,1,0,0.01,3,447,0.006711409395973154,False,,0.29117844281490934,0.48322586177839966,0.9330551595311899,0.9611076009314135,0.37138531085572696,0.5682661985802525
topology_17_prestress,amp=1,sample_0,2,1,1,0.01,3,447,0.006711409395973154,False,,0.2766914461776473,0.6198063092034708,0.929195507499287,0.9686861006424724,0.35356703523123145,0.6982647448881425
topology_17_prestress,amp=1,sample_0,2,1,2,0.01,3,447,0.006711409395973154,False,,0.40247772864175524,0.24725417478345343,0.9472375786554211,0.9334927600646521,0.49353304661549685,0.3111358499379352
topology_17_prestress,amp=1,sample_0,2,1,3,0.01,3,447,0.006711409395973154,False,,0.34904051562098953,0.4040550567750307,0.9425925421434785,0.9606479870237847,0.4305653576958568,0.5041006944418709
topology_17_prestress,amp=1,sample_0,3,1,0,1e-10,4,446,0.008968609865470852,False,,0.2911925718139519,0.47562251366688385,0.9188999964214586,0.9454474354489242,0.36958722543425765,0.5589779595991338
topology_17_prestress,amp=1,sample_0,3,1,1,1e-10,4,446,0.008968609865470852,False,,0.27537519528214266,0.6208757786500018,0.9203543138931303,0.9407644619781048,0.3511737329904471,0.6930268581176504
topology_17_prestress,amp=1,sample_0,3,1,2,1e-10,4,446,0.008968609865470852,False,,0.4014970353725567,0.24534953881311913,0.9273679714155973,0.9374665123024774,0.4896249094259203,0.3088617422859615
topology_17_prestress,amp=1,sample_0,3,1,3,1e-10,4,446,0.008968609865470852,False,,0.34583081912133856,0.4059670991150196,0.927454210803392,0.9518280161148858,0.4253925863770612,0.5039589994501708
topology_17_prestress,amp=1,sample_0,4,1,0,0.01,5,445,0.011235955056179775,False,,0.2895448993909852,0.47340558780787756,0.9172719543137794,0.94088229968387,0.3675795770100224,0.5571284362899274
topology_17_prestress,amp=1,sample_0,4,1,1,0.01,5,445,0.011235955056179775,False,,0.27482666971697917,0.6068082869890037,0.9188216063135498,0.9313539111346139,0.3507646496374762,0.6790555933140011
topology_17_prestress,amp=1,sample_0,4,1,2,0.01,5,445,0.011235955056179775,False,,0.3960335417105426,0.2490599456942432,0.9185637546245835,0.955059525309001,0.48352574481459454,0.31372076009916555
topology_17_prestress,amp=1,sample_0,4,1,3,0.01,5,445,0.011235955056179775,False,,0.3423216417850556,0.40927627912129966,0.9241541773002783,0.948611351134276,0.42185347660925926,0.506096672335053
topology_17_prestress,amp=1,sample_0,5,1,0,0.01,6,444,0.013513513513513514,False,,0.28373160404420167,0.4554717938073011,0.9163735780376833,0.9506662193018612,0.36204613257704366,0.5444356098184191
topology_17_prestress,amp=1,sample_0,5,1,1,0.01,6,444,0.013513513513513514,False,,0.2680979502633855,0.586275083772119,0.9194136244066977,0.9281500537453167,0.344965551988605,0.661583535619702
topology_17_prestress,amp=1,sample_0,5,1,2,0.01,6,444,0.013513513513513514,False,,0.38280951642125893,0.24684842662036494,0.9169631307685949,0.9597939960865283,0.4719789793092761,0.31214540763729176
topology_17_prestress,amp=1,sample_0,5,1,3,0.01,6,444,0.013513513513513514,False,,0.3312486965572311,0.40832715663545427,0.9240292591646175,0.949380811180381,0.412028308500058,0.5054560664748606
topology_17_prestress,amp=1,sample_0,6,1,0,0.01,7,444,0.015765765765765764,False,,0.2836239724693129,0.45663909567039734,0.9008266543583004,0.9206294744209106,0.36002727643636806,0.5402658456101808
topology_17_prestress,amp=1,sample_0,6,1,1,0.01,7,444,0.015765765765765764,False,,0.268140473751361,0.5895829726730398,0.905600341821113,0.8917745405030426,0.34339406772087794,0.6561499375972503
topology_17_prestress,amp=1,sample_0,6,1,2,0.01,7,444,0.015765765765765764,False,,0.3815497172395993,0.24839221237466455,0.882859694503522,0.9918171963968386,0.4652491251507254,0.3164807301356392
topology_17_prestress,amp=1,sample_0,6,1,3,0.01,7,444,0.015765765765765764,False,,0.330795535955822,0.4096482779640103,0.9059437650681473,0.9237166812790798,0.40922304436275203,0.5019328474839654
topology_17_prestress,amp=1,sample_0,7,1,0,0.01,8,443,0.01805869074492099,False,,0.27466230819144744,0.44372923032389067,0.9010494262077408,0.9067013927840839,0.3520549853717747,0.5271755364892098
topology_17_prestress,amp=1,sample_0,7,1,1,0.01,8,443,0.01805869074492099,False,,0.2609581092577388,0.5623767629575732,0.9020413389816089,0.8902306176186174,0.3364273951648353,0.63466142050767
topology_17_prestress,amp=1,sample_0,7,1,2,0.01,8,443,0.01805869074492099,False,,0.3702715516782021,0.23880428033482215,0.8771881655973758,1.0029840446556708,0.4550057970622463,0.3077863862665826
topology_17_prestress,amp=1,sample_0,7,1,3,0.01,8,443,0.01805869074492099,False,,0.3197075589137986,0.3958598450009789,0.9030966249255733,0.9190153178934685,0.3988921594329921,0.489892370173198
topology_17_prestress,amp=1,sample_0,8,1,0,0.01,9,442,0.020361990950226245,False,,0.27225675140028066,0.44492021446070257,0.8930611287654876,0.8835877093040235,0.3485397765436668,0.5246386371462649
topology_17_prestress,amp=1,sample_0,8,1,1,0.01,9,442,0.020361990950226245,False,,0.25998634908772766,0.5583255596088266,0.8920154318443433,0.8704169837884936,0.3347029160778893,0.6262535019412115
topology_17_prestress,amp=1,sample_0,8,1,2,0.01,9,442,0.020361990950226245,False,,0.36854833980530266,0.2376072978559143,0.8618970489278415,1.0027933518051124,0.4509516621575793,0.3066903051961537
topology_17_prestress,amp=1,sample_0,8,1,3,0.01,9,442,0.020361990950226245,False,,0.31876904387725397,0.39402319201947106,0.8862639049014485,0.921890229197512,0.39572287168588627,0.48890257880403665
topology_17_prestress,amp=1,sample_0,9,1,0,0.01,10,441,0.022675736961451247,False,,0.2719602106803295,0.444130808445302,0.8861088990810257,0.8759468104328095,0.34741434254820963,0.5222868478405946
topology_17_prestress,amp=1,sample_0,9,1,1,0.01,10,441,0.022675736961451247,False,,0.2598124702885135,0.5603912966166256,0.887070815215444,0.8535266288776343,0.3339442315517874,0.6242695573902138
topology_17_prestress,amp=1,sample_0,9,1,2,0.01,10,441,0.022675736961451247,False,,0.3685500053244692,0.23762891062089284,0.8448650213986022,1.033270702293129,0.44809112403786056,0.30946154197978015
topology_17_prestress,amp=1,sample_0,9,1,3,0.01,10,441,0.022675736961451247,False,,0.31857180819018394,0.39519193468589103,0.8810527656712954,0.9088940916066083,0.39482893182911016,0.48752531071767996
topology_17_prestress,amp=1,sample_0,10,1,0,0.01,11,441,0.024943310657596373,False,,0.27195988861805803,0.44268289132943867,0.8826671872641172,0.8749594870002659,0.3469912123268402,0.5206661046354909
topology_17_prestress,amp=1,sample_0,10,1,1,0.01,11,441,0.024943310657596373,False,,0.2580158649949694,0.5672761140930755,0.8861159414634937,0.8467545523213825,0.3320209422239931,0.6281783479522371
topology_17_prestress,amp=1,sample_0,10,1,2,0.01,11,441,0.024943310657596373,False,,0.36704527634074896,0.23712722379299545,0.8411340410206746,1.0310234965339595,0.4460002010582862,0.30880226511672826
topology_17_prestress,amp=1,sample_0,10,1,3,0.01,11,441,0.024943310657596373,False,,0.317522281642368,0.39600261416941496,0.8764842443162097,0.9120816136153896,0.3931114815014687,0.48876320642308724
topology_17_prestress,amp=1,sample_0,11,1,0,0.01,12,440,0.02727272727272727,False,,0.27159089562545535,0.4437932725915445,0.8681997143212195,0.8603857400338842,0.3447475791643006,0.5197935105345697
topology_17_prestress,amp=1,sample_0,11,1,1,0.01,12,440,0.02727272727272727,False,,0.25730596694367724,0.5687158197836878,0.8767918189558481,0.8142164388236575,0.3303431846067585,0.622240754968196
topology_17_prestress,amp=1,sample_0,11,1,2,0.01,12,440,0.02727272727272727,False,,0.36610158699370615,0.23601327703060707,0.8166125910227022,1.0398146688048195,0.44083500739770776,0.31006168442378657
topology_17_prestress,amp=1,sample_0,11,1,3,0.01,12,440,0.02727272727272727,False,,0.31599062067885597,0.39637612772076125,0.8592655725306679,0.898218260666945,0.39011549525261313,0.48464245294175956
topology_17_prestress,amp=1,sample_0,12,1,0,0.01,13,439,0.029612756264236904,False,,0.26747301593924344,0.43151293634632565,0.8680137900299604,0.8549180903909022,0.34075896788269605,0.5096154317463448
topology_17_prestress,amp=1,sample_0,12,1,1,0.01,13,439,0.029612756264236904,False,,0.25071553314484285,0.5610952025334183,0.8716466075692882,0.8139284915992406,0.32404021166505664,0.6156132586067964
topology_17_prestress,amp=1,sample_0,12,1,2,0.01,13,439,0.029612756264236904,False,,0.3538058846755935,0.23924630817403847,0.8058737081728019,1.0704922609739698,0.42876581747214004,0.31541032893373117
topology_17_prestress,amp=1,sample_0,12,1,3,0.01,13,439,0.029612756264236904,False,,0.3114558508799655,0.37872558441171694,0.8576633978864113,0.890078406152152,0.38593129360438316,0.46866469375161873
