topology,amplitude,frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,number_drive_channels,K,filter_length_s,num_samples,selected_frequencies_hz,mechanical_degree,number_linear_features_mean,number_linear_features_std,number_candidate_features_mean,number_candidate_features_std,number_raw_features_mean,number_raw_features_std,validation_nmse_x_mean,validation_nmse_x_std,validation_nmse_y_mean,validation_nmse_y_std,validation_nmse_2d_mean,validation_nmse_2d_std,condition_number_mean,condition_number_std
topology_10_prestress,amp=2.5,fft_prefix,fft_prefix_K1,nan,u,1,1,3.0,5,0.20046978,2,10.0,0.0,65.0,0.0,65.0,0.0,1.401056704969528,0.09686391094680796,1.7483650275886848,0.3402634676581492,1.4121361279753961,0.08380683781553062,33.43993453979492,0.2227696387206238
topology_10_prestress,amp=2.5,fft_prefix,fft_prefix_K2,nan,u,1,2,3.0,5,0.20046978 0.70164423,2,20.0,0.0,230.0,0.0,230.0,0.0,0.834251287318916,0.05277713536694156,1.0878640840355789,0.271668765474404,0.8422563908680036,0.05832979114498819,38.68063735961914,2.9605296629503544
topology_10_prestress,amp=2.5,fft_prefix,fft_prefix_K3,nan,u,1,3,3.0,5,0.20046978 0.70164423 1.1025838,2,30.0,0.0,495.0,0.0,495.0,0.0,2.292524135864748,0.9011632334197801,2.5807925223811985,1.3945287153175794,2.3019803136984645,0.9139922345239091,44.42123184204102,0.7264699108971309
topology_10_prestress,amp=2.5,fft_prefix,fft_prefix_K4,nan,u,1,4,3.0,5,0.20046978 0.70164423 1.1025838 1.6037582,2,40.0,0.0,860.0,0.0,860.0,0.0,2.0623248683379587,0.19039213955918363,2.160193563114274,0.46177081704335543,2.0656881465711168,0.18653437453113403,38.98465194702148,2.3851445983423933
topology_10_prestress,amp=2.5,fft_prefix,fft_prefix_K5,nan,u,1,5,3.0,5,0.20046978 0.70164423 1.1025838 1.6037582 6.1143283,2,50.0,0.0,1325.0,0.0,1325.0,0.0,0.8054116491478321,0.415438852051589,1.0430913063899032,0.43860559974367674,0.8128436813833988,0.4157967791584616,20.205913543701172,9.903028672577006
topology_10_prestress,amp=2.5,refined_single,refined_5.4000Hz,5.4,u,1,1,3.0,5,5.4,2,10.0,0.0,65.0,0.0,65.0,0.0,0.36715331695356895,0.0046445624568240045,0.6066323058925182,0.07237095726768057,0.37465296329840525,0.0025797159357825415,41.58297348022461,0.46227008442822415
topology_10_prestress,amp=2.5,refined_single,refined_5.4100Hz,5.41,u,1,1,3.0,5,5.41,2,10.0,0.0,65.0,0.0,65.0,0.0,0.3715902921607552,0.004748203698966241,0.6114942915375364,0.07389420601035382,0.3791045492937032,0.0026103053125280666,40.8192138671875,0.44273599199086133
topology_10_prestress,amp=2.5,refined_single,refined_5.4200Hz,5.42,u,1,1,3.0,5,5.42,2,10.0,0.0,65.0,0.0,65.0,0.0,0.37706697815388346,0.00478297229299529,0.6163418314781746,0.07506208020754035,0.38456272886224807,0.0026099699244720364,40.25707015991211,0.4245285108919064
topology_10_prestress,amp=2.5,refined_single,refined_5.4300Hz,5.430000000000001,u,1,1,3.0,5,5.43,2,10.0,0.0,65.0,0.0,65.0,0.0,0.3834233652663567,0.004764580026054193,0.6214300931239054,0.07604115603614175,0.39088055092834484,0.0025797555528463347,39.959686279296875,0.4061398004804094
topology_10_prestress,amp=2.5,refined_single,refined_5.4400Hz,5.44,u,1,1,3.0,5,5.44,2,10.0,0.0,65.0,0.0,65.0,0.0,0.39028012219159197,0.00470400795017402,0.6268653243022964,0.07680813054095958,0.397693759571225,0.002526075169550913,39.90624465942383,0.38853530726859886
topology_10_prestress,amp=2.5,refined_single,refined_5.4500Hz,5.45,u,1,1,3.0,5,5.45,2,10.0,0.0,65.0,0.0,65.0,0.0,0.397071360596112,0.004605605405629866,0.6325574338331489,0.0771998370288664,0.4044511134618352,0.002454758912657026,40.03256530761719,0.3728112995959946
