topology,amplitude,sample,mode_index,coefficient_x,coefficient_y,q_norm_sq,c_mech_x,c_mech_y,c_mech_2d,dominant_raw_feature_name,dominant_product_degree,dominant_factor_indices,dominant_drive_channel,dominant_frequency_hz,dominant_decay_time_s,dominant_phase,dominant_raw_feature_loading
topology_10_prestress,amp=2.5,sample_0,17,-46.70600891113281,3.54301381111145,1.0,0.0004334347730485157,7.50149646350177e-05,0.0004219012202295443,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=5.000s_cos,2,0 8,u*u,5.82*5.82,0.2*5.0,cos*cos,0.2641499638557434
topology_10_prestress,amp=2.5,sample_0,18,220.246337890625,-39.6971549987793,1.0,0.009638193179599233,0.009417182444933427,0.009631081298721022,u_f=5.8200Hz_Td=0.200s_sin,1,1,u,5.82,0.2,sin,0.5672006607055664
topology_10_prestress,amp=2.5,sample_0,19,-159.8994140625,53.7313117980957,1.0,0.0050800967017098205,0.017252701384766343,0.005471797650599684,u_f=5.8200Hz_Td=0.200s_cos,1,0,u,5.82,0.2,cos,-0.6063164472579956
topology_10_prestress,amp=2.5,sample_0,20,88.1964111328125,-15.230481147766113,1.0,0.0015455393302037904,0.0013862113968438868,0.00154041233361541,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=0.200s_sin,2,1 1,u*u,5.82*5.82,0.2*0.2,sin*sin,0.3631155788898468
topology_10_prestress,amp=2.5,sample_1,0,32.34450149536133,-19.481529235839844,1.0,0.00020932532213965879,0.0021943623916945297,0.0002757228592664497,u_f=5.8200Hz_Td=1.000s_cos * u_f=5.8200Hz_Td=1.000s_sin,2,4 5,u*u,5.82*5.82,1.0*1.0,cos*sin,0.1651930958032608
topology_10_prestress,amp=2.5,sample_1,1,265.2557373046875,-37.701900482177734,1.0,0.01407830651589247,0.008218427868382035,0.013882299339994334,u_f=5.8200Hz_Td=1.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,5 9,u*u,5.82*5.82,1.0*5.0,sin*sin,0.20377540588378906
topology_10_prestress,amp=2.5,sample_1,2,1640.2467041015625,-230.70977783203125,1.0,0.5383183593669425,0.30774730914588927,0.5306059845694036,u_f=5.8200Hz_Td=0.200s_cos,1,0,u,5.82,0.2,cos,0.33873483538627625
topology_10_prestress,amp=2.5,sample_1,3,101.435791015625,-8.023515701293945,1.0,0.002058748447606072,0.0003722131188285669,0.00200233550004673,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,2,8 9,u*u,5.82*5.82,5.0*5.0,cos*sin,-0.31929701566696167
topology_10_prestress,amp=2.5,sample_1,4,2.0605757236480713,4.069372653961182,1.0,8.495677187857987e-07,9.574523886375802e-05,4.023734561641257e-06,u_f=5.8200Hz_Td=5.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,9 9,u*u,5.82*5.82,5.0*5.0,sin*sin,0.26953554153442383
topology_10_prestress,amp=2.5,sample_1,5,-5.8407769203186035,14.36053466796875,0.9999999403953552,6.825933562818103e-06,0.0011923491761113708,4.648051972600874e-05,u_f=5.8200Hz_Td=5.000s_sin,1,9,u,5.82,5.0,sin,-0.43275186419487
topology_10_prestress,amp=2.5,sample_1,6,7.199082851409912,-8.962148666381836,1.0,1.0369914785643713e-05,0.00046439394651654836,2.555657198498159e-05,u_f=5.8200Hz_Td=0.500s_cos * u_f=5.8200Hz_Td=0.500s_cos,2,2 2,u*u,5.82*5.82,0.5*0.5,cos*cos,-0.25727489590644836
topology_10_prestress,amp=2.5,sample_1,7,14.041645050048828,-1.114757776260376,1.0,3.9450891828065136e-05,7.184942277497454e-06,3.8371627558357875e-05,u_f=5.8200Hz_Td=5.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,9 9,u*u,5.82*5.82,5.0*5.0,sin*sin,-0.34967607259750366
topology_10_prestress,amp=2.5,sample_1,8,-746.6383666992188,138.39535522460938,1.0,0.11154277626446574,0.11074019700665583,0.11151593077785749,u_f=5.8200Hz_Td=5.000s_cos,1,8,u,5.82,5.0,cos,0.4462980329990387
