topology,amplitude,sample,candidate_id,mode_index,raw_feature_name,drive_channel,frequency_hz,decay_time_s,phase,product_degree,factor_indices,number_factors,loading
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.500s_cos * u_f=5.8200Hz_Td=0.500s_cos,u*u,5.82*5.82,0.5*0.5,cos*cos,2,2 2,2,0.14023570716381073
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.500s_cos * u_f=5.8200Hz_Td=0.500s_sin,u*u,5.82*5.82,0.5*0.5,cos*sin,2,2 3,2,0.16084954142570496
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.500s_cos * u_f=5.8200Hz_Td=1.000s_cos,u*u,5.82*5.82,0.5*1.0,cos*cos,2,2 4,2,0.13515006005764008
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.500s_cos * u_f=5.8200Hz_Td=1.000s_sin,u*u,5.82*5.82,0.5*1.0,cos*sin,2,2 5,2,0.16390739381313324
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.500s_cos * u_f=5.8200Hz_Td=2.000s_cos,u*u,5.82*5.82,0.5*2.0,cos*cos,2,2 6,2,0.12762963771820068
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.500s_cos * u_f=5.8200Hz_Td=2.000s_sin,u*u,5.82*5.82,0.5*2.0,cos*sin,2,2 7,2,0.15860682725906372
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.500s_cos * u_f=5.8200Hz_Td=5.000s_cos,u*u,5.82*5.82,0.5*5.0,cos*cos,2,2 8,2,0.11725407093763351
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.500s_cos * u_f=5.8200Hz_Td=5.000s_sin,u*u,5.82*5.82,0.5*5.0,cos*sin,2,2 9,2,0.14169852435588837
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.500s_sin * u_f=5.8200Hz_Td=0.500s_sin,u*u,5.82*5.82,0.5*0.5,sin*sin,2,3 3,2,0.1361134797334671
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.500s_sin * u_f=5.8200Hz_Td=1.000s_cos,u*u,5.82*5.82,0.5*1.0,sin*cos,2,3 4,2,0.1626826375722885
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.500s_sin * u_f=5.8200Hz_Td=1.000s_sin,u*u,5.82*5.82,0.5*1.0,sin*sin,2,3 5,2,0.13659854233264923
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.500s_sin * u_f=5.8200Hz_Td=2.000s_cos,u*u,5.82*5.82,0.5*2.0,sin*cos,2,3 6,2,0.15176865458488464
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.500s_sin * u_f=5.8200Hz_Td=2.000s_sin,u*u,5.82*5.82,0.5*2.0,sin*sin,2,3 7,2,0.13059483468532562
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.500s_sin * u_f=5.8200Hz_Td=5.000s_cos,u*u,5.82*5.82,0.5*5.0,sin*cos,2,3 8,2,0.13267803192138672
