topology,amplitude,sample,basis_nmse_x,basis_nmse_y,basis_nmse_2d,basis_R2_x,basis_R2_y,basis_R2_2d,selected_drive_channels,drive_smoothing_frames,selected_K,selected_filter_length_s,selected_mechanical_degree,number_linear_features,number_candidate_features,number_kept_features,selected_svd_rank
topology_10_prestress,amp=2.5,sample_0,0.3058115033995099,0.5455891050422454,0.3135272812902292,0.6941884966004901,0.45441089495775455,0.6864727187097708,u,1,1,3.0,2,10,65,65,21
topology_10_prestress,amp=2.5,sample_1,0.3078067889963717,0.5294817573614715,0.31522159860766125,0.6921932110036283,0.4705182426385285,0.6847784013923388,u,1,1,3.0,2,10,65,65,21
topology_10_prestress,amp=2.5,sample_2,0.30606535219516023,0.5364732793755139,0.3135065751052406,0.6939346478048398,0.4635267206244861,0.6864934248947594,u,1,1,3.0,2,10,65,65,21
topology_10_prestress,amp=2.5,sample_3,0.3071277311074688,0.5291506750146426,0.31547883345043337,0.6928722688925312,0.47084932498535736,0.6845211665495666,u,1,1,3.0,2,10,65,65,21
topology_10_prestress,amp=2.5,sample_4,0.30570282666408194,0.5391121677039818,0.3133283825186895,0.694297173335918,0.46088783229601815,0.6866716174813106,u,1,1,3.0,2,10,65,65,21
