topology,amplitude,sample,frequency_hz,target_fft_amplitude,drive_fft_amplitude_u,coherence_u,best_drive_channel,best_coherence,score,selected
topology_10_prestress,amp=2.5,sample_0,0.20046977935177582,13.327318941619232,1.2275397742891694,0.9999999999999997,u,0.9999999999999997,0.9999999999999997,True
topology_10_prestress,amp=2.5,sample_0,0.7016442277312154,5.600421358868551,0.47641777056141577,0.9999999999999999,u,0.9999999999999999,0.4202211550126011,True
topology_10_prestress,amp=2.5,sample_0,1.102583786434767,3.9031894797280495,0.34567629556757595,1.0000000000000002,u,1.0000000000000002,0.29287131919226234,True
topology_10_prestress,amp=2.5,sample_0,1.6037582348142065,2.442828466997079,0.16364056401017535,1.0000000000000002,u,1.0000000000000002,0.18329481553626586,True
topology_10_prestress,amp=2.5,sample_0,2.6061071315730855,1.7368697570039113,0.12219370540554136,1.0,u,1.0,0.1303240182524578,False
topology_10_prestress,amp=2.5,sample_0,4.209865366387292,1.5310736891411625,0.10630072733077167,1.0,u,1.0,0.11488234774361461,False
topology_10_prestress,amp=2.5,sample_0,6.114328270229162,2.2604162991627077,0.0016236336907363934,1.0000000000000002,u,1.0000000000000002,0.16960772898619275,True
topology_10_prestress,amp=2.5,sample_1,0.20046977935177582,14.15306805225033,1.2235970694790557,1.0000000000000002,u,1.0000000000000002,1.0000000000000002,True
topology_10_prestress,amp=2.5,sample_1,0.7016442277312154,5.349500168797702,0.47910493674069793,1.0000000000000002,u,1.0000000000000002,0.37797459526432053,True
topology_10_prestress,amp=2.5,sample_1,1.102583786434767,3.9256015960608703,0.34684367075992395,1.0,u,1.0,0.277367534838971,True
topology_10_prestress,amp=2.5,sample_1,1.6037582348142065,2.534984729102353,0.1623148971497184,0.9999999999999997,u,0.9999999999999997,0.17911202855406966,True
topology_10_prestress,amp=2.5,sample_1,2.6061071315730855,1.7101024804151888,0.12275791148403865,0.9999999999999999,u,0.9999999999999999,0.1208291003831698,False
topology_10_prestress,amp=2.5,sample_1,4.209865366387292,1.57382841017782,0.10707172423389641,0.9999999999999999,u,0.9999999999999999,0.11120051174540788,False
topology_10_prestress,amp=2.5,sample_1,6.114328270229162,2.2587620035498306,0.0005316002541478327,0.9999999999999999,u,0.9999999999999999,0.1595952195814312,True
topology_10_prestress,amp=2.5,sample_2,0.20046834691319523,12.977198812381046,1.2312773309262883,1.0000000000000002,u,1.0000000000000002,1.0000000000000002,True
topology_10_prestress,amp=2.5,sample_2,0.5011708672829881,4.859686432014715,0.4322239274532891,1.0,u,1.0,0.3744788457258029,True
topology_10_prestress,amp=2.5,sample_2,0.7016392141961834,5.8290645939398775,0.4759078517955884,1.0000000000000002,u,1.0000000000000002,0.44917741326260585,True
topology_10_prestress,amp=2.5,sample_2,1.1025759080225739,3.7550124932215962,0.34770199532471546,1.0000000000000002,u,1.0000000000000002,0.28935462479307045,True
topology_10_prestress,amp=2.5,sample_2,1.6037467753055619,2.3822598410551103,0.16368158329986707,1.0,u,1.0,0.18357273210473496,True
topology_10_prestress,amp=2.5,sample_2,2.606088509871538,1.8027225461400267,0.1210160609532106,1.0,u,1.0,0.13891461263736812,False
topology_10_prestress,amp=2.5,sample_2,4.009366938263905,1.4345437771251328,0.11315955124421902,1.0,u,1.0,0.11054340754620248,False
topology_10_prestress,amp=2.5,sample_2,4.2098352851771,1.3874472014834462,0.10752263326336717,1.0000000000000002,u,1.0000000000000002,0.10691422868236684,False
topology_10_prestress,amp=2.5,sample_2,6.114284580852455,2.1744751342631625,0.0006825596343817461,1.0,u,1.0,0.16756120991138546,False
topology_10_prestress,amp=2.5,sample_3,0.20046834691319523,13.920602749499412,1.22558266212807,0.9999999999999999,u,0.9999999999999999,0.9999999999999999,True
topology_10_prestress,amp=2.5,sample_3,0.7016392141961834,5.338042299802111,0.4821192482306329,1.0,u,1.0,0.38346344593405396,True
topology_10_prestress,amp=2.5,sample_3,1.1025759080225739,3.845070658539805,0.3506576319774806,1.0,u,1.0,0.276214380061817,True
topology_10_prestress,amp=2.5,sample_3,1.6037467753055619,2.61804848145064,0.1540669999933998,0.9999999999999999,u,0.9999999999999999,0.18807005189087703,True
topology_10_prestress,amp=2.5,sample_3,2.606088509871538,1.8305922895932585,0.1203062424196549,1.0000000000000002,u,1.0000000000000002,0.13150237260086223,False
topology_10_prestress,amp=2.5,sample_3,4.2098352851771,1.4863976658867142,0.1078724814880725,0.9999999999999999,u,0.9999999999999999,0.10677681797508122,False
topology_10_prestress,amp=2.5,sample_3,6.114284580852455,2.239434700425286,0.0015036438445873179,1.0,u,1.0,0.1608719637162131,True
topology_10_prestress,amp=2.5,sample_4,0.20046834691319523,13.680806738297,1.2254892742054715,0.9999999999999998,u,0.9999999999999998,0.9999999999999998,True
topology_10_prestress,amp=2.5,sample_4,0.7016392141961834,5.335263774860243,0.47779325492871333,1.0,u,1.0,0.3899816638681925,True
topology_10_prestress,amp=2.5,sample_4,1.1025759080225739,3.8413478973631263,0.3462296178721918,1.0,u,1.0,0.28078372648960476,True
topology_10_prestress,amp=2.5,sample_4,1.6037467753055619,2.3948317099749556,0.16287399639863484,1.0000000000000002,u,1.0000000000000002,0.17505047441910337,True
topology_10_prestress,amp=2.5,sample_4,2.606088509871538,1.7612281367187423,0.12216520565149198,1.0,u,1.0,0.1287371549360825,False
topology_10_prestress,amp=2.5,sample_4,4.2098352851771,1.612995670081192,0.10660746443741398,0.9999999999999994,u,0.9999999999999994,0.11790208727719945,False
topology_10_prestress,amp=2.5,sample_4,6.114284580852455,2.19916232354453,0.0016209746774240555,1.0,u,1.0,0.16074800014449178,True
