topology,sample,mechanical_validation_nmse_x,mechanical_validation_nmse_y,mechanical_validation_nmse_2d,selected_drive_channels,drive_smoothing_frames,selected_K,selected_frequencies_hz,selected_filter_length_s,selected_mechanical_degree,number_linear_features,number_candidate_features,number_kept_features,selected_svd_rank,legendre_validation_nmse_x,legendre_validation_nmse_y,legendre_validation_nmse_2d,legendre_H_cut,legendre_D_cut
topology_10_prestress,sample_0,0.3058115033995099,0.5455891050422454,0.3135272812902292,u,1,1,5.82,3.0,2,10,65,65,21,0.25519594635403847,0.47250905190848724,0.2618145013391928,0,1
topology_10_prestress,sample_1,0.3078067889963717,0.5294817573614715,0.31522159860766125,u,1,1,5.82,3.0,2,10,65,65,21,0.25519594635403847,0.47250905190848724,0.2618145013391928,0,1
topology_10_prestress,sample_2,0.30606535219516023,0.5364732793755139,0.3135065751052406,u,1,1,5.82,3.0,2,10,65,65,21,0.25519594635403847,0.47250905190848724,0.2618145013391928,0,1
topology_10_prestress,sample_3,0.3071277311074688,0.5291506750146426,0.31547883345043337,u,1,1,5.82,3.0,2,10,65,65,21,0.25519594635403847,0.47250905190848724,0.2618145013391928,0,1
topology_10_prestress,sample_4,0.30570282666408194,0.5391121677039818,0.3133283825186895,u,1,1,5.82,3.0,2,10,65,65,21,0.25519594635403847,0.47250905190848724,0.2618145013391928,0,1
