topology,amplitude,sample,time_s,target_y,mechanical_basis_fit_y,actual_readout_y,target_x,mechanical_basis_fit_x,actual_readout_x
topology_17_prestress,amp=1,sample_4,0.0,1159.2152966426356,1171.9793386227777,1163.8856610234584,1222.783017298884,1196.2207901375798,1216.304209275012
topology_17_prestress,amp=1,sample_4,0.03336668014526367,1217.3647490607414,1212.7866544491937,1214.1055608386457,1201.3579548749722,1172.9061524765996,1197.0201455830002
topology_17_prestress,amp=1,sample_4,0.06673336029052734,1233.3680475791186,1232.6869668728998,1229.1892928123386,1176.0585764762118,1134.5691897767094,1156.5617745308114
topology_17_prestress,amp=1,sample_4,0.10009980201721191,1193.8191570632641,1202.0242900616815,1201.2991700741557,1171.149960192438,1141.4341685669926,1142.9082581642829
topology_17_prestress,amp=1,sample_4,0.13346648216247559,1152.248670245995,1162.0240335232904,1160.0062560115034,1194.3302886505946,1201.4504811661748,1189.1860665674187
topology_17_prestress,amp=1,sample_4,0.16683316230773926,1159.0329045272838,1169.113635040014,1159.7013352791146,1247.108431213916,1210.4838397400883,1212.9080544592628
topology_17_prestress,amp=1,sample_4,0.20019984245300293,1208.1497581637166,1210.3039674527338,1208.602180714591,1257.8776866743992,1183.3622858422307,1208.6213629884194
topology_17_prestress,amp=1,sample_4,0.2335665225982666,1233.7933934065254,1232.3859567410639,1234.0334920123391,1200.7847857903034,1149.2629687684087,1179.0836187374948
topology_17_prestress,amp=1,sample_4,0.2669332027435303,1195.2932592547077,1208.740822768896,1206.0319474381383,1196.5700864277246,1156.9777285950688,1155.7546708297978
topology_17_prestress,amp=1,sample_4,0.30029988288879395,1136.6646978293531,1161.9733705289057,1146.3545609080224,1244.3223933515123,1211.0144336121587,1202.9961874633204
topology_17_prestress,amp=1,sample_4,0.3336665630340576,1153.6035614841514,1161.842738128393,1153.368623781384,1277.4332050827063,1239.6305529969243,1248.3361341299653
topology_17_prestress,amp=1,sample_4,0.3670332431793213,1212.1946783470119,1200.3696193463495,1213.6909772349338,1272.2304543680507,1221.676577319434,1235.0335227933185
topology_17_prestress,amp=1,sample_4,0.40039992332458496,1228.7774732305666,1223.3381089932611,1233.137908700649,1241.3300263455299,1166.5488021271733,1199.8156729678847
topology_17_prestress,amp=1,sample_4,0.43376660346984863,1194.1736103645542,1199.642012572973,1199.4396175539405,1199.5151487896699,1159.619822253516,1180.938143891801
topology_17_prestress,amp=1,sample_4,0.4671332836151123,1141.2201689006781,1160.515387511938,1153.7846334087405,1218.812308631249,1228.1868426697758,1212.3911935581552
topology_17_prestress,amp=1,sample_4,0.500499963760376,1143.62053991487,1161.3296346432855,1141.6851359411044,1295.7849061888078,1270.9633738892583,1280.6119951358023
topology_17_prestress,amp=1,sample_4,0.5338666439056396,1208.9560662985878,1200.5292529828241,1213.3916076872288,1300.3815214194883,1245.0720736878422,1251.0300179117664
topology_17_prestress,amp=1,sample_4,0.5672333240509033,1235.2127682951173,1215.1024656064203,1234.7651420334182,1231.5412616779129,1193.7215125458745,1235.8709981710754
topology_17_prestress,amp=1,sample_4,0.600600004196167,1191.540152278544,1187.958308435171,1198.761107583978,1213.2021180455663,1173.5383078949956,1175.0112943590548
topology_17_prestress,amp=1,sample_4,0.6339666843414307,1138.4332931213835,1153.9648523099115,1146.8749171583265,1239.8470635759336,1211.570553530982,1218.743879274449
topology_17_prestress,amp=1,sample_4,0.6673333644866943,1150.3877639259067,1153.9238481290033,1150.9054584216296,1280.0423738812337,1261.1925227540044,1267.4812379158602
topology_17_prestress,amp=1,sample_4,0.7006998062133789,1204.4795627434246,1194.1018514401605,1203.7390022034,1269.7252627360117,1277.1657740967778,1283.8209060143536
topology_17_prestress,amp=1,sample_4,0.7340664863586426,1241.9355254880797,1210.6937932736566,1231.5278211641792,1193.654705127637,1212.4596011536626,1246.4359524783745
topology_17_prestress,amp=1,sample_4,0.7674331665039062,1211.517961528842,1168.2116937405756,1204.5392486097644,1148.3126867306376,1198.2222363846806,1184.301680505839
topology_17_prestress,amp=1,sample_4,0.8007998466491699,1145.335726072269,1135.553452468603,1148.789096187418,1180.8229809011941,1256.8765208619145,1229.4671762781127
topology_17_prestress,amp=1,sample_4,0.8341665267944336,1148.344670934866,1145.9656877286127,1143.9279509681942,1274.0190332475881,1270.8567149537114,1262.747414004942
topology_17_prestress,amp=1,sample_4,0.8675332069396973,1198.7210979515507,1195.6501514680078,1206.4371166948756,1291.6450168494312,1229.8097216980962,1246.3957216546416
topology_17_prestress,amp=1,sample_4,0.9008998870849609,1231.3665902967236,1229.8928308255365,1237.3109185838146,1236.4267120869197,1157.9096877472905,1208.9041530873465
topology_17_prestress,amp=1,sample_4,0.9342665672302246,1204.9597989330928,1206.7709016568353,1212.5102854043973,1191.1120669854045,1142.9230067627934,1149.4760069595181
topology_17_prestress,amp=1,sample_4,0.9676332473754883,1143.841745253558,1154.4708413846186,1159.0246784701249,1242.5565485781945,1220.2509429352788,1189.8822080726977
topology_17_prestress,amp=1,sample_4,1.000999927520752,1140.4669239737398,1136.7623605496576,1134.9907355767682,1325.415756447741,1291.5289943116215,1270.193779016398
topology_17_prestress,amp=1,sample_4,1.0343666076660156,1193.9698856316295,1184.7811207539728,1200.457440228443,1287.323438520593,1293.5760142701176,1266.8661240096033
topology_17_prestress,amp=1,sample_4,1.0677332878112793,1243.913962597632,1214.4733285672357,1237.4562674969222,1225.2167560052758,1202.5759980576543,1218.1236392950316
topology_17_prestress,amp=1,sample_4,1.101099967956543,1201.6015272555496,1175.4579972989252,1210.351743569227,1231.758447294518,1171.960388888648,1175.0986375798648
topology_17_prestress,amp=1,sample_4,1.1344666481018066,1134.1835049333959,1142.397877670019,1152.2182404383445,1301.535199767838,1251.1287600892094,1236.7459257039673
topology_17_prestress,amp=1,sample_4,1.1678333282470703,1129.5913750170882,1144.953083968847,1131.3605711195141,1367.0840967129811,1311.0022914307622,1296.8345064188009
topology_17_prestress,amp=1,sample_4,1.201200008392334,1180.1527370151175,1197.7237143284967,1194.6185694602161,1344.6399640735433,1272.177912463477,1283.5544846935004
topology_17_prestress,amp=1,sample_4,1.2345666885375977,1237.9950226207964,1222.0219182736566,1239.4569365549203,1282.6406883770337,1180.9734337227849,1223.60926851004
