topology,amplitude,sample,mode_index,raw_R2_train,raw_R2_validation,raw_R2_trainval,capacity_validation,capacity_used,capacity_target_window,c_mech_x,c_mech_y,c_mech_2d,contribution_x,contribution_y,contribution_2d,dominant_raw_feature_name,dominant_product_degree,dominant_frequency_hz,dominant_decay_time_s,dominant_phase,dominant_raw_feature_loading
topology_10_prestress,amp=2.5,sample_0,0,0.5076224654345144,0.5156230758436009,0.5325056165437576,0.5156230758436009,0.5156230758436009,validation,0.06030799821019173,0.04143762215971947,0.05961303412914276,0.031096195802092552,0.021366195753216743,0.030737856402993202,u_f=5.8200Hz_Td=0.500s_cos * u_f=5.8200Hz_Td=1.000s_sin,2,5.82*5.82,0.5*1.0,cos*sin,0.16920197010040283
topology_10_prestress,amp=2.5,sample_0,1,0.1287754088052675,-0.022226974501456498,0.04970365128779142,0.0,0.0,validation,0.0027672008145600557,0.00113060069270432,0.002706927480176091,0.0,0.0,0.0,u_f=5.8200Hz_Td=1.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,1.0*5.0,sin*sin,0.20469649136066437
topology_10_prestress,amp=2.5,sample_0,2,0.772762799926051,0.8330158964895261,0.812249348189566,0.8330158964895261,0.8330158964895261,validation,0.3281346261501312,0.13564932346343994,0.3210456967353821,0.2733413577079773,0.11299804598093033,0.2674361765384674,u_f=5.8200Hz_Td=0.500s_sin,1,5.82,0.5,sin,0.33939051628112793
topology_10_prestress,amp=2.5,sample_0,3,0.2070128972411387,0.326014773607335,0.3015881449761316,0.326014773607335,0.326014773607335,validation,0.0031444791238754988,0.002133272122591734,0.003107238095253706,0.0010251466883346438,0.0006954782293178141,0.001013005618005991,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,5.0*5.0,cos*sin,0.310930073261261
topology_10_prestress,amp=2.5,sample_0,4,0.21009957932907564,0.21515290481578075,0.24473839581938994,0.21515290481578075,0.21515290481578075,validation,0.0002454779460094869,0.0005305841332301497,0.00025597793865017593,5.2815292292507365e-05,0.00011415671906434,5.507439709617756e-05,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=0.200s_sin,2,5.82*5.82,0.2*0.2,cos*sin,0.23297008872032166
topology_10_prestress,amp=2.5,sample_0,5,0.26969290018056746,0.1498472437108127,0.21744935478544625,0.1498472437108127,0.1498472437108127,validation,0.000916674907784909,0.0002915790828410536,0.0008936536032706499,0.00013736120308749378,4.3692321924027056e-05,0.00013391152606345713,u_f=5.8200Hz_Td=5.000s_sin,1,5.82,5.0,sin,-0.45436713099479675
topology_10_prestress,amp=2.5,sample_0,6,0.08476629458550133,-0.28015637682826666,-0.12799945623817832,0.0,0.0,validation,0.0002979900746140629,0.00014911360631231219,0.00029250720399431884,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=5.000s_cos,2,5.82*5.82,0.2*5.0,sin*cos,0.33838391304016113
topology_10_prestress,amp=2.5,sample_0,7,0.0851908457312005,-0.14590935034326935,-0.05262318184096726,0.0,0.0,validation,0.0003137475869152695,0.002687254920601845,0.0004011599812656641,0.0,0.0,0.0,u_f=5.8200Hz_Td=5.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,5.0*5.0,sin*sin,-0.38640958070755005
topology_10_prestress,amp=2.5,sample_0,8,0.4093348623283791,0.5414849554595564,0.49702230961545146,0.5414849554595564,0.5414849554595564,validation,0.11558356136083603,0.11580686271190643,0.11559178680181503,0.06258676201105118,0.06270767003297806,0.06259121000766754,u_f=5.8200Hz_Td=5.000s_cos,1,5.82,5.0,cos,0.45500147342681885
topology_10_prestress,amp=2.5,sample_0,9,0.06162865510583404,-0.1467356404529827,-0.060682362060736184,0.0,0.0,validation,0.0011055677896365523,0.000494387757498771,0.0010830591199919581,0.0,0.0,0.0,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,5.0*5.0,cos*sin,-0.3435682952404022
topology_10_prestress,amp=2.5,sample_0,10,0.15553631965921044,-0.9393614131743988,-0.31734305557469566,0.0,0.0,validation,0.0050014108419418335,0.0006535236607305706,0.004841285292059183,0.0,0.0,0.0,u_f=5.8200Hz_Td=5.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,5.0*5.0,sin*sin,-0.3162285387516022
topology_10_prestress,amp=2.5,sample_0,11,0.14347778258009503,-0.04305184074606272,0.03420505442969646,0.0,0.0,validation,0.004027944523841143,0.0017489021411165595,0.003944010939449072,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.200s_sin,1,5.82,0.2,sin,-0.41324689984321594
