topology,amplitude,sample,hidden_node,reference_node,horizon_steps,H_cut,D_cut,basis_index,basis_term,total_degree,max_readout_time_delay,max_target_time_delay,max_lag_frames,exponents,coefficient_x,coefficient_y,p_alpha_norm_sq,c_alpha_x,c_alpha_y,c_alpha
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,16,P1(u[target-16]),1,11,16,11,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,6.583586692810059,0.6077040433883667,274.4894104003906,0.0024106976960400284,0.0006312336681482005,0.0023546194729664304
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,17,P1(u[target-15]),1,10,15,10,0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.9029556512832642,-2.810109853744507,274.41326904296875,0.0002013513207636584,0.013493729867301595,0.0006202487851842094
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,18,P1(u[target-14]),1,9,14,9,0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-39.39118957519531,5.37462043762207,274.329833984375,0.08625082825083077,0.04934565837260533,0.08508779471007862
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,19,P1(u[target-13]),1,8,13,8,0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,34.16679000854492,0.4155155122280121,274.11260986328125,0.06483797051222046,0.0002947024908851999,0.0628039469381179
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,20,P1(u[target-12]),1,7,12,7,0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9.318991661071777,-11.921760559082031,273.787353515625,0.004817739028226305,0.2423117546512934,0.012302151288323205
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,21,P1(u[target-11]),1,6,11,6,0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-53.405479431152344,10.216580390930176,273.4214782714844,0.15801426826005083,0.17771498486631224,0.15863511878764738
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,22,P1(u[target-10]),1,5,10,5,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-13.790999412536621,8.73861312866211,272.9725341796875,0.010519678629073189,0.12980286729901355,0.014278782021057953
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,23,P1(u[target-9]),1,4,9,4,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,109.34713745117188,-6.854089260101318,272.5751953125,0.6603789320562281,0.07973814943130879,0.6420805552285466
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,24,P1(u[target-8]),1,3,8,3,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-140.8481903076172,4.546836853027344,272.24652099609375,1.0943517135798966,0.03504785068818738,1.0609686963371472
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,25,P1(u[target-7]),1,2,7,2,0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,135.95062255859375,-42.47993087768555,272.05145263671875,1.0188388373420727,3.0570247901797662,1.083070451320872
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,26,P1(u[target-6]),1,1,6,1,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-153.74085998535156,75.9502944946289,271.82379150390625,1.3018415215442818,9.763975899284016,1.5685181454465107
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,27,P1(u[target-5]),1,0,5,0,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,199.81692504882812,-56.59199523925781,271.4552307128906,2.1961135844221076,5.413629561562072,2.2975107331594637
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,0,P1(u[target-32]),1,27,32,27,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,-27.429595947265625,1.9337846040725708,271.6317138671875,0.04171168215270269,0.006119122229955904,0.04054531586282531
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,1,P1(u[target-31]),1,26,31,26,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0,28.260772705078125,-4.8871965408325195,271.3632507324219,0.04423413179018021,0.039044790833076284,0.04406407736385675
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,2,P1(u[target-30]),1,25,30,25,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0,17.375526428222656,4.821227550506592,271.3180847167969,0.016718337775221227,0.03799150166184211,0.01741545822090556
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,3,P1(u[target-29]),1,24,29,24,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0,-36.47800827026367,4.468306541442871,271.35546875,0.07369520369296177,0.03263750532754249,0.07234974510787207
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,4,P1(u[target-28]),1,23,28,23,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0,17.341426849365234,-14.707338333129883,271.3231506347656,0.01665309341324912,0.35354726010626364,0.02769309728315732
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,5,P1(u[target-27]),1,22,27,22,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0,22.290483474731445,5.905093193054199,271.33355712890625,0.027515720868281263,0.05699666938485069,0.02848180997842031
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,6,P1(u[target-26]),1,21,26,21,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0,-16.7169132232666,4.636951923370361,271.3825378417969,0.015478628812682388,0.035151150465542354,0.016123296297757397
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,7,P1(u[target-25]),1,20,25,20,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0,-16.012990951538086,1.200718641281128,271.479248046875,0.01420757522536876,0.0023578251830111327,0.01381925954864088
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,8,P1(u[target-24]),1,19,24,19,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0,6.177332878112793,-7.5494256019592285,271.691650390625,0.002116005107523805,0.09328172510504544,0.005103500888335957
