topology,amplitude,sample,hidden_node,reference_node,horizon_steps,H_cut,D_cut,basis_index,basis_term,total_degree,max_readout_time_delay,max_target_time_delay,max_lag_frames,exponents,coefficient_x,coefficient_y,p_alpha_norm_sq,c_alpha_x,c_alpha_y,c_alpha,IPC_alpha_raw,IPC_alpha_clipped,weighted_contribution_raw,weighted_contribution_clipped,basis_nmse_x,basis_nmse_y,basis_nmse_2d,task_alpha_selected,basis_adequacy_label
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,11,P1(u[target-21]),1,16,21,16,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0,-20.157495498657227,-1.9689900875091553,274.81304931640625,0.022625726602913836,0.006634446849245652,0.02212177567207039,0.12189937309008525,0.12189937309008525,0.0026966305860648796,0.0026966305860648796,0.28080940635189505,0.459329095642527,0.28643529527246525,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,12,P1(u[target-20]),1,15,20,15,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0,58.749271392822266,-10.149412155151367,274.853759765625,0.1922200530842151,0.17630465075187673,0.1917184933626869,0.1848532009222863,0.1848532009222863,0.035439777174090775,0.035439777174090775,0.28080940635189505,0.459329095642527,0.28643529527246525,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,13,P1(u[target-19]),1,14,19,14,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0,-21.36783790588379,16.92938232421875,274.8737487792969,0.02543000628425215,0.49056414187674874,0.040088294064198775,0.23842418102112628,0.23842418102112628,0.00955801868079067,0.00955801868079067,0.28080940635189505,0.459329095642527,0.28643529527246525,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,14,P1(u[target-18]),1,13,18,13,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-43.666839599609375,-12.90197467803955,274.84088134765625,0.10618835554534113,0.28488790497057925,0.11181991259777131,0.28263600411057155,0.28263600411057155,0.03160433327662744,0.03160433327662744,0.28080940635189505,0.459329095642527,0.28643529527246525,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,15,P1(u[target-17]),1,12,17,12,0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,46.454429626464844,2.8542044162750244,274.68939208984375,0.12011249642625772,0.01393453062366857,0.11676639245424733,0.30682889955363113,0.30682889955363113,0.03582730370158413,0.03582730370158413,0.28080940635189505,0.459329095642527,0.28643529527246525,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,16,P1(u[target-16]),1,11,16,11,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,6.583586692810059,0.6077040433883667,274.4894104003906,0.0024106976960400284,0.0006312336681482005,0.0023546194729664304,0.3311639070879163,0.3311639070879163,0.0007797649843728535,0.0007797649843728535,0.28080940635189505,0.459329095642527,0.28643529527246525,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,17,P1(u[target-15]),1,10,15,10,0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.9029556512832642,-2.810109853744507,274.41326904296875,0.0002013513207636584,0.013493729867301595,0.0006202487851842094,0.38738750241667086,0.38738750241667086,0.0002402766277694851,0.0002402766277694851,0.28080940635189505,0.459329095642527,0.28643529527246525,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,18,P1(u[target-14]),1,9,14,9,0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-39.39118957519531,5.37462043762207,274.329833984375,0.08625082825083077,0.04934565837260533,0.08508779471007862,0.441385789494095,0.441385789494095,0.037556543444419534,0.037556543444419534,0.28080940635189505,0.459329095642527,0.28643529527246525,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,19,P1(u[target-13]),1,8,13,8,0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,34.16679000854492,0.4155155122280121,274.11260986328125,0.06483797051222046,0.0002947024908851999,0.0628039469381179,0.4934121209873902,0.4934121209873902,0.030988228665116264,0.030988228665116264,0.28080940635189505,0.459329095642527,0.28643529527246525,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,20,P1(u[target-12]),1,7,12,7,0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9.318991661071777,-11.921760559082031,273.787353515625,0.004817739028226305,0.2423117546512934,0.012302151288323205,0.5628594416253473,0.5628594416253473,0.006924382004936146,0.006924382004936146,0.28080940635189505,0.459329095642527,0.28643529527246525,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,21,P1(u[target-11]),1,6,11,6,0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-53.405479431152344,10.216580390930176,273.4214782714844,0.15801426826005083,0.17771498486631224,0.15863511878764738,0.634574235075731,0.634574235075731,0.10066575916081906,0.10066575916081906,0.28080940635189505,0.459329095642527,0.28643529527246525,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,22,P1(u[target-10]),1,5,10,5,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-13.790999412536621,8.73861312866211,272.9725341796875,0.010519678629073189,0.12980286729901355,0.014278782021057953,0.7049919892905636,0.7049919892905636,0.01006642694167198,0.01006642694167198,0.28080940635189505,0.459329095642527,0.28643529527246525,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,23,P1(u[target-9]),1,4,9,4,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,109.34713745117188,-6.854089260101318,272.5751953125,0.6603789320562281,0.07973814943130879,0.6420805552285466,0.7636520943069847,0.7636520943069847,0.4903261607140711,0.4903261607140711,0.28080940635189505,0.459329095642527,0.28643529527246525,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,24,P1(u[target-8]),1,3,8,3,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-140.8481903076172,4.546836853027344,272.24652099609375,1.0943517135798966,0.03504785068818738,1.0609686963371472,0.8327998673132038,0.8327998673132038,0.8835745895330389,0.8835745895330389,0.28080940635189505,0.459329095642527,0.28643529527246525,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,25,P1(u[target-7]),1,2,7,2,0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,135.95062255859375,-42.47993087768555,272.05145263671875,1.0188388373420727,3.0570247901797662,1.083070451320872,0.902841060052143,0.902841060052143,0.9778404743816891,0.9778404743816891,0.28080940635189505,0.459329095642527,0.28643529527246525,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,26,P1(u[target-6]),1,1,6,1,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-153.74085998535156,75.9502944946289,271.82379150390625,1.3018415215442818,9.763975899284016,1.5685181454465107,0.9659754836142307,0.9659754836142307,1.5151500741053894,1.5151500741053894,0.28080940635189505,0.459329095642527,0.28643529527246525,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,27,P1(u[target-5]),1,0,5,0,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,199.81692504882812,-56.59199523925781,271.4552307128906,2.1961135844221076,5.413629561562072,2.2975107331594637,0.9999906081983839,0.9999906081983839,2.297489155394447,2.297489155394447,0.28080940635189505,0.459329095642527,0.28643529527246525,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,0,P1(u[target-32]),1,27,32,27,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,-27.429595947265625,1.9337846040725708,271.6317138671875,0.04171168215270269,0.006119122229955904,0.04054531586282531,0.1060161852341871,0.1060161852341871,0.004298459716891912,0.004298459716891912,0.28250880501689346,0.4407550223817726,0.287694525117825,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,1,P1(u[target-31]),1,26,31,26,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0,28.260772705078125,-4.8871965408325195,271.3632507324219,0.04423413179018021,0.039044790833076284,0.04406407736385675,0.1183556216959527,0.1183556216959527,0.005215231270857822,0.005215231270857822,0.28250880501689346,0.4407550223817726,0.287694525117825,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,2,P1(u[target-30]),1,25,30,25,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0,17.375526428222656,4.821227550506592,271.3180847167969,0.016718337775221227,0.03799150166184211,0.01741545822090556,0.12288676347610461,0.12288676347610461,0.002140129295220403,0.002140129295220403,0.28250880501689346,0.4407550223817726,0.287694525117825,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,3,P1(u[target-29]),1,24,29,24,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0,-36.47800827026367,4.468306541442871,271.35546875,0.07369520369296177,0.03263750532754249,0.07234974510787207,0.11534944501055655,0.11534944501055655,0.008345502944848272,0.008345502944848272,0.28250880501689346,0.4407550223817726,0.287694525117825,0.01,fixed common H27 dictionary
