topology,amplitude,sample,hidden_node,reference_node,horizon_steps,H_cut,D_cut,basis_index,basis_term,total_degree,max_readout_time_delay,max_target_time_delay,max_lag_frames,exponents,num_state_nodes,num_state_features,train_r2_raw,test_r2_raw,train_nmse,test_nmse,IPC_alpha_raw,IPC_alpha_clipped
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,16,P1(u[target-16]),1,11,16,11,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,14,28,0.346564650949441,0.3311639070879163,0.653435349050559,0.6688360929120837,0.3311639070879163,0.3311639070879163
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,17,P1(u[target-15]),1,10,15,10,0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,14,28,0.3813659978676578,0.38738750241667086,0.6186340021323422,0.6126124975833291,0.38738750241667086,0.38738750241667086
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,18,P1(u[target-14]),1,9,14,9,0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,14,28,0.4320729989704516,0.441385789494095,0.5679270010295484,0.558614210505905,0.441385789494095,0.441385789494095
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,19,P1(u[target-13]),1,8,13,8,0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,14,28,0.48034259944648594,0.4934121209873902,0.5196574005535141,0.5065878790126098,0.4934121209873902,0.4934121209873902
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,20,P1(u[target-12]),1,7,12,7,0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,14,28,0.5273986881576618,0.5628594416253473,0.47260131184233817,0.4371405583746527,0.5628594416253473,0.5628594416253473
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,21,P1(u[target-11]),1,6,11,6,0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,14,28,0.586639192856398,0.634574235075731,0.413360807143602,0.36542576492426904,0.634574235075731,0.634574235075731
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,22,P1(u[target-10]),1,5,10,5,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,14,28,0.6431906103599875,0.7049919892905636,0.3568093896400125,0.29500801070943644,0.7049919892905636,0.7049919892905636
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,23,P1(u[target-9]),1,4,9,4,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,14,28,0.7026748587489744,0.7636520943069847,0.2973251412510256,0.23634790569301528,0.7636520943069847,0.7636520943069847
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,24,P1(u[target-8]),1,3,8,3,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,14,28,0.7858614770459382,0.8327998673132038,0.21413852295406183,0.16720013268679623,0.8327998673132038,0.8327998673132038
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,25,P1(u[target-7]),1,2,7,2,0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,14,28,0.8786646332197842,0.902841060052143,0.12133536678021585,0.09715893994785695,0.902841060052143,0.902841060052143
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,26,P1(u[target-6]),1,1,6,1,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,14,28,0.9610910358094275,0.9659754836142307,0.03890896419057255,0.034024516385769275,0.9659754836142307,0.9659754836142307
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,27,P1(u[target-5]),1,0,5,0,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,14,28,0.9999951812105259,0.9999906081983839,4.818789474133101e-06,9.391801616036358e-06,0.9999906081983839,0.9999906081983839
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,0,P1(u[target-32]),1,27,32,27,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,14,28,0.24888032801344295,0.1060161852341871,0.751119671986557,0.8939838147658129,0.1060161852341871,0.1060161852341871
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,1,P1(u[target-31]),1,26,31,26,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0,14,28,0.2315960622746729,0.1183556216959527,0.7684039377253271,0.8816443783040473,0.1183556216959527,0.1183556216959527
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,2,P1(u[target-30]),1,25,30,25,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0,14,28,0.22442757635644717,0.12288676347610461,0.7755724236435528,0.8771132365238954,0.12288676347610461,0.12288676347610461
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,3,P1(u[target-29]),1,24,29,24,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0,14,28,0.22927357926023462,0.11534944501055655,0.7707264207397654,0.8846505549894434,0.11534944501055655,0.11534944501055655
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,4,P1(u[target-28]),1,23,28,23,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0,14,28,0.22701486499876067,0.13586913548675084,0.7729851350012393,0.8641308645132492,0.13586913548675084,0.13586913548675084
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,5,P1(u[target-27]),1,22,27,22,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0,14,28,0.22478999366085006,0.1661553843381275,0.7752100063391499,0.8338446156618725,0.1661553843381275,0.1661553843381275
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,6,P1(u[target-26]),1,21,26,21,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0,14,28,0.21991111845700384,0.20255216276942667,0.7800888815429962,0.7974478372305733,0.20255216276942667,0.20255216276942667
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,7,P1(u[target-25]),1,20,25,20,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0,14,28,0.21399411825731007,0.25564083330721943,0.7860058817426899,0.7443591666927806,0.25564083330721943,0.25564083330721943
