topology,amplitude,sample,hidden_node,reference_node,horizon_steps,H_cut,D_cut,basis_index,basis_term,total_degree,max_readout_time_delay,max_target_time_delay,max_lag_frames,exponents,num_state_nodes,num_state_features,train_r2_raw,test_r2_raw,train_nmse,test_nmse,IPC_alpha_raw,IPC_alpha_clipped
topology_10_prestress,amp=2.5,sample_0,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9610910358094275,0.9659754836142307,0.03890896419057255,0.034024516385769275,0.9659754836142307,0.9659754836142307
topology_10_prestress,amp=2.5,sample_0,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.9999951812105259,0.9999906081983839,4.818789474133101e-06,9.391801616036358e-06,0.9999906081983839,0.9999906081983839
topology_10_prestress,amp=2.5,sample_1,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9606918896113561,0.9779584748777332,0.039308110388643895,0.022041525122266765,0.9779584748777332,0.9779584748777332
topology_10_prestress,amp=2.5,sample_1,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.9999964627334154,0.9999974886521369,3.5372665846940515e-06,2.5113478631045244e-06,0.9999974886521369,0.9999974886521369
topology_10_prestress,amp=2.5,sample_2,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9595560158576024,0.9747435286065421,0.04044398414239761,0.025256471393457863,0.9747435286065421,0.9747435286065421
topology_10_prestress,amp=2.5,sample_2,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.9999941225517295,0.9999913396049458,5.877448270564833e-06,8.660395054215285e-06,0.9999913396049458,0.9999913396049458
topology_10_prestress,amp=2.5,sample_3,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9587529024106326,0.9675740129358732,0.04124709758936737,0.03242598706412682,0.9675740129358732,0.9675740129358732
topology_10_prestress,amp=2.5,sample_3,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.9999991192849116,0.9998694119720929,8.807150883597115e-07,0.00013058802790714443,0.9998694119720929,0.9998694119720929
topology_10_prestress,amp=2.5,sample_4,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9608717539700766,0.974449992256457,0.03912824602992336,0.025550007743543008,0.974449992256457,0.974449992256457
topology_10_prestress,amp=2.5,sample_4,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.999997804704412,0.9999964059330969,2.195295587954666e-06,3.594066903067487e-06,0.9999964059330969,0.9999964059330969
topology_11_prestress,amp=2.5,sample_0,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9589830293969045,0.9801371839899781,0.04101697060309553,0.019862816010021885,0.9801371839899781,0.9801371839899781
topology_11_prestress,amp=2.5,sample_0,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.9999976842893326,0.9999977082966519,2.315710667463147e-06,2.2917033481210405e-06,0.9999977082966519,0.9999977082966519
topology_11_prestress,amp=2.5,sample_1,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9619629057663217,0.8851064085519553,0.03803709423367832,0.11489359144804473,0.8851064085519553,0.8851064085519553
topology_11_prestress,amp=2.5,sample_1,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.99999842204922,0.9999275832366439,1.5779507800636227e-06,7.241676335613306e-05,0.9999275832366439,0.9999275832366439
topology_11_prestress,amp=2.5,sample_2,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.960038771634691,0.9800058426712043,0.039961228365308986,0.019994157328795746,0.9800058426712043,0.9800058426712043
topology_11_prestress,amp=2.5,sample_2,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.9999986828893542,0.9999987132990178,1.3171106458073338e-06,1.2867009822467785e-06,0.9999987132990178,0.9999987132990178
topology_11_prestress,amp=2.5,sample_3,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9620768151655431,0.9803995711709612,0.037923184834456884,0.019600428829038834,0.9803995711709612,0.9803995711709612
topology_11_prestress,amp=2.5,sample_3,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.9999987282842986,0.9999988639309447,1.2717157013646258e-06,1.1360690552362406e-06,0.9999988639309447,0.9999988639309447
topology_11_prestress,amp=2.5,sample_4,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9615975809334838,0.9791837926186382,0.038402419066516175,0.0208162073813618,0.9791837926186382,0.9791837926186382
topology_11_prestress,amp=2.5,sample_4,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.999998181779428,0.9999989186269851,1.8182205720012169e-06,1.0813730148885503e-06,0.9999989186269851,0.9999989186269851
topology_12_prestress,amp=2.5,sample_0,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9610952983350984,0.9734273540464302,0.03890470166490151,0.026572645953569823,0.9734273540464302,0.9734273540464302
topology_12_prestress,amp=2.5,sample_0,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.9999979085092908,0.9999958240857035,2.0914907091829514e-06,4.175914296427204e-06,0.9999958240857035,0.9999958240857035
topology_12_prestress,amp=2.5,sample_1,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9631785814680446,0.9742860419255124,0.03682141853195544,0.025713958074487637,0.9742860419255124,0.9742860419255124
topology_12_prestress,amp=2.5,sample_1,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.9999987560882987,0.9999958566429171,1.2439117013621056e-06,4.143357082915739e-06,0.9999958566429171,0.9999958566429171
topology_12_prestress,amp=2.5,sample_2,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9590882721478419,0.9746895840628166,0.04091172785215816,0.02531041593718339,0.9746895840628166,0.9746895840628166
topology_12_prestress,amp=2.5,sample_2,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.9999974279015397,0.9999975742755348,2.572098460291325e-06,2.4257244651659334e-06,0.9999975742755348,0.9999975742755348
topology_12_prestress,amp=2.5,sample_3,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.963128334360477,0.9731342316015867,0.03687166563952304,0.026865768398413307,0.9731342316015867,0.9731342316015867
topology_12_prestress,amp=2.5,sample_3,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.9999980861872598,0.9999964890251546,1.913812740159659e-06,3.510974845445141e-06,0.9999964890251546,0.9999964890251546
topology_12_prestress,amp=2.5,sample_4,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9594854983646114,0.9713928925767829,0.04051450163538858,0.028607107423217176,0.9713928925767829,0.9713928925767829
topology_12_prestress,amp=2.5,sample_4,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.9999975727073278,0.9999972971923426,2.427292672145759e-06,2.7028076573971995e-06,0.9999972971923426,0.9999972971923426
topology_13_prestress,amp=2.5,sample_0,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9541534527143085,0.9768048122183831,0.04584654728569154,0.023195187781616885,0.9768048122183831,0.9768048122183831
topology_13_prestress,amp=2.5,sample_0,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.999997916180985,0.9999904362319564,2.0838190149734857e-06,9.563768043565228e-06,0.9999904362319564,0.9999904362319564
topology_13_prestress,amp=2.5,sample_1,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9541735390304379,0.9747721400462712,0.04582646096956216,0.025227859953728792,0.9747721400462712,0.9747721400462712
topology_13_prestress,amp=2.5,sample_1,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.9999985401208683,0.9999990559976265,1.4598791316705504e-06,9.44002373449605e-07,0.9999990559976265,0.9999990559976265
topology_13_prestress,amp=2.5,sample_2,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9533509323475844,0.9738265939818932,0.046649067652415596,0.026173406018106776,0.9738265939818932,0.9738265939818932
topology_13_prestress,amp=2.5,sample_2,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.9999987502453233,0.9999992502869297,1.2497546767768882e-06,7.497130703041133e-07,0.9999992502869297,0.9999992502869297
topology_13_prestress,amp=2.5,sample_3,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.954227262452019,0.9747295247500141,0.04577273754798093,0.025270475249985883,0.9747295247500141,0.9747295247500141
topology_13_prestress,amp=2.5,sample_3,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.9999988936118204,0.999999222392376,1.1063881796563287e-06,7.776076239729858e-07,0.999999222392376,0.999999222392376
topology_13_prestress,amp=2.5,sample_4,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9591752535018414,0.9751891662812547,0.04082474649815863,0.02481083371874523,0.9751891662812547,0.9751891662812547
topology_13_prestress,amp=2.5,sample_4,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.9999951350355821,0.9999954323643352,4.864964417844216e-06,4.567635664855161e-06,0.9999954323643352,0.9999954323643352
topology_14_prestress,amp=2.5,sample_0,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9579147316562391,0.975190653230553,0.04208526834376088,0.024809346769447054,0.975190653230553,0.975190653230553
topology_14_prestress,amp=2.5,sample_0,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.9999954457826388,0.9999920854442309,4.554217361264816e-06,7.91455576905763e-06,0.9999920854442309,0.9999920854442309
topology_14_prestress,amp=2.5,sample_1,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9578575134457711,0.9754985474221053,0.042142486554228906,0.024501452577894677,0.9754985474221053,0.9754985474221053
topology_14_prestress,amp=2.5,sample_1,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.9999986416065765,0.9999989565570231,1.3583934235355651e-06,1.0434429768855173e-06,0.9999989565570231,0.9999989565570231
topology_14_prestress,amp=2.5,sample_2,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9529917725482903,0.9748744767388346,0.047008227451709746,0.02512552326116531,0.9748744767388346,0.9748744767388346
topology_14_prestress,amp=2.5,sample_2,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.9999985730082278,0.999997762907303,1.4269917722164492e-06,2.2370926969865557e-06,0.999997762907303,0.999997762907303
topology_14_prestress,amp=2.5,sample_3,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9537157509897468,0.9778711934015007,0.04628424901025318,0.0221288065984992,0.9778711934015007,0.9778711934015007
topology_14_prestress,amp=2.5,sample_3,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.9999990506007381,0.9999989769042895,9.493992618274641e-07,1.0230957105050852e-06,0.9999989769042895,0.9999989769042895
topology_14_prestress,amp=2.5,sample_4,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9565804506091978,0.9785921966166748,0.04341954939080219,0.021407803383325156,0.9785921966166748,0.9785921966166748
topology_14_prestress,amp=2.5,sample_4,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.9999987465174958,0.9999990881121569,1.253482504290782e-06,9.11887843116721e-07,0.9999990881121569,0.9999990881121569
topology_15_prestress,amp=2.5,sample_0,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9591966935556424,0.980150776658111,0.04080330644435758,0.01984922334188897,0.980150776658111,0.980150776658111
topology_15_prestress,amp=2.5,sample_0,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.9999980277133675,0.9999976920464679,1.972286632413469e-06,2.307953532120408e-06,0.9999976920464679,0.9999976920464679
topology_15_prestress,amp=2.5,sample_1,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9625928020468824,0.9790384378153756,0.0374071979531176,0.020961562184624385,0.9790384378153756,0.9790384378153756
topology_15_prestress,amp=2.5,sample_1,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,14,28,0.9999984437783463,0.9999984712514026,1.5562216536627697e-06,1.5287485973303052e-06,0.9999984712514026,0.9999984712514026
topology_15_prestress,amp=2.5,sample_2,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,14,28,0.9607218791846669,0.9808212285503557,0.039278120815333155,0.019178771449644267,0.9808212285503557,0.9808212285503557
