topology,amplitude,sample,hidden_node,reference_node,horizon_steps,H_cut,D_cut,basis_index,basis_term,total_degree,max_readout_time_delay,max_target_time_delay,max_lag_frames,coefficient_x,coefficient_y,exponents
topology_13_prestress,amp=2.5,sample_0,10,0,5,1,1,-1,intercept,0,,,,986.0336303710938,1000.8091430664062,
topology_13_prestress,amp=2.5,sample_0,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-58.52376174926758,14.21231460571289,0 1
topology_13_prestress,amp=2.5,sample_0,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,167.02490234375,-29.30440330505371,1 0
topology_13_prestress,amp=2.5,sample_1,10,0,5,1,1,-1,intercept,0,,,,985.250244140625,999.3433837890625,
topology_13_prestress,amp=2.5,sample_1,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-51.050071716308594,13.58872127532959,0 1
topology_13_prestress,amp=2.5,sample_1,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,158.89202880859375,-29.655567169189453,1 0
topology_13_prestress,amp=2.5,sample_2,10,0,5,1,1,-1,intercept,0,,,,985.9448852539062,999.0938720703125,
topology_13_prestress,amp=2.5,sample_2,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-51.12598419189453,13.612841606140137,0 1
topology_13_prestress,amp=2.5,sample_2,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,159.21226501464844,-29.69208335876465,1 0
topology_13_prestress,amp=2.5,sample_3,10,0,5,1,1,-1,intercept,0,,,,984.38525390625,999.3095703125,
topology_13_prestress,amp=2.5,sample_3,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-56.33950424194336,14.017619132995605,0 1
topology_13_prestress,amp=2.5,sample_3,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,164.67164611816406,-30.09597396850586,1 0
topology_13_prestress,amp=2.5,sample_4,10,0,5,1,1,-1,intercept,0,,,,984.8123168945312,999.1008911132812,
topology_13_prestress,amp=2.5,sample_4,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-56.203948974609375,13.990692138671875,0 1
topology_13_prestress,amp=2.5,sample_4,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,164.71913146972656,-30.128965377807617,1 0
topology_14_prestress,amp=2.5,sample_0,10,0,5,1,1,-1,intercept,0,,,,977.812744140625,1048.5181884765625,
topology_14_prestress,amp=2.5,sample_0,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-53.06621170043945,-4.8545756340026855,0 1
topology_14_prestress,amp=2.5,sample_0,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,166.3209228515625,1.7499631643295288,1 0
topology_14_prestress,amp=2.5,sample_1,10,0,5,1,1,-1,intercept,0,,,,977.4957885742188,1045.951416015625,
topology_14_prestress,amp=2.5,sample_1,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-53.20319366455078,-4.453579902648926,0 1
topology_14_prestress,amp=2.5,sample_1,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,166.64353942871094,0.6328788995742798,1 0
topology_14_prestress,amp=2.5,sample_2,10,0,5,1,1,-1,intercept,0,,,,978.2479248046875,1046.1763916015625,
topology_14_prestress,amp=2.5,sample_2,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-53.61655044555664,-4.625932216644287,0 1
topology_14_prestress,amp=2.5,sample_2,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,167.19940185546875,0.7112748622894287,1 0
topology_14_prestress,amp=2.5,sample_3,10,0,5,1,1,-1,intercept,0,,,,978.4693603515625,1046.13720703125,
topology_14_prestress,amp=2.5,sample_3,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-47.366294860839844,-5.723114490509033,0 1
topology_14_prestress,amp=2.5,sample_3,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,160.37985229492188,2.0156872272491455,1 0
topology_14_prestress,amp=2.5,sample_4,10,0,5,1,1,-1,intercept,0,,,,977.665283203125,1046.25537109375,
topology_14_prestress,amp=2.5,sample_4,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-53.463768005371094,-5.269498348236084,0 1
topology_14_prestress,amp=2.5,sample_4,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,166.79995727539062,1.511453628540039,1 0
topology_15_prestress,amp=2.5,sample_0,10,0,5,1,1,-1,intercept,0,,,,1048.9493408203125,1025.943359375,
topology_15_prestress,amp=2.5,sample_0,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-128.2581024169922,18.109037399291992,0 1
topology_15_prestress,amp=2.5,sample_0,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,248.57505798339844,-37.9709358215332,1 0
topology_15_prestress,amp=2.5,sample_1,10,0,5,1,1,-1,intercept,0,,,,1048.347412109375,1026.4952392578125,
topology_15_prestress,amp=2.5,sample_1,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-129.15618896484375,17.973861694335938,0 1
topology_15_prestress,amp=2.5,sample_1,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,249.7413330078125,-37.803436279296875,1 0
topology_15_prestress,amp=2.5,sample_2,10,0,5,1,1,-1,intercept,0,,,,1048.204345703125,1026.63720703125,
topology_15_prestress,amp=2.5,sample_2,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-129.23817443847656,18.387346267700195,0 1
topology_15_prestress,amp=2.5,sample_2,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,249.2615966796875,-38.34360885620117,1 0
topology_15_prestress,amp=2.5,sample_3,10,0,5,1,1,-1,intercept,0,,,,1046.95654296875,1026.80224609375,
topology_15_prestress,amp=2.5,sample_3,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-129.5151824951172,17.723796844482422,0 1
