topology,amplitude,sample,hidden_node,reference_node,horizon_steps,M_0_5,M_0_10,M_0_relevant,M_total,peak_tau,memory_length_threshold_0p05,test_nmse_2d,test_nmse_x,test_nmse_y
topology_17_prestress,amp=1,sample_0,10,0,5,5.371679499459183,8.530827130785962,5.371679499459183,14.458905193348286,0.0,30.0,0.1876888203671371,0.19991707862222888,0.08186564363289166
topology_17_prestress,amp=1,sample_1,10,0,5,2.256846963819195,2.256846963819195,2.256846963819195,2.6357793139554353,0.0,18.0,1.4651494352730812,1.593162811685664,0.4105495171392626
topology_17_prestress,amp=1,sample_2,10,0,5,5.427213381560402,8.710513474767579,5.427213381560402,14.54301276047501,0.0,30.0,0.1942120055199125,0.20620696967543511,0.09546523472195435
topology_17_prestress,amp=1,sample_3,10,0,5,5.429612840330492,8.86739541234724,5.429612840330492,16.693882950700335,0.0,30.0,0.20666236889230463,0.22100811115228314,0.08927431802718354
topology_17_prestress,amp=1,sample_4,10,0,5,5.4446556599445906,8.785945357492228,5.4446556599445906,14.65697974965603,0.0,30.0,0.17647432050294895,0.18848004566899426,0.07854015977838066
topology_10_prestress,amp=2.5,sample_0,10,0,5,5.170251080161904,7.689870214337848,5.170251080161904,9.190103147039792,0.0,16.0,0.3529619213083691,0.3519133519812974,0.38634199348479265
topology_10_prestress,amp=2.5,sample_1,10,0,5,5.354725348119604,8.27860419107749,5.354725348119604,12.722074903411713,0.0,28.0,0.27365660344715503,0.2695005016546304,0.4029870019995824
topology_10_prestress,amp=2.5,sample_2,10,0,5,5.316131739124658,7.816853966758058,5.316131739124658,12.621984969595543,0.0,30.0,0.2805419150299908,0.27698897744527573,0.39445460666617355
topology_10_prestress,amp=2.5,sample_3,10,0,5,4.7098944905833795,4.7098944905833795,4.7098944905833795,5.69278490304532,0.0,15.0,0.5021185446237393,0.484730341956563,1.0169947857877506
topology_10_prestress,amp=2.5,sample_4,10,0,5,5.3192191039476775,8.146742401037294,5.3192191039476775,11.33714024015473,0.0,29.0,0.32253750818006316,0.3179516508290468,0.4669231140809225
