topology,amplitude,sample,H,D,horizon_steps,lag_stride_frames,readout_time_delays,target_time_delays,number_of_terms,num_train_rows,num_validation_rows,terms_per_train_row,condition_number,overparameterized,ill_conditioned,condition_warning,train_nmse_x,train_nmse_y,train_nmse_2d,validation_nmse_x,validation_nmse_y,validation_nmse_2d,train_validation_gap_2d
topology_10_prestress,amp=2.5,sample_0,0,1,5,1,[0],[5],1,299,299,0.0033444816053511705,1.0,False,False,,0.45040502892166906,0.6719079730185977,0.4585626183134334,0.25519594635403847,0.47250905190848724,0.2618145013391928,-0.1967481169742406
topology_10_prestress,amp=2.5,sample_0,1,1,5,1,"[0, 1]","[5, 6]",2,299,299,0.006688963210702341,71.14332010353472,False,False,,0.4430943104797838,0.648147537468449,0.4506460838255043,0.25147910355127107,0.45691959218326655,0.25773606245266245,-0.19291002137284186
topology_10_prestress,amp=2.5,sample_0,2,1,5,1,"[0, 1, 2]","[5, 6, 7]",3,299,299,0.010033444816053512,402.5884559401343,False,False,,0.442860719974113,0.6233784560738216,0.4495088915143876,0.2505457310990019,0.42359886357369125,0.25581629068957384,-0.19369260082481377
topology_10_prestress,amp=2.5,sample_0,3,1,5,1,"[0, 1, 2, 3]","[5, 6, 7, 8]",4,299,299,0.013377926421404682,1254.2492992992595,False,False,,0.44144541425504635,0.6121955733952481,0.4477338619888817,0.2516025279663729,0.4301215090535319,0.2570395571285329,-0.19069430486034883
topology_10_prestress,amp=2.5,sample_0,4,1,5,1,"[0, 1, 2, 3, 4]","[5, 6, 7, 8, 9]",5,299,299,0.016722408026755852,2469.615765040086,False,False,,0.44025284196784836,0.6040748939913038,0.446286138902894,0.255869324628805,0.4314510696416894,0.26121689642293233,-0.18506924247996165
topology_10_prestress,amp=2.5,sample_0,5,1,5,1,"[0, 1, 2, 3, 4, 5]","[5, 6, 7, 8, 9, 10]",6,299,299,0.020066889632107024,3976.507328361709,False,False,,0.42986465740148483,0.5976055504746303,0.43604227881178903,0.26032943431793876,0.4339398512496302,0.26561696673585855,-0.17042531207593048
topology_10_prestress,amp=2.5,sample_0,6,1,5,1,"[0, 1, 2, 3, 4, 5, 6]","[5, 6, 7, 8, 9, 10, 11]",7,299,299,0.023411371237458192,6009.271939758305,False,False,,0.42986342748930173,0.5949832014815278,0.43594451739165513,0.26037677655207037,0.4290646531321923,0.2655143865624099,-0.17043013082924524
topology_10_prestress,amp=2.5,sample_0,7,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7]","[5, 6, 7, 8, 9, 10, 11, 12]",8,299,299,0.026755852842809364,8040.015597103489,False,False,,0.42842209273495696,0.591261028790858,0.4344191831246655,0.25779729594116113,0.42503678090733876,0.2628907932896689,-0.17152838983499658
topology_10_prestress,amp=2.5,sample_0,8,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5, 6, 7, 8, 9, 10, 11, 12, 13]",9,299,299,0.030100334448160536,10104.985178553032,False,False,,0.4265328573143744,0.591042195309227,0.43259146586219455,0.2564278313051662,0.42530942643865516,0.2615713412675303,-0.17102012459466426
topology_10_prestress,amp=2.5,sample_0,9,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",10,299,299,0.033444816053511704,11912.189209728705,False,False,,0.4242318915305606,0.5900457125858927,0.4303385420455848,0.2556720034141186,0.42532781598119346,0.2608390931814909,-0.1694994488640939
topology_10_prestress,amp=2.5,sample_0,10,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",11,299,299,0.03678929765886288,13470.063756685371,False,False,,0.42180011381236354,0.587736103899458,0.4279112636120429,0.2526411964197607,0.4240643859291214,0.25786211396453346,-0.17004914964750945
topology_10_prestress,amp=2.5,sample_0,11,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",12,299,299,0.04013377926421405,14957.721518679027,False,False,,0.42087133306821306,0.587735665263939,0.4270166721820264,0.25080750511640515,0.42413834268267625,0.25608652257892006,-0.17093014960310632
topology_10_prestress,amp=2.5,sample_0,12,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",13,299,299,0.043478260869565216,16367.75648622908,False,False,,0.42070831115300134,0.5876277361622281,0.4268556792445912,0.2513013885757032,0.42517142829645505,0.256596828145382,-0.17025885109920924
topology_10_prestress,amp=2.5,sample_0,13,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",14,299,299,0.046822742474916385,17960.1662885649,False,False,,0.4191260632747621,0.5875221359054564,0.4253278138713853,0.2538167898813434,0.42566702673800794,0.25905071371187216,-0.16627710015951314
topology_10_prestress,amp=2.5,sample_0,14,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",15,299,299,0.05016722408026756,19784.617024970084,False,False,,0.41903228239036316,0.5873359569865586,0.42523063011923135,0.2526595582283787,0.4250069789035619,0.25790862444266854,-0.1673220056765628
