topology,amplitude,sample,time_s,target_y,mechanical_basis_fit_y,actual_readout_y,target_x,mechanical_basis_fit_x,actual_readout_x
topology_17_prestress,amp=1,sample_4,0.0,1159.2152966426356,1163.2000905448588,1165.0042116949692,1222.783017298884,1208.6467052370201,1215.4070816093792
topology_17_prestress,amp=1,sample_4,0.03336668014526367,1217.3647490607414,1211.8968348345527,1214.8730880780556,1201.3579548749722,1194.2834149018483,1193.4521892332712
topology_17_prestress,amp=1,sample_4,0.06673336029052734,1233.3680475791186,1237.0212860157383,1229.1969391443179,1176.0585764762118,1158.0767020024173,1160.8678577036162
topology_17_prestress,amp=1,sample_4,0.10009980201721191,1193.8191570632641,1202.8040987607042,1199.388553760083,1171.149960192438,1150.0129862321392,1144.1116051303477
topology_17_prestress,amp=1,sample_4,0.13346648216247559,1152.248670245995,1155.0749699868722,1159.9809414199194,1194.3302886505946,1187.8699765476542,1197.1742919016374
topology_17_prestress,amp=1,sample_4,0.16683316230773926,1159.0329045272838,1156.461223680836,1161.0851158231894,1247.108431213916,1217.2926534951205,1211.2099315703676
topology_17_prestress,amp=1,sample_4,0.20019984245300293,1208.1497581637166,1205.422800421536,1207.4969287885738,1257.8776866743992,1199.928547539278,1217.8561286396643
topology_17_prestress,amp=1,sample_4,0.2335665225982666,1233.7933934065254,1235.2291645270557,1234.2031097253462,1200.7847857903034,1171.4878269980577,1172.9587091361302
topology_17_prestress,amp=1,sample_4,0.2669332027435303,1195.2932592547077,1204.5025483526344,1205.8064993512019,1196.5700864277246,1181.6219580697532,1152.9600539574371
topology_17_prestress,amp=1,sample_4,0.30029988288879395,1136.6646978293531,1153.4608567374155,1146.9731867610108,1244.3223933515123,1216.4016638387752,1200.959714278866
topology_17_prestress,amp=1,sample_4,0.3336665630340576,1153.6035614841514,1153.0287160142836,1152.675754262406,1277.4332050827063,1235.859924024203,1248.1358914068148
topology_17_prestress,amp=1,sample_4,0.3670332431793213,1212.1946783470119,1203.760280383586,1213.7090432106268,1272.2304543680507,1219.5040081116447,1239.951584991322
topology_17_prestress,amp=1,sample_4,0.40039992332458496,1228.7774732305666,1235.4768030354337,1233.8032578425868,1241.3300263455299,1190.983811392356,1196.740857335051
topology_17_prestress,amp=1,sample_4,0.43376660346984863,1194.1736103645542,1204.5912611988724,1201.1522457920794,1199.5151487896699,1197.5881954294766,1172.8338436351983
topology_17_prestress,amp=1,sample_4,0.4671332836151123,1141.2201689006781,1150.2631662742835,1152.932836864179,1218.812308631249,1239.5102479476159,1214.3846758620634
topology_17_prestress,amp=1,sample_4,0.500499963760376,1143.62053991487,1144.0471996513327,1144.5714202631623,1295.7849061888078,1263.9366185333754,1270.443805770417
topology_17_prestress,amp=1,sample_4,0.5338666439056396,1208.9560662985878,1193.5469223679895,1214.0492312445374,1300.3815214194883,1237.8104685047156,1247.1923137990846
topology_17_prestress,amp=1,sample_4,0.5672333240509033,1235.2127682951173,1232.2272144800365,1236.736995154584,1231.5412616779129,1202.0573977213696,1232.4193952298292
topology_17_prestress,amp=1,sample_4,0.600600004196167,1191.540152278544,1205.7996833888649,1197.3380993821274,1213.2021180455663,1199.854173996299,1185.2039818411943
topology_17_prestress,amp=1,sample_4,0.6339666843414307,1138.4332931213835,1151.144809507725,1146.7217710812806,1239.8470635759336,1225.102919452161,1214.3220995203867
topology_17_prestress,amp=1,sample_4,0.6673333644866943,1150.3877639259067,1144.3696081275702,1152.563515761751,1280.0423738812337,1251.6820865281475,1263.6403537793315
topology_17_prestress,amp=1,sample_4,0.7006998062133789,1204.4795627434246,1194.2290983935575,1204.067455646123,1269.7252627360117,1256.080633041676,1282.5609880720683
topology_17_prestress,amp=1,sample_4,0.7340664863586426,1241.9355254880797,1233.0887301055259,1233.0692801327582,1193.654705127637,1231.6998285599157,1242.9596220686965
topology_17_prestress,amp=1,sample_4,0.7674331665039062,1211.517961528842,1208.1720672492713,1204.7088832672705,1148.3126867306376,1216.0310508896805,1189.3569332319419
topology_17_prestress,amp=1,sample_4,0.8007998466491699,1145.335726072269,1152.1021516558071,1148.6792234818636,1180.8229809011941,1226.0355622475809,1224.1200830920934
topology_17_prestress,amp=1,sample_4,0.8341665267944336,1148.344670934866,1140.8469653556401,1145.303237445636,1274.0190332475881,1233.4757687420308,1259.847284782445
topology_17_prestress,amp=1,sample_4,0.8675332069396973,1198.7210979515507,1190.7304026177658,1206.9818629321182,1291.6450168494312,1209.7808883574526,1247.3960850960852
