topology,amplitude,sample,basis_nmse_x,basis_nmse_y,basis_nmse_2d,basis_R2_x,basis_R2_y,basis_R2_2d,actual_nmse_x,actual_nmse_y,actual_nmse_2d,actual_train_nmse_x,actual_train_nmse_y,actual_train_nmse_2d,sum_c_x,sum_c_y,sum_c_2d,Q_mech_x_abs,Q_mech_y_abs,Q_mech_2d_abs,Q_mech_x_norm,Q_mech_y_norm,Q_mech_2d_norm,mean_capacity_validation,median_capacity_validation,max_capacity_validation,mean_capacity_used,median_capacity_used,max_capacity_used,capacity_target_window,num_modes,num_features,number_linear_features,number_candidate_features,svd_rank,condition_number,selected_filter_length_s,selected_filter_length_frames,selected_frequencies_hz,mechanical_degree,selected_dictionary_path,num_state_nodes,num_state_features,basis_adequacy_label_x,basis_adequacy_label_y,basis_adequacy_label_2d
topology_10_prestress,amp=2.5,sample_0,0.3205244304709183,0.5471103956220332,0.32742540252868096,0.6794755695290817,0.45288960437796677,0.6725745974713191,0.3519582145240342,0.3863426161817491,0.3530054364687143,0.3831943477916912,0.4788513773455235,0.38671723897816035,0.550938606262207,0.3324041962623596,0.5428903698921204,0.36841344785070346,0.19799178106598486,0.36213708923757365,0.6687014554129199,0.5956356246168268,0.6670538092424354,0.13248491264086065,0.0,0.8330158964895261,0.13248491264086065,0.0,0.8330158964895261,validation,20,65,10,65,20,39.701515197753906,3.0,90,5.82,2,/home/wensin/Documents/spring-mass-ipc/data/experiment_data/task_specific_ipc/mechanical_response_basis_calibration/topology_10_prestress/hidden_node_10/horizon_5_steps/selected_mechanical_response_dictionary.json,14,28,partial,weak,partial
topology_10_prestress,amp=2.5,sample_1,0.3196909012056815,0.5342660394988565,0.3263716975003403,0.6803090987943186,0.46573396050114346,0.6736283024996597,0.2695030565786426,0.40299868364643976,0.2736594425316562,0.39718088147009395,0.45034179477028696,0.39924975865992485,0.5470184683799744,0.35333946347236633,0.5394811034202576,0.36851274155768327,0.21434018240246455,0.3625127763248769,0.6736751368725342,0.6066126333472159,0.6719656611261845,0.14835223517970375,0.0,0.8365614797999658,0.14835223517970375,0.0,0.8365614797999658,validation,20,65,10,65,20,39.63587188720703,3.0,90,5.82,2,/home/wensin/Documents/spring-mass-ipc/data/experiment_data/task_specific_ipc/mechanical_response_basis_calibration/topology_10_prestress/hidden_node_10/horizon_5_steps/selected_mechanical_response_dictionary.json,14,28,partial,weak,partial
topology_10_prestress,amp=2.5,sample_2,0.32161559968915493,0.546872126618431,0.328428846985727,0.678384400310845,0.453127873381569,0.671571153014273,0.2769939549738056,0.3944580021687524,0.2805468447075917,0.38957437465266354,0.46664942552227257,0.392433117623059,0.5528082847595215,0.3364194929599762,0.5447823405265808,0.3626744036245312,0.19486531286764172,0.3564502972792555,0.656058191642875,0.5792331209857238,0.6542985533171182,0.1280022096835792,0.0,0.8358635701111867,0.1280022096835792,0.0,0.8358635701111867,validation,21,65,10,65,21,44.28701400756836,3.0,90,5.82,2,/home/wensin/Documents/spring-mass-ipc/data/experiment_data/task_specific_ipc/mechanical_response_basis_calibration/topology_10_prestress/hidden_node_10/horizon_5_steps/selected_mechanical_response_dictionary.json,14,28,partial,weak,partial
topology_10_prestress,amp=2.5,sample_3,0.3098173150696799,0.6885420168148177,0.3221896272639899,0.6901826849303201,0.31145798318518225,0.6778103727360101,0.4847368481147125,1.0170682325721583,0.5021272376218883,0.3945154811050587,0.45967362972953585,0.39715164281982923,0.5497539043426514,0.3481220006942749,0.5415963530540466,0.29278836549010523,0.144840579340895,0.28680269446217055,0.5325807841968789,0.4160626994330525,0.5295506383026736,0.0764644139186692,0.0,0.7902956996903725,0.0764644139186692,0.0,0.7902956996903725,validation,20,65,10,65,20,40.36210632324219,3.0,90,5.82,2,/home/wensin/Documents/spring-mass-ipc/data/experiment_data/task_specific_ipc/mechanical_response_basis_calibration/topology_10_prestress/hidden_node_10/horizon_5_steps/selected_mechanical_response_dictionary.json,14,28,partial,weak,partial
topology_10_prestress,amp=2.5,sample_4,0.3183815634515254,0.5411610015577845,0.3252394857783508,0.6816184365484745,0.45883899844221554,0.6747605142216492,0.3179582006582673,0.4669302927851891,0.32254407736823476,0.38052073690703003,0.4414768344955138,0.3828072664992115,0.5500752329826355,0.34128621220588684,0.542243242263794,0.3691500496785275,0.20473546103639292,0.3629826663723251,0.6710901119414344,0.5998937364421939,0.6694092947233798,0.13852238786453647,0.0027955530207292023,0.8376552557353448,0.13852238786453647,0.0027955530207292023,0.8376552557353448,validation,20,65,10,65,20,39.77811813354492,3.0,90,5.82,2,/home/wensin/Documents/spring-mass-ipc/data/experiment_data/task_specific_ipc/mechanical_response_basis_calibration/topology_10_prestress/hidden_node_10/horizon_5_steps/selected_mechanical_response_dictionary.json,14,28,partial,weak,partial
topology_17_prestress,amp=1,sample_0,0.4035660933507682,0.6533741341403595,0.42944224841190354,0.5964339066492318,0.3466258658596405,0.5705577515880964,0.19346083942716158,0.07992576228316277,0.18170040428756337,0.3011541953134277,0.05410667087435416,0.2555101312527802,0.5509145677312187,0.6245812881296146,0.5645251008164488,0.3163443218051567,0.06869035368962656,0.27058821228248664,0.5742166577804045,0.10997824461781151,0.4793200725550491,0.2918949261780776,0.08702672676452528,0.7505992072973597,0.2918949261780776,0.08702672676452528,0.7505992072973597,validation,5,12,12,12,5,25.01927354891713,8.0,240,5.9138162,1,/home/wensin/Documents/spring-mass-ipc/data/experiment_data/task_specific_ipc/mechanical_response_basis_calibration/topology_17_prestress/hidden_node_10/horizon_5_steps/selected_mechanical_response_dictionary.json,14,28,weak,weak,weak
topology_17_prestress,amp=1,sample_1,0.4079922941057137,0.5948425368973704,0.4282181198879661,0.5920077058942863,0.40515746310262957,0.5717818801120339,0.36793443363522593,0.0968977677541211,0.338595748799658,0.2883181961305153,0.05744343052626567,0.24689731599213255,0.5583422073468133,0.6326568529733895,0.5716748815391123,0.04103860552229212,0.020102712605077802,0.0372825297604203,0.0735008118359948,0.03177506496704834,0.06521631606420256,0.14513533071137244,0.0,0.7256766535568622,0.14513533071137244,0.0,0.7256766535568622,validation,5,12,12,12,5,24.756500674635877,8.0,240,5.9138162,1,/home/wensin/Documents/spring-mass-ipc/data/experiment_data/task_specific_ipc/mechanical_response_basis_calibration/topology_17_prestress/hidden_node_10/horizon_5_steps/selected_mechanical_response_dictionary.json,14,28,weak,weak,weak
topology_17_prestress,amp=1,sample_2,0.4061631328777542,0.5892224304499363,0.42599115628406936,0.5938368671222458,0.4107775695500637,0.5740088437159306,0.20996180683139956,0.10072887661651489,0.19813026849510165,0.2774620146812679,0.05272397074078856,0.23671355923717238,0.5620788860258913,0.6369802243139259,0.5756596478427088,0.3226768048122769,0.07283223026481409,0.2773761501683634,0.5740774343859864,0.11433986093251122,0.4818405306118533,0.28646454477676625,0.03365634400485806,0.7574242962136496,0.28646454477676625,0.03365634400485806,0.7574242962136496,validation,5,12,12,12,5,24.68605053224641,8.0,240,5.9138162,1,/home/wensin/Documents/spring-mass-ipc/data/experiment_data/task_specific_ipc/mechanical_response_basis_calibration/topology_17_prestress/hidden_node_10/horizon_5_steps/selected_mechanical_response_dictionary.json,14,28,weak,weak,weak
topology_17_prestress,amp=1,sample_3,0.41446810680498103,0.5930263697689886,0.4339130097270319,0.585531893195019,0.4069736302310114,0.5660869902729682,0.23704073112471466,0.09223657804745299,0.22127163339404984,0.2802539554877054,0.050255673635180034,0.23755634067038722,0.5639882755459945,0.6485268847830085,0.5796822926722106,0.3251631933790394,0.0833116617259567,0.28026510345277134,0.576542469901968,0.12846292679729396,0.48348053234610555,0.2994064579350458,0.07547830445598458,0.7588373405235878,0.2994064579350458,0.07547830445598458,0.7588373405235878,validation,5,12,12,12,5,24.642714450885894,8.0,240,5.9138162,1,/home/wensin/Documents/spring-mass-ipc/data/experiment_data/task_specific_ipc/mechanical_response_basis_calibration/topology_17_prestress/hidden_node_10/horizon_5_steps/selected_mechanical_response_dictionary.json,14,28,weak,weak,weak
topology_17_prestress,amp=1,sample_4,0.41161126412600213,0.5806808810442281,0.4300741116922467,0.5883887358739979,0.4193191189557719,0.5699258883077534,0.18959940460156832,0.07976852811860036,0.17760558355001355,0.2834919359220361,0.05318458841039215,0.24151516291399686,0.568635175310178,0.6470840100271479,0.5829335855139297,0.323885654046562,0.07860181457452284,0.27917920345649744,0.5695842749613396,0.12147080341426636,0.4789211162200676,0.28531629064875486,0.057237878942797304,0.7189163898966381,0.28531629064875486,0.057237878942797304,0.7189163898966381,validation,5,12,12,12,5,24.5741099612773,8.0,240,5.9138162,1,/home/wensin/Documents/spring-mass-ipc/data/experiment_data/task_specific_ipc/mechanical_response_basis_calibration/topology_17_prestress/hidden_node_10/horizon_5_steps/selected_mechanical_response_dictionary.json,14,28,weak,weak,weak
