sample,H,D,number_of_terms,selected_alpha,validation_nmse_2d,train_nmse_x,test_nmse_x,train_nmse_y,test_nmse_y,train_nmse_2d,test_nmse_2d,num_train_rows,num_test_rows,terms_per_train_row
sample_0,0,1,1,1.0,0.835249010842579,0.5231119815594032,0.28433268227294317,0.9848678505008449,0.9308960113800457,0.6106486679801142,0.35130639900334737,299,299,0.0033444816053511705
sample_0,1,1,2,0.01,0.8227684988799205,0.5175865951793072,0.27429610504454244,0.9612128199244544,0.9318832573389326,0.6016863810954978,0.3424117151954276,299,299,0.006688963210702341
sample_0,2,1,3,1.0,0.8185233072438869,0.5040858686968152,0.27334429528942394,0.9536137471883769,0.9329504617476873,0.5893044518998666,0.3416690433183768,299,299,0.010033444816053512
sample_0,3,1,4,0.01,0.8092204734927497,0.48718113818279335,0.2575217489354333,0.9330885688687166,0.9344563148865749,0.5717133803437882,0.3276414446002656,299,299,0.013377926421404682
sample_0,4,1,5,0.01,0.7909792842912803,0.4743471110345406,0.26527193230049545,0.9202012516420368,0.9450081411134376,0.5588692508076755,0.33568183377651284,299,299,0.016722408026755852
sample_0,5,1,6,0.01,0.7505521875122428,0.4515996832657005,0.2666662188894309,0.9177897810851152,0.9491668846182084,0.5399769820725598,0.3373624743018065,299,299,0.020066889632107024
sample_0,6,1,7,0.01,0.7495306699467483,0.4480586982228271,0.2675337695416897,0.8756062222762803,0.9534958178719769,0.5291103882182713,0.33858856934935166,299,299,0.023411371237458192
sample_0,7,1,8,0.01,0.7505997735851573,0.4338882615783215,0.25618610010837617,0.8708505008512297,0.9508251485323623,0.5167247322973869,0.3281396996471448,299,299,0.026755852842809364
sample_0,8,1,9,0.01,0.7429786722576329,0.4338891332095861,0.2561106787139843,0.8435672831941793,0.968426019357384,0.5115532630252618,0.329895262063081,299,299,0.030100334448160536
sample_0,9,1,10,0.01,0.7409912010897243,0.43377566786710403,0.25640571642605825,0.826082797063852,0.9788252962807441,0.5081467120897387,0.3312369388656327,299,299,0.033444816053511704
sample_0,10,1,11,0.01,0.744740680047931,0.4337543517968134,0.256383678032794,0.8202559896324813,0.9788877327507765,0.5070248285746681,0.331223650729784,299,299,0.03678929765886288
sample_0,11,1,12,1.0,0.737695209018483,0.45202084344304777,0.26606234265556766,0.8101585623883878,0.931972999158625,0.5199142722166031,0.3350401359646678,299,299,0.04013377926421405
sample_0,12,1,13,1.0,0.729106832681692,0.44251861575191964,0.2615070654687935,0.7978737516105092,0.9367614042258782,0.5098845404492134,0.33145271621788214,299,299,0.043478260869565216
sample_0,13,1,14,1.0,0.7381519191230377,0.44225573798431356,0.25878366885498955,0.7946946716975825,0.9355284731184392,0.5090688279697939,0.3288837082155658,299,299,0.046822742474916385
