train_nmse_x_mean,train_nmse_x_std,val_nmse_x_mean,val_nmse_x_std,train_nmse_y_mean,train_nmse_y_std,val_nmse_y_mean,val_nmse_y_std,train_nmse_2d_mean,train_nmse_2d_std,val_nmse_2d_mean,val_nmse_2d_std,train_validation_gap_2d,topology,amplitude,sample,H,D,horizon_steps,lag_stride_frames,readout_time_delays,target_time_delays,number_of_terms,selected_alpha,min_training_rows_per_fold,terms_per_training_row,overparameterized,condition_warning,num_usable_rows
0.312330999666819,0.04285818908146979,0.4100890770976386,0.12589910272166632,0.546750681876,0.04958269612044675,0.6167818740065849,0.10654009086828346,0.3199988736181628,0.04336849369494366,0.41774009674560947,0.1248111290974487,0.09774122312744665,topology_10_prestress,amp=2.5,sample_0,0,1,5,1,[0],[5],1,0.0001,448,0.002232142857142857,False,,598
0.30626492089853896,0.04285475208405411,0.4048623658494833,0.12663148187309706,0.5265255943300243,0.04660335564278627,0.5971441366643174,0.09986756199847999,0.3134631952263421,0.04326453500350811,0.4119374488866506,0.1254585581520758,0.09847425366030854,topology_10_prestress,amp=2.5,sample_0,1,1,5,1,"[0, 1]","[5, 6]",2,0.01,447,0.0044742729306487695,False,,597
0.30593475359483047,0.04286810180126967,0.40442314851762134,0.12640126469872298,0.4961613547330949,0.044265462573372445,0.5658982755385888,0.0982395085057239,0.3121443292983692,0.043150837607049394,0.41030906477188744,0.12521010909788827,0.09816473547351823,topology_10_prestress,amp=2.5,sample_0,2,1,5,1,"[0, 1, 2]","[5, 6, 7]",3,0.01,447,0.006711409395973154,False,,596
0.30534858680483734,0.043016088064629504,0.4038797513394598,0.12511627020009672,0.4922361309360838,0.04346434106412112,0.5649446384809478,0.09647238927052056,0.3114497951797639,0.04328141732166203,0.4097764513324597,0.12394763114688352,0.09832665615269581,topology_10_prestress,amp=2.5,sample_0,3,1,5,1,"[0, 1, 2, 3]","[5, 6, 7, 8]",4,0.01,446,0.008968609865470852,False,,595
0.30450627971606287,0.0436243296992474,0.4061957754025242,0.12796083638049843,0.4883239830198418,0.04083596099109184,0.5627819357267131,0.08886637354900974,0.31050049221422205,0.04377890548483494,0.4118701802711652,0.1264727380403541,0.10136968805694313,topology_10_prestress,amp=2.5,sample_0,4,1,5,1,"[0, 1, 2, 3, 4]","[5, 6, 7, 8, 9]",5,0.01,445,0.011235955056179775,False,,594
0.3013660794833994,0.04229577377544994,0.4024548346115382,0.12401395948577404,0.4857886124997162,0.039515803630892646,0.5607571982135988,0.08568941668313267,0.30737508245526274,0.04243286462535884,0.4081613823888679,0.12241239781537107,0.10078629993360516,topology_10_prestress,amp=2.5,sample_0,5,1,5,1,"[0, 1, 2, 3, 4, 5]","[5, 6, 7, 8, 9, 10]",6,0.01,444,0.013513513513513514,False,,593
0.30133615553223475,0.04231219481521716,0.40316959133483454,0.12452285364795057,0.48150058642387644,0.037571744600706745,0.5580595356582034,0.08088117217198165,0.30719966192918563,0.04236179748197717,0.4087142754586497,0.12272133800278263,0.10151461352946406,topology_10_prestress,amp=2.5,sample_0,6,1,5,1,"[0, 1, 2, 3, 4, 5, 6]","[5, 6, 7, 8, 9, 10, 11]",7,0.01,444,0.015765765765765764,False,,592
0.2997586345353188,0.042181814658540984,0.39954391418798785,0.12229831551536714,0.4785204052659542,0.03753583745738051,0.5530203609283812,0.082787169521429,0.30557577610557496,0.04222237571792505,0.4050496933922917,0.12053404085303454,0.09947391728671673,topology_10_prestress,amp=2.5,sample_0,7,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7]","[5, 6, 7, 8, 9, 10, 11, 12]",8,0.01,443,0.01805869074492099,False,,591
0.2990939280839249,0.0418414860043138,0.3984455009686496,0.12046545302741447,0.47855217701748026,0.03836969766241441,0.5549482642624559,0.0853894748312678,0.3049349442473852,0.04193475776314269,0.4040803392541646,0.11897340913409679,0.09914539500677938,topology_10_prestress,amp=2.5,sample_0,8,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5, 6, 7, 8, 9, 10, 11, 12, 13]",9,0.01,442,0.020361990950226245,False,,590
0.29823063787866,0.04120615148800791,0.39787299247211416,0.11938621458999625,0.47786365694696914,0.038303719456741755,0.5561434312039133,0.08605983686346559,0.30408005515842274,0.041317657540925645,0.4035836544875167,0.11793846406676846,0.09950359932909397,topology_10_prestress,amp=2.5,sample_0,9,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",10,0.01,441,0.022675736961451247,False,,589
