H,D,horizon_steps,lag_stride_frames,readout_time_delays,target_time_delays,number_of_terms,num_topology_sample_pairs,overparameterized_fraction,condition_warning,selected_alpha,selected_alpha_std_across_samples,min_training_rows_per_fold,min_training_rows_per_fold_std_across_samples,terms_per_training_row,terms_per_training_row_std_across_samples,train_nmse_x_mean,train_nmse_x_mean_std_across_samples,val_nmse_x_mean,val_nmse_x_mean_std_across_samples,train_nmse_y_mean,train_nmse_y_mean_std_across_samples,val_nmse_y_mean,val_nmse_y_mean_std_across_samples,train_nmse_2d_mean,train_nmse_2d_mean_std_across_samples,val_nmse_2d_mean,val_nmse_2d_mean_std_across_samples,train_validation_gap_2d,train_validation_gap_2d_std_across_samples
25,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",26,35,0.0,,0.01,0.0,429.0,0.0,0.0606060606060606,6.938893903907228e-18,0.3072066436239443,0.060649036040325704,0.46509398582908507,0.13000655713527004,0.5684661253885668,0.11538544174369586,0.7118948626387467,0.12426949720383092,0.3165678849384523,0.05847222725395557,0.4752467007229559,0.12588974519236085,0.15867881578450357,0.06817633263799555
26,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",27,35,0.0,,0.01,0.0,429.0,0.0,0.06293706293706294,0.0,0.3063106730775372,0.06064662760807715,0.46726333398407593,0.13095477297222455,0.5649428553290669,0.11206144905244264,0.7114894619026965,0.12111929657707338,0.3155933224642359,0.058479633032337906,0.4773333553119869,0.12682860779424387,0.16174003284775104,0.06901281648458274
27,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",28,35,0.0,,0.01,0.0,428.0,0.0,0.06542056074766353,1.3877787807814457e-17,0.30504031096257217,0.06079292829767787,0.4632604175140516,0.13774565820345322,0.563616723446069,0.11145353395884537,0.7118307607920196,0.12215299555029643,0.31430189813266113,0.058666023538317576,0.4734798910360691,0.1335261273457441,0.15917799290340792,0.0755625244532634
28,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]",29,35,0.0,,0.01,0.0,427.0,0.0,0.06791569086651053,1.3877787807814457e-17,0.30388237511267074,0.06048106569624536,0.46045547734996667,0.14065773485829888,0.5620466797849276,0.11112699678242147,0.7113248389054058,0.12370361615994556,0.3131111687923136,0.05835368998030825,0.47071645103482224,0.13639403557973817,0.15760528224250864,0.07868252846165452
29,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",30,35,0.0,,0.01,0.0,426.0,0.0,0.0704225352112676,1.3877787807814457e-17,0.3025369403965005,0.06064268548405222,0.4595239922128729,0.14202710608861582,0.5594227547618389,0.10937560947669922,0.711056649393788,0.12187927673326505,0.31171741513392376,0.058527876213514456,0.4697959374355784,0.137877624243424,0.15807852230165456,0.07990912928537651
30,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",31,35,0.0,,0.01,0.0,426.0,0.0,0.07276995305164317,1.3877787807814457e-17,0.3015428776597198,0.06109127724555928,0.45996121678477503,0.14519088614010378,0.5571911438138182,0.11050374156821127,0.7124117774052218,0.12412517052853493,0.31064979267306864,0.058997340846945814,0.47021463446890915,0.14095034486853938,0.1595648417958406,0.0824895629152762
0,2,5,1,[0],[5],2,35,0.0,,0.8571485714371428,0.349913109496559,448.0,0.0,0.004464285714285715,8.673617379884035e-19,0.3420429063004656,0.06456812736533489,0.4600380146515181,0.11523871121149465,0.6576003675426166,0.14437262157445738,0.7289721497120947,0.13604902398327598,0.3533493951754717,0.06304688823988211,0.47112534524034494,0.11206506641139166,0.11777595006487324,0.05043327046800108
1,2,5,1,"[0, 1]","[5, 6]",5,35,0.0,,0.009151428571428573,0.00277142268040611,447.0,0.0,0.011185682326621925,0.0,0.32964553756076825,0.06332908798388061,0.45165038753644593,0.11425279260825151,0.6392801594542814,0.14793789206133792,0.7150603274034113,0.13874297210142394,0.34074256337230135,0.061461558399348935,0.4624965179549607,0.11055504988467416,0.12175395458265942,0.050328120592205546
2,2,5,1,"[0, 1, 2]","[5, 6, 7]",9,35,0.0,,0.008582857145714285,0.003471309808658656,447.0,0.0,0.02013422818791946,3.469446951953614e-18,0.3244954061130822,0.06444350252337362,0.44834607806087795,0.11885169599789432,0.6170333119331103,0.14289614914616058,0.7023229187263167,0.13810750747997957,0.33501937237538115,0.06222025491791742,0.4588281484891104,0.11464144806525504,0.12380877611372917,0.05385759657457355
3,2,5,1,"[0, 1, 2, 3]","[5, 6, 7, 8]",14,35,0.0,,0.17971428571428572,0.373114197105434,446.0,0.0,0.03139013452914799,6.938893903907228e-18,0.32228220941068175,0.06726930489819437,0.45174393505232313,0.12106840861610535,0.6135007729635414,0.14363965945752402,0.708612032477183,0.1411923358874366,0.33274007676698875,0.06522514440449884,0.46234743015463653,0.11704971829013738,0.12960735338764784,0.05337949303694727
4,2,5,1,"[0, 1, 2, 3, 4]","[5, 6, 7, 8, 9]",20,35,0.0,,0.4342857142857143,0.48992294271233955,445.0,0.0,0.04494382022471911,6.938893903907228e-18,0.32109922792453643,0.06629044027379402,0.45675309722053026,0.12064597996624313,0.609217070574839,0.13468147030986435,0.7156126940387058,0.1378194312794885,0.3314486651419512,0.06424700762841333,0.46740937633318436,0.11675049019590804,0.13596071119123318,0.054087156202339864
5,2,5,1,"[0, 1, 2, 3, 4, 5]","[5, 6, 7, 8, 9, 10]",27,35,0.0,,0.37771428571428567,0.4783548337152824,444.0,0.0,0.06081081081081083,1.3877787807814457e-17,0.31779940281704766,0.06554455764520234,0.46154644351952234,0.1227524037428142,0.5978059118686089,0.1311323326402813,0.7111223358128975,0.13739055512413315,0.3278908057885671,0.0637818479124985,0.47177128616024516,0.11892721704814908,0.143880480371678,0.056583170122821214
6,2,5,1,"[0, 1, 2, 3, 4, 5, 6]","[5, 6, 7, 8, 9, 10, 11]",35,35,0.0,,0.6888571428571428,0.45958845831940576,444.0,0.0,0.07882882882882883,0.0,0.3181217938647298,0.06451218234558428,0.4650751234580697,0.12336764010742067,0.5978356508205688,0.13406633307885396,0.7149797886951584,0.13402618889412518,0.3281779755641391,0.062650986781554,0.4753382560434967,0.1194187729096615,0.1471602804793577,0.05846349205407829
7,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7]","[5, 6, 7, 8, 9, 10, 11, 12]",44,35,0.0,,0.4908571428571428,0.4947979179340154,443.0,0.0,0.09932279909706544,1.3877787807814457e-17,0.31263375879444677,0.06259996256924445,0.4649503668787724,0.12577820946528911,0.5837599633170013,0.13610227209698897,0.7105759632035321,0.13984668798809796,0.3223845012606953,0.06088037371162495,0.47503476387340454,0.12183219776955947,0.15265026261270934,0.06260920552586582
8,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5, 6, 7, 8, 9, 10, 11, 12, 13]",54,35,0.0,,0.5191428571428571,0.4947979179340154,442.0,0.0,0.12217194570135743,2.7755575615628914e-17,0.3095725545203696,0.061396469084129976,0.4643237804973827,0.12846808333670948,0.5768563322358581,0.13216590568462247,0.7157152904036865,0.13982037199132993,0.31918508291584025,0.05976534759669124,0.47467987147996615,0.1245041626107353,0.1554947885641258,0.06656274693359653
