H,D,horizon_steps,lag_stride_frames,readout_time_delays,target_time_delays,number_of_terms,num_topology_sample_pairs,overparameterized_fraction,ill_conditioned_fraction,num_train_rows_mean,num_train_rows_std,num_validation_rows_mean,num_validation_rows_std,terms_per_train_row_mean,terms_per_train_row_std,condition_number_mean,condition_number_std,train_nmse_x_mean,train_nmse_x_std,train_nmse_y_mean,train_nmse_y_std,train_nmse_2d_mean,train_nmse_2d_std,validation_nmse_x_mean,validation_nmse_x_std,validation_nmse_y_mean,validation_nmse_y_std,validation_nmse_2d_mean,validation_nmse_2d_std,train_validation_gap_2d_mean,train_validation_gap_2d_std
18,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",209,4,0.0,0.0,299.0,0.0,299.0,0.0,0.6989966555183946,0.0,2544241192.0589185,1688324392.0018733,0.1333453409947973,0.009806252118693005,0.3021236661482686,0.018403805284877377,0.1648827301429653,0.009139937447130738,0.903652122057665,0.14578972737975546,2.2576759559602344,0.2339750855066229,1.0495584236092557,0.11227596948787365,0.8846756934662903,0.11104846210025966
19,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",230,4,0.0,0.0,299.0,0.0,299.0,0.0,0.7692307692307693,0.0,21079692786.43812,17397842397.154118,0.0930819835149567,0.006572085371036065,0.2096317759736851,0.012301783262173896,0.11485768342127359,0.004764175674477731,1.4980446266830008,0.10472837487672225,3.4440793016053237,0.27970459589994123,1.707581169088007,0.06764848836354401,1.5927234856667334,0.06367434184968032
20,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",252,4,1.0,0.0,299.0,0.0,299.0,0.0,0.842809364548495,0.0,4422219263.356435,1846911585.4275045,0.060806255784025494,0.008962758347051673,0.14429911690898783,0.01750037041602683,0.07641479001288873,0.009466420694456927,2.2832609673018083,0.15729454547897884,5.434513840254294,0.3735589786608456,2.6219542404607994,0.15750433569091435,2.5455394504479107,0.16224089566081604
21,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",275,4,1.0,0.0,299.0,0.0,299.0,0.0,0.919732441471572,0.0,3736433778.3878074,2557320632.5452724,0.02904799086488388,0.006818251715634573,0.07445323366647494,0.021866249471935915,0.03754784392973905,0.008024155937783797,3.0665624101119646,0.4196100694934593,10.494431915290917,1.1323409102753152,3.8631420214765715,0.39199207792180785,3.8255941775468325,0.3909440456399586
22,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",299,4,1.0,0.0,299.0,0.0,299.0,0.0,1.0,0.0,89567265789.69644,119803210852.96588,0.005833823944349201,0.0014552473665352533,0.022064877851232886,0.010116715436808435,0.008878278361696279,0.00262706950497655,4.173423930267731,0.28287881773279916,19.32287650087067,5.434066965303371,5.7964111889006205,0.7439015852785984,5.787532910538924,0.7425140524321235
23,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",324,4,1.0,0.0,299.0,0.0,299.0,0.0,1.0836120401337792,0.0,6477716653.586169,687522665.3036815,0.14230763723128306,0.016485850763766633,0.30840561977529474,0.1046353818220088,0.173387733997538,0.026427020326596287,0.9094455692793629,0.07355758921274322,2.467149799851401,0.24037171051581227,1.076685415184133,0.08198404137222956,0.9032976811865949,0.05971089153535592
24,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",350,4,1.0,0.0,299.0,0.0,299.0,0.0,1.1705685618729098,0.0,17442061423.153793,2944617916.3648295,0.16707376224366557,0.034460539156211965,0.4710538023124437,0.3406436845383697,0.2236848214067271,0.06102610893885381,1.0649379155461418,0.09167359659377122,3.0690345902502463,1.225205943579567,1.2810228928214702,0.0634163058337121,1.0573380714147431,0.029819753913953164
25,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",377,4,1.0,0.0,299.0,0.0,299.0,0.0,1.2608695652173914,0.0,111279411698.3004,140512960526.19666,0.11439070462455746,0.052698093267197925,0.27141379941191696,0.14871510200208404,0.14358706474894745,0.045522833096793544,1.011237438717318,0.09008993150534753,2.8584631774314855,0.4312663042549629,1.2097863104055848,0.11612407430884641,1.0661992456566374,0.07574302231707271
26,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",405,4,1.0,0.0,299.0,0.0,299.0,0.0,1.354515050167224,0.0,21349765112.424984,12852899171.249939,0.07024216724738519,0.007783196569156384,0.20582417606310188,0.07916327056439944,0.09546140031566816,0.017775419258023215,1.319833229732445,0.04940356662758447,3.0453980518372123,0.09260975993725602,1.5053069587561856,0.04432081299844582,1.4098455584405176,0.05861243459752795
27,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",434,4,1.0,0.0,299.0,0.0,299.0,0.0,1.451505016722408,0.0,15628770627.100128,10191747537.76247,0.17263382342163353,0.13932058568740432,0.5539875335973944,0.505826401977139,0.24355112768377285,0.20568659941219955,2.1242929999461473,0.18819745342348163,5.903827965789144,1.8465224050231932,2.533668075965644,0.34874454322978177,2.2901169482818706,0.4197927637190251
28,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]",464,4,1.0,0.0,299.0,0.0,299.0,0.0,1.5518394648829432,0.0,46743786747.99273,26963744476.206253,0.034879982328853386,0.024687958103543614,0.3069154329530226,0.18338358307666464,0.08581764344302352,0.0406052357776676,2.9160839826251883,0.22196083118802315,7.966771199789135,1.121481284229014,3.4583439678045518,0.1787492736336669,3.372526324361528,0.2178814235057874
29,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",495,4,1.0,0.0,299.0,0.0,299.0,0.0,1.6555183946488294,0.0,33551373459.659645,13112454040.546116,0.05803786503391835,0.04208033957098668,0.26671995407756627,0.2909110649296267,0.09689648833765196,0.08498988045573719,2.6751046901831654,0.17892491420275453,7.011691095943884,0.803690471189033,3.14168482225464,0.1869880253325988,3.044788333916988,0.22759892236245596
30,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",527,4,1.0,0.0,299.0,0.0,299.0,0.0,1.7625418060200668,0.0,32114803920.382286,7367758789.120586,0.5185706786037315,0.5354571078730214,2.650605288756491,3.250071697241769,0.9164685978337899,1.0262424153780034,3.233759952680704,0.9788967635068894,16.192201128445923,9.35364325094878,4.636118984256751,1.8281988696293399,3.7196503864229618,0.8946837328579905
