topology,amplitude,sample,target_component,hidden_node,reference_node,horizon_steps,H_cut,D_cut,lag_stride_frames,target_time_delays,number_of_terms,task_ridge_alpha,ipc_ridge_alpha,basis_nmse_x,basis_R2_x,basis_adequacy_label_x,c_alpha_x_sum,Q_x_twIPC_raw,Q_x_twIPC_clipped,generic_total_ipc_raw,generic_total_ipc_clipped,actual_task_train_nmse_x,actual_task_test_nmse_x,actual_task_test_nmse_y,actual_task_test_nmse_2d
topology_10_prestress,amp=2.5,sample_0,x,10,0,5,2,1,1,"[5, 6, 7]",3,0.1,1e-06,0.2957550879601289,0.704244912039871,partial,1.9970005545765162,1.9847536701860138,1.9847536701860138,2.8688071518647575,2.8688071518647575,0.3831943653593317,0.35191335198056833,0.386341993483088,0.3529619213076103
topology_10_prestress,amp=2.5,sample_1,x,10,0,5,2,1,1,"[5, 6, 7]",3,0.1,1e-06,0.29731203299001185,0.7026879670099881,partial,1.948874119669199,1.9412916913456166,1.9412916913456166,2.908060791476546,2.908060791476546,0.3971808836549517,0.26950050165723355,0.40298700201171234,0.27365660345005494
topology_10_prestress,amp=2.5,sample_2,x,10,0,5,2,1,1,"[5, 6, 7]",3,0.1,1e-06,0.2961127114837593,0.7038872885162407,partial,1.9596738452091813,1.9509115330650197,1.9509115330650197,2.899046438529592,2.899046438529592,0.3895743840248012,0.27698897744733025,0.3944546066679392,0.2805419150320363
topology_10_prestress,amp=2.5,sample_3,x,10,0,5,2,1,1,"[5, 6, 7]",3,0.1,1e-06,0.29708692772287115,0.7029130722771288,partial,1.9310258673503995,1.9201843863814223,1.9201843863814223,2.883747505278884,2.883747505278884,0.3945154830355385,0.48473034192406866,1.016994785966414,0.5021185445981431
topology_10_prestress,amp=2.5,sample_4,x,10,0,5,2,1,1,"[5, 6, 7]",3,0.1,1e-06,0.2961151318931877,0.7038848681068123,partial,1.9560113418847322,1.947434735723696,1.947434735723696,2.9020059794568285,2.9020059794568285,0.3805207585630478,0.31795165082723054,0.46692311408529064,0.32253750817843746
topology_17_prestress,amp=1,sample_0,x,10,0,5,2,1,1,"[5, 6, 7]",3,0.1,1e-06,0.3179648059803594,0.6820351940196405,partial,7.186419367790222,7.060074617726642,7.060074617726642,2.9067005478139745,2.9067005478139745,0.31761714088822385,0.19991707860553345,0.08186564363268196,0.18768882035214934
topology_17_prestress,amp=1,sample_2,x,10,0,5,2,1,1,"[5, 6, 7]",3,0.1,1e-06,0.3272184714662541,0.672781528533746,partial,7.335732579231262,7.205623996682789,7.205623996682789,2.909794432066232,2.909794432066232,0.30277080729795747,0.20620696967430327,0.09546523472180712,0.19421200551888743
topology_17_prestress,amp=1,sample_3,x,10,0,5,2,1,1,"[5, 6, 7]",3,0.1,1e-06,0.33195228481329137,0.6680477151867086,partial,7.494923949241638,7.358391841827968,7.358391841827968,2.90816412016744,2.90816412016744,0.3017126582739122,0.22100811113863164,0.08927431802549274,0.2066623688799555
topology_17_prestress,amp=1,sample_4,x,10,0,5,2,1,1,"[5, 6, 7]",3,0.1,1e-06,0.32951221434860906,0.6704877856513909,partial,7.435908377170563,7.30900311260439,7.30900311260439,2.912745517773315,2.912745517773315,0.30975185851187365,0.18848004566905277,0.07854015978022354,0.17647432050320253
