topology,amplitude,target_component,group_type,group_value,num_samples,c_alpha_x_sum_mean,c_alpha_x_sum_std,IPC_alpha_clipped_sum_mean,IPC_alpha_clipped_sum_std,weighted_contribution_x_sum_mean,weighted_contribution_x_sum_std
topology_10_prestress,amp=2.5,x,degree,1,5,1.9585171457380057,0.021621045773034163,2.8923335733213213,0.014235002364860078,1.9489152033403538,0.020852580659681208
topology_10_prestress,amp=2.5,x,readout_time_delay,0,5,1.637795376777649,0.01327635296513998,0.9999690508721313,4.9892730970714455e-05,1.6377450962139228,0.013326154421542821
topology_10_prestress,amp=2.5,x,readout_time_delay,1,5,0.30916550755500793,0.00814009602231046,0.9721402984581673,0.004578614965851411,0.30053953040270215,0.0075072858911775075
topology_10_prestress,amp=2.5,x,readout_time_delay,2,5,0.011556261405348777,0.0006646977896276957,0.9202242239910232,0.009855781201147398,0.010630576723728854,0.0005516499375296245
topology_10_prestress,amp=2.5,x,target_time_delay,5,5,1.637795376777649,0.01327635296513998,0.9999690508721313,4.9892730970714455e-05,1.6377450962139228,0.013326154421542821
topology_10_prestress,amp=2.5,x,target_time_delay,6,5,0.30916550755500793,0.00814009602231046,0.9721402984581673,0.004578614965851411,0.30053953040270215,0.0075072858911775075
topology_10_prestress,amp=2.5,x,target_time_delay,7,5,0.011556261405348777,0.0006646977896276957,0.9202242239910232,0.009855781201147398,0.010630576723728854,0.0005516499375296245
topology_17_prestress,amp=1,x,degree,1,4,7.363246068358421,0.11687979888927719,2.90935115445524,0.0022446026008312338,7.233273392210447,0.114183976044555
topology_17_prestress,amp=1,x,readout_time_delay,0,4,3.1472816467285156,0.006333556712295365,0.9999993278814959,9.138440409133531e-08,3.1472795317820568,0.006333750655801813
topology_17_prestress,amp=1,x,readout_time_delay,1,4,3.4208115935325623,0.08200650591434556,0.9779330778948971,0.0005928925983653204,3.3453391944222592,0.08080424485113655
topology_17_prestress,amp=1,x,readout_time_delay,2,4,0.7951528280973434,0.03323987484067698,0.9314187486788472,0.0017630315831181646,0.7406546660061316,0.031753303059635044
topology_17_prestress,amp=1,x,target_time_delay,5,4,3.1472816467285156,0.006333556712295365,0.9999993278814959,9.138440409133531e-08,3.1472795317820568,0.006333750655801813
topology_17_prestress,amp=1,x,target_time_delay,6,4,3.4208115935325623,0.08200650591434556,0.9779330778948971,0.0005928925983653204,3.3453391944222592,0.08080424485113655
topology_17_prestress,amp=1,x,target_time_delay,7,4,0.7951528280973434,0.03323987484067698,0.9314187486788472,0.0017630315831181646,0.7406546660061316,0.031753303059635044
