sample,H,D,number_of_terms,selected_alpha,validation_nmse_2d,train_nmse_x,test_nmse_x,train_nmse_y,test_nmse_y,train_nmse_2d,test_nmse_2d,num_train_rows,num_test_rows,terms_per_train_row
sample_0,0,1,1,1.0,0.7005728852077471,0.45047427857716904,0.25781688201931624,0.6719492607620211,0.4740470828444426,0.4586308381776668,0.26440245572395205,299,299,0.0033444816053511705
sample_0,1,1,2,0.01,0.6885966177196813,0.4430948314486891,0.2515242933571268,0.6481483625750695,0.45697585774049626,0.45064661599530165,0.25778158958501884,299,299,0.006688963210702341
sample_0,2,1,3,0.01,0.6867259008610564,0.44286223408071684,0.2506447795209652,0.6233910783945872,0.42407774955805094,0.4495108147182629,0.2559269075615197,299,299,0.010033444816053512
sample_0,3,1,4,1e-10,0.6807962269177747,0.44144546196633033,0.25160260376735644,0.6121955956610458,0.4301233436680812,0.44773390876304997,0.2570396864964852,299,299,0.013377926421404682
sample_0,4,1,5,1e-10,0.6758697189232893,0.44025285238856343,0.2558684287064789,0.6040748312387342,0.4314511414337962,0.4462861466287571,0.2612160299736155,299,299,0.016722408026755852
sample_0,5,1,6,1e-10,0.6464645000794772,0.4298646432177368,0.26032904463267353,0.5976056527792483,0.4339410622234356,0.43604226891811604,0.26561662580075984,299,299,0.020066889632107024
sample_0,6,1,7,0.01,0.6478252558860225,0.42990028488414206,0.26069520728510215,0.5951023926523649,0.42937778057888926,0.43598440700415064,0.2658326557769169,299,299,0.023411371237458192
sample_0,7,1,8,0.01,0.6477563206946394,0.4284445768717729,0.2580440063351849,0.5913429094475088,0.4252507456395846,0.43444385473768865,0.2631365063717153,299,299,0.026755852842809364
sample_0,8,1,9,0.01,0.6476172369356528,0.426570641580601,0.2566428155096295,0.5911301170174557,0.4254965466282856,0.4326310966080094,0.2617854768369619,299,299,0.030100334448160536
sample_0,9,1,10,0.0001,0.643552240700877,0.42423188050503624,0.25567453807059615,0.5900457913731246,0.4253298727109609,0.43033853432771657,0.260841613282085,299,299,0.033444816053511704
sample_0,10,1,11,0.01,0.6375679449944157,0.4218313020959987,0.25289413965743973,0.587818858783973,0.42426797448607706,0.4279443510088393,0.25811355404083025,299,299,0.03678929765886288
