topology,tau_frames,tau_seconds,mc_mean,mc_std,mc_raw_mean,mc_raw_std,num_samples
topology_17_prestress,0,0.0,0.9999993077438522,9.112273963757424e-08,0.9999993077438522,9.112273963757424e-08,5
topology_17_prestress,1,0.03336668014526367,0.9713722635718295,0.013132340465531932,0.9713722635718295,0.013132340465531932,5
topology_17_prestress,2,0.06673336029052734,0.8074787455648128,0.2478850229113566,0.8074787455648128,0.2478850229113566,5
topology_17_prestress,3,0.10010004043579102,0.704307650352637,0.35218672229230963,-0.21851358247781344,2.1978015621958518,5
topology_17_prestress,4,0.1334667205810547,0.6687873536214526,0.3344995627094393,-1.4989287417996104,4.66983345105171,5
topology_17_prestress,5,0.16683340072631836,0.6340563481681886,0.3171980610082308,-2.9083505082508356,7.401849165292376,5
topology_17_prestress,6,0.20020008087158203,0.5996118452040182,0.30004767227059703,-3.955707955291982,9.410453228561218,5
topology_17_prestress,7,0.2335667610168457,0.5652046532270667,0.2829177156311181,-3.588207257135996,8.589436529797096,5
topology_17_prestress,8,0.2669334411621094,0.5287368335250824,0.2648351849281347,-5.2763296891670945,11.874511863227184,5
topology_17_prestress,9,0.30030012130737305,0.4943808959680499,0.2480744273561755,-8.296622760428018,17.829210038495795,5
topology_17_prestress,10,0.3336668014526367,0.4563697708954507,0.23000123356892446,-10.52853671864824,22.19801661003527,5
topology_17_prestress,11,0.3670334815979004,0.42754217778823067,0.21712567896023063,-10.000518654086802,21.06992705468969,5
topology_17_prestress,12,0.40040016174316406,0.4026293992386332,0.20590421889938876,-6.942049242900238,14.890734739128709,5
topology_17_prestress,13,0.43376684188842773,0.38259376636982917,0.19563373744334905,-4.268223076166631,9.493018952655355,5
topology_17_prestress,14,0.4671335220336914,0.36328094161682917,0.18593689236903282,-2.329752734159025,5.567849644385025,5
topology_17_prestress,15,0.5005002021789551,0.3459292927256216,0.17861260346752703,-0.9419311816131952,2.749046779087049,5
topology_17_prestress,16,0.5338668823242188,0.3281999745972589,0.1709348890574553,-0.47818076554960315,1.777505725864231,5
topology_17_prestress,17,0.5672335624694824,0.31299589400840266,0.16488605276562648,-0.05194050997920565,0.887890149885042,5
topology_17_prestress,18,0.6006002426147461,0.3723133760248173,0.05527488690543581,0.3723133760248173,0.05527488690543581,5
topology_17_prestress,19,0.6339669227600098,0.2770033001748581,0.14845023230226045,0.2194358940477489,0.25920304670825217,5
topology_17_prestress,20,0.6673336029052734,0.2563192336596626,0.13344349010352208,-0.004884756742672569,0.6516290944678317,5
topology_17_prestress,21,0.7007002830505371,0.23333949215784075,0.11827291932602678,-0.2684800400664072,1.120476900583468,5
topology_17_prestress,22,0.7340669631958008,0.21194175880327987,0.10754412504383462,-0.26776986861584334,1.0655517691895802,5
topology_17_prestress,23,0.7674336433410645,0.1996765287264984,0.10275480355732124,-0.10273149188671923,0.7050734436986817,5
topology_17_prestress,24,0.8008003234863281,0.18845993562474173,0.10155712727633323,0.11172006919688104,0.2505886251843382,5
topology_17_prestress,25,0.8341670036315918,0.17797887547421617,0.1008773293699412,0.11120829977243127,0.22754555292367762,5
topology_17_prestress,26,0.8675336837768555,0.1657829695482805,0.0944369834448237,-0.6374400111578798,1.689943298658831,5
topology_17_prestress,27,0.9009003639221191,0.15140316541199803,0.08534373886659614,-2.183664805646624,4.746001120539262,5
topology_17_prestress,28,0.9342670440673828,0.137778528581072,0.0768009380067564,-4.050207167210252,8.444928901444886,5
topology_17_prestress,29,0.9676337242126465,0.12423473927086078,0.07277178701837352,-5.714315414048727,11.739278888259431,5
topology_17_prestress,30,1.0010004043579102,0.10800297598164706,0.06845859680288366,-7.575958454809454,15.421981748877943,5
