topology,amplitude,sample,hidden_node,reference_node,horizon_steps,tau_frames,tau_seconds,num_state_nodes,num_state_features,train_r2_raw,test_r2_raw,train_nmse,test_nmse,memory_capacity_raw,memory_capacity_clipped
topology_17_prestress,amp=1,sample_0,10,0,5,0,0.0,14,28,0.9999990769828146,0.9999993710201552,9.230171853952926e-07,6.289798447871612e-07,0.9999993710201552,0.9999993710201552
topology_17_prestress,amp=1,sample_0,10,0,5,1,0.03336668014526367,14,28,0.9544014589450823,0.9776402068447169,0.04559854105491764,0.022359793155283147,0.9776402068447169,0.9776402068447169
topology_17_prestress,amp=1,sample_0,10,0,5,2,0.06673336029052734,14,28,0.8708291425952479,0.9290609669706028,0.12917085740475215,0.07093903302939718,0.9290609669706028,0.9290609669706028
topology_17_prestress,amp=1,sample_0,10,0,5,3,0.10010004043579102,14,28,0.7908113753322545,0.871529491205417,0.2091886246677454,0.12847050879458302,0.871529491205417,0.871529491205417
topology_17_prestress,amp=1,sample_0,10,0,5,4,0.1334667205810547,14,28,0.7171847424184581,0.8201832037725613,0.28281525758154186,0.1798167962274387,0.8201832037725613,0.8201832037725613
topology_17_prestress,amp=1,sample_0,10,0,5,5,0.16683340072631836,14,28,0.6466766893597524,0.7732662596457294,0.35332331064024763,0.22673374035427057,0.7732662596457294,0.7732662596457294
topology_17_prestress,amp=1,sample_0,10,0,5,6,0.20020008087158203,14,28,0.5876665701962005,0.728092923670063,0.4123334298037995,0.27190707632993705,0.728092923670063,0.728092923670063
topology_17_prestress,amp=1,sample_0,10,0,5,7,0.2335667610168457,14,28,0.538985295198379,0.6837866568435045,0.461014704801621,0.3162133431564956,0.6837866568435045,0.6837866568435045
topology_17_prestress,amp=1,sample_0,10,0,5,8,0.2669334411621094,14,28,0.48621909228097093,0.6338145679882121,0.5137809077190291,0.36618543201178794,0.6338145679882121,0.6338145679882121
topology_17_prestress,amp=1,sample_0,10,0,5,9,0.30030012130737305,14,28,0.4254630880011545,0.5849482016045771,0.5745369119988455,0.415051798395423,0.5849482016045771,0.5849482016045771
topology_17_prestress,amp=1,sample_0,10,0,5,10,0.3336668014526367,14,28,0.37032778364831975,0.5285052812204232,0.6296722163516802,0.4714947187795769,0.5285052812204232,0.5285052812204232
topology_17_prestress,amp=1,sample_0,10,0,5,11,0.3670334815979004,14,28,0.33108518020921673,0.4853937576276637,0.6689148197907833,0.5146062423723363,0.4853937576276637,0.4853937576276637
topology_17_prestress,amp=1,sample_0,10,0,5,12,0.40040016174316406,14,28,0.2977970668763732,0.4551599459554633,0.7022029331236268,0.5448400540445367,0.4551599459554633,0.4551599459554633
topology_17_prestress,amp=1,sample_0,10,0,5,13,0.43376684188842773,14,28,0.26896367915541664,0.44377529381141056,0.7310363208445834,0.5562247061885894,0.44377529381141056,0.44377529381141056
topology_17_prestress,amp=1,sample_0,10,0,5,14,0.4671335220336914,14,28,0.2519446097742579,0.42636345596304215,0.7480553902257421,0.5736365440369579,0.42636345596304215,0.42636345596304215
topology_17_prestress,amp=1,sample_0,10,0,5,15,0.5005002021789551,14,28,0.23820919827409748,0.40490353859374684,0.7617908017259025,0.5950964614062532,0.40490353859374684,0.40490353859374684
topology_17_prestress,amp=1,sample_0,10,0,5,16,0.5338668823242188,14,28,0.22890380044212877,0.3816107507996569,0.7710961995578712,0.6183892492003431,0.3816107507996569,0.3816107507996569
topology_17_prestress,amp=1,sample_0,10,0,5,17,0.5672335624694824,14,28,0.2166162557259288,0.3577315077004525,0.7833837442740712,0.6422684922995475,0.3577315077004525,0.3577315077004525
topology_17_prestress,amp=1,sample_0,10,0,5,18,0.6006002426147461,14,28,0.20047587618055351,0.33628574022352675,0.7995241238194465,0.6637142597764732,0.33628574022352675,0.33628574022352675
topology_17_prestress,amp=1,sample_0,10,0,5,19,0.6339669227600098,14,28,0.18043604848043082,0.31643755783687977,0.8195639515195692,0.6835624421631202,0.31643755783687977,0.31643755783687977
topology_17_prestress,amp=1,sample_0,10,0,5,20,0.6673336029052734,14,28,0.1581980887376191,0.30647316608047004,0.8418019112623809,0.69352683391953,0.30647316608047004,0.30647316608047004
topology_17_prestress,amp=1,sample_0,10,0,5,21,0.7007002830505371,14,28,0.13651680154306534,0.300052251460983,0.8634831984569347,0.699947748539017,0.300052251460983,0.300052251460983
topology_17_prestress,amp=1,sample_0,10,0,5,22,0.7340669631958008,14,28,0.12204838349114833,0.2902946399068228,0.8779516165088517,0.7097053600931772,0.2902946399068228,0.2902946399068228
topology_17_prestress,amp=1,sample_0,10,0,5,23,0.7674336433410645,14,28,0.11030266428844338,0.2719074621996226,0.8896973357115566,0.7280925378003774,0.2719074621996226,0.2719074621996226
topology_17_prestress,amp=1,sample_0,10,0,5,24,0.8008003234863281,14,28,0.09695962443279793,0.24149542029240167,0.9030403755672021,0.7585045797075983,0.24149542029240167,0.24149542029240167
topology_17_prestress,amp=1,sample_0,10,0,5,25,0.8341670036315918,14,28,0.08822134524029057,0.2142934718819477,0.9117786547597094,0.7857065281180523,0.2142934718819477,0.2142934718819477
topology_17_prestress,amp=1,sample_0,10,0,5,26,0.8675336837768555,14,28,0.08008975523985018,0.18805049744485003,0.9199102447601498,0.81194950255515,0.18805049744485003,0.18805049744485003
topology_17_prestress,amp=1,sample_0,10,0,5,27,0.9009003639221191,14,28,0.07286635270536557,0.16509333562179473,0.9271336472946344,0.8349066643782053,0.16509333562179473,0.16509333562179473
topology_17_prestress,amp=1,sample_0,10,0,5,28,0.9342670440673828,14,28,0.07324826899495629,0.14306053424076126,0.9267517310050437,0.8569394657592387,0.14306053424076126,0.14306053424076126
topology_17_prestress,amp=1,sample_0,10,0,5,29,0.9676337242126465,14,28,0.07250207871066428,0.11332987495320157,0.9274979212893357,0.8866701250467984,0.11332987495320157,0.11332987495320157
topology_17_prestress,amp=1,sample_0,10,0,5,30,1.0010004043579102,14,28,0.06490735621260024,0.08636585996762403,0.9350926437873998,0.913634140032376,0.08636585996762403,0.08636585996762403
topology_17_prestress,amp=1,sample_1,10,0,5,0,0.0,14,28,0.9999993302402762,0.9999992271881635,6.697597238302394e-07,7.728118365566192e-07,0.9999992271881635,0.9999992271881635
topology_17_prestress,amp=1,sample_1,10,0,5,1,0.03336668014526367,14,28,0.9540934790538687,0.9451290054094413,0.04590652094613131,0.054870994590558705,0.9451290054094413,0.9451290054094413
topology_17_prestress,amp=1,sample_1,10,0,5,2,0.06673336029052734,14,28,0.8699637443105855,0.31171873122159033,0.13003625568941443,0.6882812687784097,0.31171873122159033,0.31171873122159033
topology_17_prestress,amp=1,sample_1,10,0,5,3,0.10010004043579102,14,28,0.7852049812755401,-4.614106164152252,0.2147950187244599,5.614106164152252,-4.614106164152252,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,4,0.1334667205810547,14,28,0.7085384492701944,-10.838580477105314,0.2914615507298056,11.838580477105314,-10.838580477105314,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,5,0.16683340072631836,14,28,0.6338205269408193,-17.71203428209512,0.3661794730591808,18.71203428209512,-17.71203428209512,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,6,0.20020008087158203,14,28,0.5704949129854961,-22.776599002479998,0.4295050870145038,23.776599002479998,-22.776599002479998,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,7,0.2335667610168457,14,28,0.5153109856414111,-20.767059551815315,0.48468901435858885,21.767059551815315,-20.767059551815315,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,8,0.2669334411621094,14,28,0.4606760123376695,-29.025332613460886,0.5393239876623305,30.025332613460886,-29.025332613460886,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,9,0.30030012130737305,14,28,0.40271806564858814,-43.955018281980344,0.5972819343514119,44.955018281980344,-43.955018281980344,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,10,0.3336668014526367,14,28,0.35429483171535725,-54.92453244771846,0.6457051682846427,55.92453244771846,-54.92453244771846,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,11,0.3670334815979004,14,28,0.3132590769430089,-52.14030415937516,0.6867409230569911,53.14030415937516,-52.14030415937516,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,12,0.40040016174316406,14,28,0.2749974321459663,-36.72339321069436,0.7250025678540337,37.72339321069436,-36.72339321069436,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,13,0.43376684188842773,14,28,0.24115429727404858,-23.254084212682297,0.7588457027259514,24.254084212682297,-23.254084212682297,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,14,0.4671335220336914,14,28,0.21774419627774344,-13.465168378879271,0.7822558037222566,14.465168378879271,-13.465168378879271,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,15,0.5005002021789551,14,28,0.19602076077843522,-6.439302371694084,0.8039792392215648,7.439302371694084,-6.439302371694084,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,16,0.5338668823242188,14,28,0.17339576853542737,-4.03190370073431,0.8266042314645726,5.03190370073431,-4.03190370073431,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,17,0.5672335624694824,14,28,0.15645873569546342,-1.8246820199380416,0.8435412643045366,2.8246820199380416,-1.8246820199380416,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,18,0.6006002426147461,14,28,0.1421815354179944,0.37893235013624016,0.8578184645820056,0.6210676498637598,0.37893235013624016,0.37893235013624016
topology_17_prestress,amp=1,sample_1,10,0,5,19,0.6339669227600098,14,28,0.13114285843826856,-0.2878370306355458,0.8688571415617314,1.2878370306355458,-0.2878370306355458,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,20,0.6673336029052734,14,28,0.12384467225064533,-1.3060199520116758,0.8761553277493547,2.3060199520116758,-1.3060199520116758,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,21,0.7007002830505371,14,28,0.11617545541368102,-2.5090976611212397,0.883824544586319,3.5090976611212397,-2.5090976611212397,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,22,0.7340669631958008,14,28,0.11605263447160419,-2.398558137095616,0.8839473655283958,3.398558137095616,-2.398558137095616,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,23,0.7674336433410645,14,28,0.11490497682568435,-1.5120401030660884,0.8850950231743157,2.5120401030660884,-1.5120401030660884,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,24,0.8008003234863281,14,28,0.10830702711724227,-0.3836993321393034,0.8916929728827577,1.3836993321393034,-0.3836993321393034,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,25,0.8341670036315918,14,28,0.0993860406154965,-0.33385287850892453,0.9006139593845035,1.3338528785089245,-0.33385287850892453,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,26,0.8675336837768555,14,28,0.08714072428728814,-4.016114903530802,0.9128592757127119,5.016114903530802,-4.016114903530802,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,27,0.9009003639221191,14,28,0.08560718764976549,-11.675339855293107,0.9143928123502345,12.675339855293107,-11.675339855293107,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,28,0.9342670440673828,14,28,0.09394321539923334,-20.939928478956624,0.9060567846007667,21.939928478956624,-20.939928478956624,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,29,0.9676337242126465,14,28,0.09781843969804094,-29.19275076659794,0.9021815603019591,30.19275076659794,-29.19275076659794,0.0
topology_17_prestress,amp=1,sample_1,10,0,5,30,1.0010004043579102,14,28,0.09668503069736745,-38.4198071539555,0.9033149693026326,39.4198071539555,-38.4198071539555,0.0
topology_17_prestress,amp=1,sample_2,10,0,5,0,0.0,14,28,0.9999992887822463,0.9999992158599524,7.112177536380287e-07,7.841400475245403e-07,0.9999992158599524,0.9999992158599524
topology_17_prestress,amp=1,sample_2,10,0,5,1,0.03336668014526367,14,28,0.9541830996525696,0.9775880729301002,0.0458169003474304,0.022411927069899855,0.9775880729301002,0.9775880729301002
topology_17_prestress,amp=1,sample_2,10,0,5,2,0.06673336029052734,14,28,0.8668396772129457,0.932207146093838,0.13316032278705422,0.06779285390616195,0.932207146093838,0.932207146093838
topology_17_prestress,amp=1,sample_2,10,0,5,3,0.10010004043579102,14,28,0.778376936669752,0.8839413824599258,0.22162306333024792,0.11605861754007422,0.8839413824599258,0.8839413824599258
topology_17_prestress,amp=1,sample_2,10,0,5,4,0.1334667205810547,14,28,0.700558158882256,0.8397546570570399,0.299441841117744,0.1602453429429601,0.8397546570570399,0.8397546570570399
topology_17_prestress,amp=1,sample_2,10,0,5,5,0.16683340072631836,14,28,0.6295195697615439,0.7937229071595457,0.3704804302384561,0.20627709284045426,0.7937229071595457,0.7937229071595457
topology_17_prestress,amp=1,sample_2,10,0,5,6,0.20020008087158203,14,28,0.5687853905139387,0.7492974628892506,0.4312146094860613,0.25070253711074936,0.7492974628892506,0.7492974628892506
topology_17_prestress,amp=1,sample_2,10,0,5,7,0.2335667610168457,14,28,0.5153744478874096,0.7043837725640514,0.48462555211259045,0.2956162274359486,0.7043837725640514,0.7043837725640514
topology_17_prestress,amp=1,sample_2,10,0,5,8,0.2669334411621094,14,28,0.4570482036441845,0.6592882262090045,0.5429517963558155,0.3407117737909955,0.6592882262090045,0.6592882262090045
topology_17_prestress,amp=1,sample_2,10,0,5,9,0.30030012130737305,14,28,0.39062357274652015,0.6117260591525543,0.6093764272534798,0.3882739408474457,0.6117260591525543,0.6117260591525543
topology_17_prestress,amp=1,sample_2,10,0,5,10,0.3336668014526367,14,28,0.3320947762713131,0.5586045723923156,0.6679052237286869,0.44139542760768435,0.5586045723923156,0.5586045723923156
topology_17_prestress,amp=1,sample_2,10,0,5,11,0.3670334815979004,14,28,0.2973058571046945,0.5149038278813147,0.7026941428953055,0.48509617211868533,0.5149038278813147,0.5149038278813147
topology_17_prestress,amp=1,sample_2,10,0,5,12,0.40040016174316406,14,28,0.2676882099056932,0.4768901529776651,0.7323117900943068,0.5231098470223349,0.4768901529776651,0.4768901529776651
topology_17_prestress,amp=1,sample_2,10,0,5,13,0.43376684188842773,14,28,0.2349284607504596,0.44434385874916904,0.7650715392495404,0.555656141250831,0.44434385874916904,0.44434385874916904
topology_17_prestress,amp=1,sample_2,10,0,5,14,0.4671335220336914,14,28,0.210412675964595,0.42371381672458763,0.789587324035405,0.5762861832754124,0.42371381672458763,0.42371381672458763
topology_17_prestress,amp=1,sample_2,10,0,5,15,0.5005002021789551,14,28,0.18668333699584305,0.4014663467844519,0.813316663004157,0.5985336532155481,0.4014663467844519,0.4014663467844519
topology_17_prestress,amp=1,sample_2,10,0,5,16,0.5338668823242188,14,28,0.16676484178467554,0.37900204696095174,0.8332351582153245,0.6209979530390483,0.37900204696095174,0.37900204696095174
topology_17_prestress,amp=1,sample_2,10,0,5,17,0.5672335624694824,14,28,0.15079300373792215,0.3675143245612611,0.8492069962620779,0.6324856754387389,0.3675143245612611,0.3675143245612611
topology_17_prestress,amp=1,sample_2,10,0,5,18,0.6006002426147461,14,28,0.1422620589968422,0.3476099131364304,0.8577379410031578,0.6523900868635696,0.3476099131364304,0.3476099131364304
topology_17_prestress,amp=1,sample_2,10,0,5,19,0.6339669227600098,14,28,0.1322854665568315,0.3213697013065514,0.8677145334431685,0.6786302986934486,0.3213697013065514,0.3213697013065514
topology_17_prestress,amp=1,sample_2,10,0,5,20,0.6673336029052734,14,28,0.12276450017270746,0.29728408200275214,0.8772354998272925,0.7027159179972479,0.29728408200275214,0.29728408200275214
topology_17_prestress,amp=1,sample_2,10,0,5,21,0.7007002830505371,14,28,0.113386576208229,0.2748212434821746,0.886613423791771,0.7251787565178254,0.2748212434821746,0.2748212434821746
topology_17_prestress,amp=1,sample_2,10,0,5,22,0.7340669631958008,14,28,0.10682427363153013,0.2510997540418529,0.8931757263684699,0.7489002459581471,0.2510997540418529,0.2510997540418529
topology_17_prestress,amp=1,sample_2,10,0,5,23,0.7674336433410645,14,28,0.10298005856793169,0.2297059898044682,0.8970199414320683,0.7702940101955318,0.2297059898044682,0.2297059898044682
topology_17_prestress,amp=1,sample_2,10,0,5,24,0.8008003234863281,14,28,0.10144927799236125,0.20444999084285176,0.8985507220076387,0.7955500091571482,0.20444999084285176,0.20444999084285176
topology_17_prestress,amp=1,sample_2,10,0,5,25,0.8341670036315918,14,28,0.09563593720179997,0.18332447877417046,0.9043640627982,0.8166755212258295,0.18332447877417046,0.18332447877417046
topology_17_prestress,amp=1,sample_2,10,0,5,26,0.8675336837768555,14,28,0.08617863919346358,0.17370306229583699,0.9138213608065364,0.826296937704163,0.17370306229583699,0.17370306229583699
topology_17_prestress,amp=1,sample_2,10,0,5,27,0.9009003639221191,14,28,0.08383482267741627,0.15864933380586044,0.9161651773225837,0.8413506661941396,0.15864933380586044,0.15864933380586044
topology_17_prestress,amp=1,sample_2,10,0,5,28,0.9342670440673828,14,28,0.08487310353855049,0.14575364791650258,0.9151268964614495,0.8542463520834974,0.14575364791650258,0.14575364791650258
topology_17_prestress,amp=1,sample_2,10,0,5,29,0.9676337242126465,14,28,0.07966031721656408,0.12982183735524644,0.9203396827834359,0.8701781626447536,0.12982183735524644,0.12982183735524644
topology_17_prestress,amp=1,sample_2,10,0,5,30,1.0010004043579102,14,28,0.07352662456104331,0.10707187630333204,0.9264733754389567,0.892928123696668,0.10707187630333204,0.10707187630333204
topology_17_prestress,amp=1,sample_3,10,0,5,0,0.0,14,28,0.9999992936290804,0.9999994534920907,7.063709196508996e-07,5.465079092853e-07,0.9999994534920907,0.9999994534920907
topology_17_prestress,amp=1,sample_3,10,0,5,1,0.03336668014526367,14,28,0.953357526951712,0.9775456748998205,0.04664247304828791,0.02245432510017955,0.9775456748998205,0.9775456748998205
topology_17_prestress,amp=1,sample_3,10,0,5,2,0.06673336029052734,14,28,0.8673036676092005,0.9306189938731169,0.13269633239079948,0.06938100612688314,0.9306189938731169,0.9306189938731169
topology_17_prestress,amp=1,sample_3,10,0,5,3,0.10010004043579102,14,28,0.7826099914689747,0.8807147599175484,0.21739000853102527,0.11928524008245162,0.8807147599175484,0.8807147599175484
topology_17_prestress,amp=1,sample_3,10,0,5,4,0.1334667205810547,14,28,0.7067022290305203,0.8390096854060748,0.2932977709694798,0.16099031459392518,0.8390096854060748,0.8390096854060748
topology_17_prestress,amp=1,sample_3,10,0,5,5,0.16683340072631836,14,28,0.6310732320395689,0.8017242727418411,0.3689267679604311,0.19827572725815887,0.8017242727418411,0.8017242727418411
topology_17_prestress,amp=1,sample_3,10,0,5,6,0.20020008087158203,14,28,0.5655600067539539,0.7643343994599372,0.4344399932460461,0.23566560054006283,0.7643343994599372,0.7643343994599372
topology_17_prestress,amp=1,sample_3,10,0,5,7,0.2335667610168457,14,28,0.5107001930316699,0.72452052532811,0.48929980696833003,0.2754794746718901,0.72452052532811,0.72452052532811
topology_17_prestress,amp=1,sample_3,10,0,5,8,0.2669334411621094,14,28,0.4528576607071566,0.6817974744298316,0.5471423392928434,0.3182025255701684,0.6817974744298316,0.6817974744298316
topology_17_prestress,amp=1,sample_3,10,0,5,9,0.30030012130737305,14,28,0.3898859938902586,0.6496095497785784,0.6101140061097414,0.35039045022142157,0.6496095497785784,0.6496095497785784
topology_17_prestress,amp=1,sample_3,10,0,5,10,0.3336668014526367,14,28,0.3345215585972269,0.6175206230202894,0.6654784414027731,0.38247937697971063,0.6175206230202894,0.6175206230202894
topology_17_prestress,amp=1,sample_3,10,0,5,11,0.3670334815979004,14,28,0.29423866236861307,0.6010470903049563,0.7057613376313869,0.39895290969504377,0.6010470903049563,0.6010470903049563
topology_17_prestress,amp=1,sample_3,10,0,5,12,0.40040016174316406,14,28,0.2640523502224207,0.5827080111115552,0.7359476497775793,0.4172919888884447,0.5827080111115552,0.5827080111115552
topology_17_prestress,amp=1,sample_3,10,0,5,13,0.43376684188842773,14,28,0.24025876757192566,0.5555313222256737,0.7597412324280743,0.44446867777432636,0.5555313222256737,0.5555313222256737
topology_17_prestress,amp=1,sample_3,10,0,5,14,0.4671335220336914,14,28,0.22316706039062773,0.530673196569565,0.7768329396093723,0.46932680343043504,0.530673196569565,0.530673196569565
topology_17_prestress,amp=1,sample_3,10,0,5,15,0.5005002021789551,14,28,0.20292062951833878,0.5186723371877662,0.7970793704816612,0.4813276628122339,0.5186723371877662,0.5186723371877662
topology_17_prestress,amp=1,sample_3,10,0,5,16,0.5338668823242188,14,28,0.1869027157423625,0.5028823734408499,0.8130972842576375,0.49711762655915015,0.5028823734408499,0.5028823734408499
