topology,amplitude,sample,hidden_node,reference_node,horizon_steps,group_type,group_value,c_alpha_sum,IPC_alpha_clipped_sum,weighted_contribution_sum,num_terms,basis_nmse_2d,basis_adequacy_label
topology_17_prestress,amp=1,sample_0,10,0,5,degree,1,11.941649343791713,14.11614883759509,9.93472901494086,28,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,27,0.10414515714545759,0.16509334871011794,0.01719367274508506,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,32,0.10414515714545759,0.16509334871011794,0.01719367274508506,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,26,0.22351049615541746,0.18805049337355184,0.042031259076193615,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,31,0.22351049615541746,0.18805049337355184,0.042031259076193615,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,25,0.010875539905781363,0.21429346255676174,0.0023305571035841265,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,30,0.010875539905781363,0.21429346255676174,0.0023305571035841265,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,24,0.03978381375886973,0.2414954760257576,0.00960761104181833,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,29,0.03978381375886973,0.2414954760257576,0.00960761104181833,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,23,0.30024127149525126,0.27190743985926824,0.08163783547236526,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,28,0.30024127149525126,0.27190743985926824,0.08163783547236526,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,22,0.030509470494957645,0.29029463607538686,0.008856735634186482,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,27,0.030509470494957645,0.29029463607538686,0.008856735634186482,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,21,0.15430759051689538,0.30005225795925294,0.04630034095484627,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,26,0.15430759051689538,0.30005225795925294,0.04630034095484627,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,20,0.05275465766238241,0.30647317273810837,0.016167887310503098,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,25,0.05275465766238241,0.30647317273810837,0.016167887310503098,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,19,0.018577558778811062,0.31643758257397436,0.005878637790092888,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,24,0.018577558778811062,0.31643758257397436,0.005878637790092888,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,18,0.16351825893419963,0.33628572805524237,0.05498885675601296,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,23,0.16351825893419963,0.33628572805524237,0.05498885675601296,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,17,0.0014331132500711274,0.3577315223625711,0.0005126697846659164,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,22,0.0014331132500711274,0.3577315223625711,0.0005126697846659164,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,16,0.1135901340456748,0.38161075339650496,0.04334721663157995,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,21,0.1135901340456748,0.38161075339650496,0.04334721663157995,1,0.3329133025905722,weak
