topology,amplitude,sample,hidden_node,reference_node,horizon_steps,H_cut,D_cut,basis_index,basis_term,total_degree,max_readout_time_delay,max_target_time_delay,max_lag_frames,exponents,coefficient_x,coefficient_y,p_alpha_norm_sq,c_alpha_x,c_alpha_y,c_alpha,IPC_alpha_raw,IPC_alpha_clipped,weighted_contribution_raw,weighted_contribution_clipped,basis_nmse_x,basis_nmse_y,basis_nmse_2d,task_alpha_selected,basis_adequacy_label
topology_17_prestress,amp=1,sample_0,10,0,5,27,1,0,P1(u[target-32]),1,27,32,27,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,24.3907470703125,-33.91559600830078,299.6373596191406,0.040863467798864524,0.5231564480827617,0.10414515714545759,0.16509334871011794,0.16509334871011794,0.01719367274508506,0.01719367274508506,0.27398179556888,0.7231204397419982,0.3329133025905722,0.01,weak
topology_17_prestress,amp=1,sample_0,10,0,5,27,1,1,P1(u[target-31]),1,26,31,26,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0,-51.21469497680664,33.59275436401367,299.1566162109375,0.17987750123385654,0.5124205698010478,0.22351049615541746,0.18805049337355184,0.18805049337355184,0.042031259076193615,0.042031259076193615,0.27398179556888,0.7231204397419982,0.3329133025905722,0.01,weak
topology_17_prestress,amp=1,sample_0,10,0,5,27,1,2,P1(u[target-30]),1,25,30,25,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0,8.821891784667969,10.239933013916016,298.91741943359375,0.005332903551167763,0.047575369479274134,0.010875539905781363,0.21429346255676174,0.21429346255676174,0.0023305571035841265,0.0023305571035841265,0.27398179556888,0.7231204397419982,0.3329133025905722,0.01,weak
topology_17_prestress,amp=1,sample_0,10,0,5,27,1,3,P1(u[target-29]),1,24,29,24,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0,-2.3455183506011963,25.751855850219727,298.74285888671875,0.0003767595379582656,0.3007123830122034,0.03978381375886973,0.2414954760257576,0.2414954760257576,0.00960761104181833,0.00960761104181833,0.27398179556888,0.7231204397419982,0.3329133025905722,0.01,weak
topology_17_prestress,amp=1,sample_0,10,0,5,27,1,4,P1(u[target-28]),1,23,28,23,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0,53.10329818725586,-47.21659851074219,298.55859375,0.19300191586984985,1.0103124042960585,0.30024127149525126,0.27190743985926824,0.27190743985926824,0.08163783547236526,0.08163783547236526,0.27398179556888,0.7231204397419982,0.3329133025905722,0.01,weak
topology_17_prestress,amp=1,sample_0,10,0,5,27,1,5,P1(u[target-27]),1,22,27,22,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0,-6.423562049865723,-21.725479125976562,298.4658203125,0.0028231600761905234,0.21383069326321658,0.030509470494957645,0.29029463607538686,0.29029463607538686,0.008856735634186482,0.008856735634186482,0.27398179556888,0.7231204397419982,0.3329133025905722,0.01,weak
topology_17_prestress,amp=1,sample_0,10,0,5,27,1,6,P1(u[target-26]),1,21,26,21,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0,-44.688846588134766,24.48444938659668,298.38812255859375,0.1366057173051557,0.2715181900291043,0.15430759051689538,0.30005225795925294,0.30005225795925294,0.04630034095484627,0.04630034095484627,0.27398179556888,0.7231204397419982,0.3329133025905722,0.01,weak
topology_17_prestress,amp=1,sample_0,10,0,5,27,1,7,P1(u[target-25]),1,20,25,20,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0,-5.134484767913818,29.350740432739258,298.35113525390625,0.0018030612793803835,0.39012387767211254,0.05275465766238241,0.30647317273810837,0.30647317273810837,0.016167887310503098,0.016167887310503098,0.27398179556888,0.7231204397419982,0.3329133025905722,0.01,weak
topology_17_prestress,amp=1,sample_0,10,0,5,27,1,8,P1(u[target-24]),1,19,24,19,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0,16.006149291992188,7.51050329208374,298.3936767578125,0.01752477275404849,0.025548441444418462,0.018577558778811062,0.31643758257397436,0.31643758257397436,0.005878637790092888,0.005878637790092888,0.27398179556888,0.7231204397419982,0.3329133025905722,0.01,weak
topology_17_prestress,amp=1,sample_0,10,0,5,27,1,9,P1(u[target-23]),1,18,23,18,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0,34.534629821777344,-39.45845413208008,298.60101318359375,0.08163754572097542,0.7056805131437953,0.16351825893419963,0.33628572805524237,0.33628572805524237,0.05498885675601296,0.05498885675601296,0.27398179556888,0.7231204397419982,0.3329133025905722,0.01,weak
