topology,amplitude,frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,number_drive_channels,K,filter_length_s,num_samples,selected_frequencies_hz,mechanical_degree,number_linear_features_mean,number_linear_features_std,number_candidate_features_mean,number_candidate_features_std,number_raw_features_mean,number_raw_features_std,validation_nmse_x_mean,validation_nmse_x_std,validation_nmse_y_mean,validation_nmse_y_std,validation_nmse_2d_mean,validation_nmse_2d_std,condition_number_mean,condition_number_std
topology_17_prestress,amp=1,fft_prefix,fft_prefix_K1,nan,u,1,1,3.0,4,5.9138162,2,10.0,0.0,65.0,0.0,65.0,0.0,0.3520948458036809,0.005287817263251571,0.6143012399859596,0.01941255760770121,0.3802285840315802,0.0036368681565344787,46.669548988342285,0.21623008695357726
topology_17_prestress,amp=1,fft_prefix,fft_prefix_K2,nan,u,1,2,3.0,4,5.9138162 0.20046835,2,20.0,0.0,230.0,0.0,230.0,0.0,0.6111539846676803,0.03177120133601458,0.7588353589802329,0.011576468721377615,0.6270897992672432,0.028138316965729472,60.00214385986328,0.27187776599631325
topology_17_prestress,amp=1,fft_prefix,fft_prefix_K3,nan,u,1,3,3.0,1,5.9138162 0.20046835 4.5105378,2,30.0,0.0,495.0,0.0,495.0,0.0,0.4663029302425235,0.0,0.8285686379487182,0.0,0.5057534793316742,0.0,23.75678253173828,0.0
topology_17_prestress,amp=1,refined_single,refined_5.4000Hz,5.4,u,1,1,3.0,4,5.4,2,10.0,0.0,65.0,0.0,65.0,0.0,0.4226076746214701,0.007811962660106739,0.8099880704671234,0.012513552747807301,0.4642541857034377,0.008863950830765003,40.617427825927734,0.23213439814559433
topology_17_prestress,amp=1,refined_single,refined_5.4100Hz,5.41,u,1,1,3.0,4,5.41,2,10.0,0.0,65.0,0.0,65.0,0.0,0.4311616864284853,0.008119607815328472,0.806448752457287,0.013310950510967715,0.47150934579170917,0.009202368954883758,39.751150131225586,0.2532775837455763
topology_17_prestress,amp=1,refined_single,refined_5.4200Hz,5.42,u,1,1,3.0,4,5.42,2,10.0,0.0,65.0,0.0,65.0,0.0,0.4408970776740446,0.008450632274857024,0.8032667289097176,0.014384463967238281,0.47985807067201713,0.009599221296345597,39.18076133728027,0.2648373346045463
topology_17_prestress,amp=1,refined_single,refined_5.4300Hz,5.430000000000001,u,1,1,3.0,4,5.43,2,10.0,0.0,65.0,0.0,65.0,0.0,0.45169755523763205,0.008826118005691714,0.8025662047677293,0.015868462239348034,0.4894252709173259,0.010096953275338397,38.92914390563965,0.27027897683889823
topology_17_prestress,amp=1,refined_single,refined_5.4400Hz,5.44,u,1,1,3.0,4,5.44,2,10.0,0.0,65.0,0.0,65.0,0.0,0.4634857871075425,0.009285681649732255,0.8064498459103288,0.017675141161704266,0.5003675905400491,0.010723670575924237,38.92728042602539,0.2753220033535924
topology_17_prestress,amp=1,refined_single,refined_5.4500Hz,5.45,u,1,1,3.0,4,5.45,2,10.0,0.0,65.0,0.0,65.0,0.0,0.4782269069002307,0.011035320736572844,0.8165857761432984,0.019495068307104933,0.5146159782968754,0.012467733967442,43.15818405151367,3.9992006482048543
topology_17_prestress,amp=1,refined_single,refined_5.4600Hz,5.46,u,1,1,3.0,4,5.46,2,10.0,0.0,65.0,0.0,65.0,0.0,0.4916338135658008,0.011587900889426203,0.8301903634144252,0.021679058033411764,0.5280483376467922,0.013275596525802305,43.434871673583984,4.0532746358781955
topology_17_prestress,amp=1,refined_single,refined_5.4700Hz,5.470000000000001,u,1,1,3.0,4,5.47,2,10.0,0.0,65.0,0.0,65.0,0.0,0.5057735649215485,0.012233211356912117,0.8465662918520027,0.024928370125139848,0.5424344760899299,0.01426277414525071,45.728516578674316,3.3975784567576244
topology_17_prestress,amp=1,refined_single,refined_5.4800Hz,5.48,u,1,1,3.0,4,5.48,2,10.0,0.0,65.0,0.0,65.0,0.0,0.5211627413545958,0.01315187518275503,0.855020726584056,0.02443129076966072,0.5570744975737681,0.015026630104156955,45.673874855041504,3.1545784135506754
