topology,amplitude,sample,mode_index,coefficient_x,coefficient_y,q_norm_sq,c_mech_x,c_mech_y,c_mech_2d,dominant_raw_feature_name,dominant_product_degree,dominant_factor_indices,dominant_drive_channel,dominant_frequency_hz,dominant_decay_time_s,dominant_phase,dominant_raw_feature_loading
topology_17_prestress,amp=1,sample_2,1,419.5960388183594,0.048378024250268936,1.0,0.039108265075518685,3.339047115136401e-09,0.033839557110061244,u_f=5.8200Hz_Td=1.000s_cos * u_f=5.8200Hz_Td=5.000s_cos,2,4 8,u*u,5.82*5.82,1.0*5.0,cos*cos,-0.2051122933626175
topology_17_prestress,amp=1,sample_2,2,1274.4696044921875,-134.54757690429688,1.0,0.36079852663903583,0.025827243263711386,0.31567082751470493,u_f=5.8200Hz_Td=0.200s_cos,1,0,u,5.82,0.2,cos,0.3357008993625641
topology_17_prestress,amp=1,sample_2,3,-26.87726402282715,-188.1096649169922,1.0,0.00016046336894608764,0.050483390066212455,0.006940023312612845,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,2,8 9,u*u,5.82*5.82,5.0*5.0,cos*sin,0.3067582845687866
topology_17_prestress,amp=1,sample_2,4,55.71379089355469,47.67925262451172,1.0,0.0006894951421214763,0.0032432854203004835,0.001033544572684673,u_f=5.8200Hz_Td=5.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,9 9,u*u,5.82*5.82,5.0*5.0,sin*sin,-0.2594231367111206
topology_17_prestress,amp=1,sample_2,5,321.45123291015625,-430.1385498046875,1.0,0.022952816391133456,0.26396298112309796,0.05542197043423708,u_f=5.8200Hz_Td=5.000s_sin,1,9,u,5.82,5.0,sin,0.43945321440696716
topology_17_prestress,amp=1,sample_2,6,9.145374298095703,143.9349822998047,1.0,1.8578419310285658e-05,0.02955690861588393,0.0039980146990839585,u_f=5.8200Hz_Td=0.500s_cos * u_f=5.8200Hz_Td=0.500s_cos,2,2 2,u*u,5.82*5.82,0.5*0.5,cos*cos,0.2585238814353943
topology_17_prestress,amp=1,sample_2,7,-13.881367683410645,-120.02313232421875,1.0,4.280261536685995e-05,0.020552100013645803,0.00280583768188007,u_f=5.8200Hz_Td=5.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,9 9,u*u,5.82*5.82,5.0*5.0,sin*sin,0.3573622405529022
topology_17_prestress,amp=1,sample_2,8,869.3216552734375,-59.27131271362305,0.9999999403953552,0.16786755371380443,0.005012049566654687,0.14592748136539613,u_f=5.8200Hz_Td=5.000s_cos,1,8,u,5.82,5.0,cos,-0.45078450441360474
topology_17_prestress,amp=1,sample_2,9,22.291990280151367,109.37841796875,1.0,0.00011038332732190109,0.01706827244284746,0.0023949687702231144,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,2,8 9,u*u,5.82*5.82,5.0*5.0,cos*sin,0.3882909119129181
topology_17_prestress,amp=1,sample_2,10,190.5404052734375,-73.7615966796875,1.0,0.008064546682126908,0.007762237194971775,0.008023819216054892,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=0.200s_sin,2,1 1,u*u,5.82*5.82,0.2*0.2,sin*sin,0.3361441195011139
topology_17_prestress,amp=1,sample_2,11,-178.63705444335938,-115.64106750488281,1.0,0.007088410969709946,0.019078774526482517,0.008703765914554852,u_f=5.8200Hz_Td=5.000s_sin,1,9,u,5.82,5.0,sin,-0.28375735878944397
topology_17_prestress,amp=1,sample_2,12,107.43220520019531,-31.210556030273438,1.0,0.0025637446768889053,0.0013897263855169387,0.0024055796434996643,u_f=5.8200Hz_Td=0.500s_cos,1,2,u,5.82,0.5,cos,0.35129907727241516
topology_17_prestress,amp=1,sample_2,13,-102.74237060546875,47.258949279785156,1.0,0.0023447954094713507,0.0031863568680321167,0.0024581714932773485,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=0.200s_cos,2,0 0,u*u,5.82*5.82,0.2*0.2,cos*cos,-0.3712528944015503
topology_17_prestress,amp=1,sample_2,14,4.848542213439941,65.23807525634766,1.0,5.221895219526069e-06,0.006071955362131382,0.0008225388896902078,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,1 9,u*u,5.82*5.82,0.2*5.0,sin*sin,-0.37043920159339905
topology_17_prestress,amp=1,sample_2,15,76.75932312011719,22.56187629699707,1.0,0.0013087842611515818,0.0007262342365993846,0.0012303024821526131,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,1 9,u*u,5.82*5.82,0.2*5.0,sin*sin,-0.32171472907066345
topology_17_prestress,amp=1,sample_2,16,-262.9683532714844,66.12308502197266,1.0,0.015360762152586905,0.006237815235750596,0.014131708726150534,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=5.000s_cos,2,0 8,u*u,5.82*5.82,0.2*5.0,cos*cos,0.408814400434494
topology_17_prestress,amp=1,sample_2,17,45.6742057800293,40.065277099609375,1.0,0.0004633912184930197,0.002290142956267233,0.0007094932185404543,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,2,8 9,u*u,5.82*5.82,5.0*5.0,cos*sin,0.2999148368835449
topology_17_prestress,amp=1,sample_2,18,-397.73052978515625,25.033363342285156,0.9999999403953552,0.03513853270227506,0.0008940558954733302,0.03052507918340748,u_f=5.8200Hz_Td=0.200s_sin,1,1,u,5.82,0.2,sin,-0.584459125995636
topology_17_prestress,amp=1,sample_2,19,309.42578125,-190.881103515625,1.0,0.021267614677258063,0.05198190192449649,0.025405477182201833,u_f=5.8200Hz_Td=0.200s_cos,1,0,u,5.82,0.2,cos,0.6110162138938904
topology_17_prestress,amp=1,sample_3,0,161.0369415283203,-194.0006561279297,1.0,0.005706429966758423,0.052588785195124325,0.012084987388481613,u_f=5.8200Hz_Td=1.000s_cos * u_f=5.8200Hz_Td=1.000s_sin,2,4 5,u*u,5.82*5.82,1.0*1.0,cos*sin,0.16458354890346527
topology_17_prestress,amp=1,sample_3,1,420.4651184082031,-13.665523529052734,0.9999999403953552,0.03890213028063543,0.00026093916229437257,0.0336448206768084,u_f=5.8200Hz_Td=1.000s_cos * u_f=5.8200Hz_Td=5.000s_cos,2,4 8,u*u,5.82*5.82,1.0*5.0,cos*cos,-0.20366300642490387
topology_17_prestress,amp=1,sample_3,2,1267.77294921875,-132.38026428222656,1.0,0.3536685371495284,0.024486867357967214,0.3088818754573747,u_f=5.8200Hz_Td=0.200s_cos,1,0,u,5.82,0.2,cos,0.3358933627605438
topology_17_prestress,amp=1,sample_3,3,-26.265186309814453,-188.168212890625,1.0,0.00015180093126610853,0.04947425483200714,0.006862344863065443,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,2,8 9,u*u,5.82*5.82,5.0*5.0,cos*sin,0.30923110246658325
topology_17_prestress,amp=1,sample_3,4,51.54107666015625,55.7010498046875,1.0,0.0005845483476147071,0.00433524356323836,0.0010948474716178207,u_f=5.8200Hz_Td=5.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,9 9,u*u,5.82*5.82,5.0*5.0,sin*sin,-0.26179394125938416
