topology,amplitude,sample,hidden_node,reference_node,horizon_steps,M_0_5,M_0_10,M_0_relevant,M_total,peak_tau,memory_length_threshold_0p05,test_nmse_2d,test_nmse_x,test_nmse_y
topology_17_prestress,amp=1,sample_0,10,0,5,5.371679499459183,8.530827130785962,5.371679499459183,14.458905193348286,0.0,30.0,0.1876888203671371,0.19991707862222888,0.08186564363289166
topology_17_prestress,amp=1,sample_1,10,0,5,2.256846963819195,2.256846963819195,2.256846963819195,2.6357793139554353,0.0,18.0,1.4651494352730812,1.593162811685664,0.4105495171392626
topology_17_prestress,amp=1,sample_2,10,0,5,5.427213381560402,8.710513474767579,5.427213381560402,14.54301276047501,0.0,30.0,0.1942120055199125,0.20620696967543511,0.09546523472195435
topology_17_prestress,amp=1,sample_3,10,0,5,5.429612840330492,8.86739541234724,5.429612840330492,16.693882950700335,0.0,30.0,0.20666236889230463,0.22100811115228314,0.08927431802718354
topology_17_prestress,amp=1,sample_4,10,0,5,5.4446556599445906,8.785945357492228,5.4446556599445906,14.65697974965603,0.0,30.0,0.17647432050294895,0.18848004566899426,0.07854015977838066
