H,D,horizon_steps,lag_stride_frames,readout_time_delays,target_time_delays,number_of_terms,num_topology_sample_pairs,overparameterized_fraction,ill_conditioned_fraction,num_train_rows_mean,num_train_rows_std,num_validation_rows_mean,num_validation_rows_std,terms_per_train_row_mean,terms_per_train_row_std,condition_number_mean,condition_number_std,train_nmse_x_mean,train_nmse_x_std,train_nmse_y_mean,train_nmse_y_std,train_nmse_2d_mean,train_nmse_2d_std,validation_nmse_x_mean,validation_nmse_x_std,validation_nmse_y_mean,validation_nmse_y_std,validation_nmse_2d_mean,validation_nmse_2d_std,train_validation_gap_2d_mean,train_validation_gap_2d_std
0,1,5,1,[0],[5],1,4,0.0,0.0,299.0,0.0,299.0,0.0,0.0033444816053511705,0.0,1.0,0.0,0.4344464834069529,0.002937310038640598,0.9577025945935879,0.0017084245539448414,0.5776542262807417,0.004904209993358312,0.22094440890663491,0.00035204884785182666,0.8315920914921364,0.00470521984050245,0.31602179175057044,0.0027539554590743785,-0.26163243453017127,0.0030552184021709174
1,1,5,1,"[0, 1]","[5, 6]",2,4,0.0,0.0,299.0,0.0,299.0,0.0,0.006688963210702341,0.0,74.3393999505832,0.16943292273968022,0.42287542486109125,0.003001167799998319,0.9493141535695439,0.0019624995667966703,0.5669552967401336,0.004992372750161051,0.21376162198762047,0.0002768173140702414,0.8309836711210027,0.005166935129983854,0.3098641989792261,0.0027502922923485535,-0.2570910977609075,0.003078074387769495
2,1,5,1,"[0, 1, 2]","[5, 6, 7]",3,4,0.0,0.0,299.0,0.0,299.0,0.0,0.010033444816053512,0.0,370.47186647536626,2.194321477878596,0.40860285770652643,0.002701760571693346,0.9165981444177878,0.0016633431218268547,0.5476354661698212,0.004519036668871534,0.20564419120815924,0.00013571364586062034,0.8305823413473927,0.0023172238154103046,0.30293912737925593,0.002299752349094401,-0.24469633879056524,0.0026164386465262644
3,1,5,1,"[0, 1, 2, 3]","[5, 6, 7, 8]",4,4,0.0,0.0,299.0,0.0,299.0,0.0,0.013377926421404682,0.0,1009.3221730291559,18.015337410611327,0.4067331645211325,0.0027886190326136015,0.903259233576633,0.0018593735520028006,0.5426282059881673,0.004559582191839877,0.2079880016190317,0.000329318379205927,0.8289751097518895,0.003133695839460668,0.3046702805680506,0.0024304206908961705,-0.2379579254201168,0.0026683923217724987
4,1,5,1,"[0, 1, 2, 3, 4]","[5, 6, 7, 8, 9]",5,4,0.0,0.0,299.0,0.0,299.0,0.0,0.016722408026755852,0.0,1810.6587605587092,58.75462381301841,0.39772123004159354,0.0020340889260218003,0.8878136979765652,0.0018612274621693761,0.5318582803841847,0.003998050189630281,0.21605528390533196,0.0006184566660540336,0.8383992920097146,0.0023852084882725784,0.3129444785085473,0.0027169371139928785,-0.21891380187563747,0.0020151163502895564
5,1,5,1,"[0, 1, 2, 3, 4, 5]","[5, 6, 7, 8, 9, 10]",6,4,0.0,0.0,299.0,0.0,299.0,0.0,0.020066889632107024,0.0,2786.7210029252597,132.51790555697605,0.38689152788949804,0.001598808620744084,0.8701624584832119,0.0012881088499029484,0.5191607230339097,0.0034969050245756356,0.21868710570541794,0.0006425378058484111,0.8476599312619306,0.0016139546265015084,0.3166027701529868,0.002474703251334914,-0.20255795288092288,0.0016048112181019506
6,1,5,1,"[0, 1, 2, 3, 4, 5, 6]","[5, 6, 7, 8, 9, 10, 11]",7,4,0.0,0.0,299.0,0.0,299.0,0.0,0.023411371237458192,0.0,4102.179092691395,271.7480884200006,0.38557172798237943,0.0014565480478775275,0.8523183202841335,0.0023993280765722447,0.5133235416665833,0.003602569419453187,0.21803521998481068,0.0006572458935228726,0.8512772458316026,0.0027282013682235233,0.3166109206283988,0.0022796929310581722,-0.19671262103818463,0.0018155588665355227
7,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7]","[5, 6, 7, 8, 9, 10, 11, 12]",8,4,0.0,0.0,299.0,0.0,299.0,0.0,0.026755852842809364,0.0,5402.677896373527,435.93379870042276,0.3852465888907574,0.0013524963350540922,0.828946294730754,0.0017513399379053783,0.5066859262264098,0.003106621643335954,0.2172032743776412,0.0005563144092141189,0.8455634969268034,0.00232673975442322,0.3150183834309344,0.0020954185979102273,-0.19166754279547543,0.001646969684459048
8,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5, 6, 7, 8, 9, 10, 11, 12, 13]",9,4,0.0,0.0,299.0,0.0,299.0,0.0,0.030100334448160536,0.0,6656.965609288547,616.3995343365041,0.3783302901431479,0.0015496556828601357,0.8219075325877278,0.0021453932193254864,0.49973962589564,0.003461702522904628,0.21262081358977641,0.000658257705451127,0.8581942603939641,0.002809004868777859,0.31311319531454507,0.0019938572678251895,-0.18662643058109493,0.0020471600220198687
9,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",10,4,0.0,0.0,299.0,0.0,299.0,0.0,0.033444816053511704,0.0,7747.339052242686,765.3444194459673,0.3773239550024586,0.0016593479050845384,0.8049665616805182,0.0027223656193591517,0.49437181750118236,0.003404462467984509,0.21149311799244386,0.0006427175788792516,0.8688632398354497,0.003829560450715427,0.3138204699160713,0.0019926158606510583,-0.18055134758511104,0.001838052768295285
