topology,tau_frames,tau_seconds,mc_mean,mc_std,mc_raw_mean,mc_raw_std,num_samples
topology_10_prestress,0,0.0,0.9999690509588973,4.9892546927001006e-05,0.9999690509588973,4.9892546927001006e-05,5
topology_10_prestress,1,0.03336644172668457,0.9721402989012041,0.004578614582806331,0.9721402989012041,0.004578614582806331,5
topology_10_prestress,1,0.03336668014526367,0.9721402989012041,0.004578614582806331,0.9721402989012041,0.004578614582806331,5
topology_10_prestress,2,0.06673288345336914,0.9202242214845302,0.009855781442518917,0.9202242214845302,0.009855781442518917,5
topology_10_prestress,2,0.06673336029052734,0.9202242214845302,0.009855781442518917,0.9202242214845302,0.009855781442518917,5
topology_10_prestress,3,0.10009932518005371,0.8580527914893856,0.018245199372514957,0.8580527914893856,0.018245199372514957,5
topology_10_prestress,3,0.10010004043579102,0.8580527914893856,0.018245199372514957,0.8580527914893856,0.018245199372514957,5
topology_10_prestress,4,0.13346576690673828,0.7762034756027455,0.05038517920485441,0.7762034756027455,0.05038517920485441,5
topology_10_prestress,4,0.1334667205810547,0.7762034756027455,0.05038517920485441,0.7762034756027455,0.05038517920485441,5
topology_10_prestress,5,0.16683220863342285,0.6474545139506823,0.17229908295948015,0.6474545139506823,0.17229908295948015,5
topology_10_prestress,5,0.16683340072631836,0.6474545139506823,0.17229908295948015,0.6474545139506823,0.17229908295948015,5
topology_10_prestress,6,0.20019865036010742,0.5283915459593675,0.26473655078479247,0.46248645569270075,0.3963669386803729,5
topology_10_prestress,6,0.20020008087158203,0.5283915459593675,0.26473655078479247,0.46248645569270075,0.3963669386803729,5
topology_10_prestress,7,0.233565092086792,0.4725591763585223,0.23777513379175216,0.20769101633986073,0.7664785333591561,5
topology_10_prestress,7,0.2335667610168457,0.4725591763585223,0.23777513379175216,0.20769101633986073,0.7664785333591561,5
topology_10_prestress,8,0.26693153381347656,0.4221394377275824,0.21450037715700884,0.027874734697319582,1.0003291438965074,5
topology_10_prestress,8,0.2669334411621094,0.4221394377275824,0.21450037715700884,0.027874734697319582,1.0003291438965074,5
topology_10_prestress,9,0.30029797554016113,0.38415801197044175,0.19708332260695627,0.031891720067241634,0.8976969613729264,5
topology_10_prestress,9,0.30030012130737305,0.38415801197044175,0.19708332260695627,0.031891720067241634,0.8976969613729264,5
topology_10_prestress,10,0.3336644172668457,0.3471005283554553,0.17941911846723096,0.11397854140935888,0.6414110951198688,5
topology_10_prestress,10,0.3336668014526367,0.3471005283554553,0.17941911846723096,0.11397854140935888,0.6414110951198688,5
topology_10_prestress,11,0.3670308589935303,0.30322964127659274,0.1589713492781852,0.20704081040278313,0.34729765906520077,5
topology_10_prestress,11,0.3670334815979004,0.30322964127659274,0.1589713492781852,0.20704081040278313,0.34729765906520077,5
topology_10_prestress,12,0.40039730072021484,0.2912868111511138,0.12385059049106169,0.2912868111511138,0.12385059049106169,5
topology_10_prestress,12,0.40040016174316406,0.2912868111511138,0.12385059049106169,0.2912868111511138,0.12385059049106169,5
topology_10_prestress,13,0.4337637424468994,0.32043820888872726,0.051259572099556,0.32043820888872726,0.051259572099556,5
topology_10_prestress,13,0.43376684188842773,0.32043820888872726,0.051259572099556,0.32043820888872726,0.051259572099556,5
topology_10_prestress,14,0.467130184173584,0.33096596323893684,0.04972463354778901,0.33096596323893684,0.04972463354778901,5
topology_10_prestress,14,0.4671335220336914,0.33096596323893684,0.04972463354778901,0.33096596323893684,0.04972463354778901,5
topology_10_prestress,15,0.5004966259002686,0.28572133239687725,0.05402273545893131,0.28572133239687725,0.05402273545893131,5
topology_10_prestress,15,0.5005002021789551,0.28572133239687725,0.05402273545893131,0.28572133239687725,0.05402273545893131,5
topology_10_prestress,16,0.5338630676269531,0.19718418016650388,0.12040120816646721,0.08096639604148433,0.3381646954999634,5
topology_10_prestress,16,0.5338668823242188,0.19718418016650388,0.12040120816646721,0.08096639604148433,0.3381646954999634,5
topology_10_prestress,17,0.5672295093536377,0.1636950647693878,0.12475635455100156,-0.32806371998732187,1.0695176154630501,5
topology_10_prestress,17,0.5672335624694824,0.1636950647693878,0.12475635455100156,-0.32806371998732187,1.0695176154630501,5
topology_10_prestress,18,0.6005959510803223,0.14984500500977377,0.13041299810131574,-0.7542190877322692,1.859514171960833,5
topology_10_prestress,18,0.6006002426147461,0.14984500500977377,0.13041299810131574,-0.7542190877322692,1.859514171960833,5
topology_10_prestress,19,0.6339623928070068,0.14035937521469005,0.1281818130404821,-0.9626677332831992,2.2144829749917445,5
topology_10_prestress,19,0.6339669227600098,0.14035937521469005,0.1281818130404821,-0.9626677332831992,2.2144829749917445,5
topology_10_prestress,20,0.6673288345336914,0.11671584150442674,0.11451481131510853,-0.9814271628910299,2.1530319507735225,5
topology_10_prestress,20,0.6673336029052734,0.11671584150442674,0.11451481131510853,-0.9814271628910299,2.1530319507735225,5
topology_10_prestress,21,0.700695276260376,0.08975246297040398,0.09485650261080907,-0.766277759606587,1.6503396416659075,5
topology_10_prestress,21,0.7007002830505371,0.08975246297040398,0.09485650261080907,-0.766277759606587,1.6503396416659075,5
topology_10_prestress,22,0.7340617179870605,0.07361356332722624,0.08518543632909284,-0.5809399493739258,1.235547799198221,5
topology_10_prestress,22,0.7340669631958008,0.07361356332722624,0.08518543632909284,-0.5809399493739258,1.235547799198221,5
topology_10_prestress,23,0.7674281597137451,0.06088929128316585,0.07528772645320818,-0.5587366323031094,1.1293268254172937,5
topology_10_prestress,23,0.7674336433410645,0.06088929128316585,0.07528772645320818,-0.5587366323031094,1.1293268254172937,5
topology_10_prestress,24,0.8007946014404297,0.053876243843998875,0.0671089173056046,-0.5468855171852802,1.087364163293944,5
topology_10_prestress,24,0.8008003234863281,0.053876243843998875,0.0671089173056046,-0.5468855171852802,1.087364163293944,5
topology_10_prestress,25,0.8341610431671143,0.06728829219753815,0.06864812465205782,-0.5895473291928672,1.1981040652097135,5
topology_10_prestress,25,0.8341670036315918,0.06728829219753815,0.06864812465205782,-0.5895473291928672,1.1981040652097135,5
topology_10_prestress,26,0.8675274848937988,0.07238386194492667,0.06672355710781505,-0.5990745756057507,1.2253594446409672,5
topology_10_prestress,26,0.8675336837768555,0.07238386194492667,0.06672355710781505,-0.5990745756057507,1.2253594446409672,5
topology_10_prestress,27,0.9008939266204834,0.0750637416854881,0.06745648588602443,-0.4440339411176087,0.9513326283144987,5
topology_10_prestress,27,0.9009003639221191,0.0750637416854881,0.06745648588602443,-0.4440339411176087,0.9513326283144987,5
topology_10_prestress,28,0.934260368347168,0.07750269649997192,0.07353238140551295,-0.32447392990250057,0.7441597976893773,5
topology_10_prestress,28,0.9342670440673828,0.07750269649997192,0.07353238140551295,-0.32447392990250057,0.7441597976893773,5
topology_10_prestress,29,0.9676268100738525,0.06739511627379528,0.07624409319497556,-0.2590489539383557,0.589132972636724,5
topology_10_prestress,29,0.9676337242126465,0.06739511627379528,0.07624409319497556,-0.2590489539383557,0.589132972636724,5
topology_10_prestress,30,1.000993251800537,0.04721788624706014,0.07597054019799193,-0.2740153205042889,0.5569811435300929,5
topology_10_prestress,30,1.0010004043579102,0.04721788624706014,0.07597054019799193,-0.2740153205042889,0.5569811435300929,5
