topology,amplitude,sample,hidden_node,reference_node,horizon_steps,M_0_5,M_0_10,M_0_relevant,M_total,peak_tau,memory_length_threshold_0p05
topology_10_prestress,amp=2.5,sample_0,10,0,5,5.170251080161904,7.689870214337848,5.170251080161904,9.190103147039792,0,16
topology_10_prestress,amp=2.5,sample_1,10,0,5,5.354725348119604,8.27860419107749,5.354725348119604,12.722074903411713,0,28
topology_10_prestress,amp=2.5,sample_2,10,0,5,5.316131739124658,7.816853966758058,5.316131739124658,12.621984969595543,0,30
topology_10_prestress,amp=2.5,sample_3,10,0,5,4.7098944905833795,4.7098944905833795,4.7098944905833795,5.69278490304532,0,15
topology_10_prestress,amp=2.5,sample_4,10,0,5,5.3192191039476775,8.146742401037294,5.3192191039476775,11.33714024015473,0,29
