topology,amplitude,H,D,num_samples,number_of_terms,target_time_delays,train_nmse_2d_mean,train_nmse_2d_std,validation_nmse_2d_mean,validation_nmse_2d_std,condition_number_mean,condition_number_std
topology_17_prestress,amp=1,0,1,4,1,[5],0.6966932015968146,0.012089343951910502,0.41875541516985065,0.004101737980086282,1.0,0.0
topology_17_prestress,amp=1,0,2,4,2,[5],0.6941209201827526,0.012127657733901159,0.43921687888059374,0.004298540952951922,2.037142287586259,0.03185227192832325
topology_17_prestress,amp=1,0,3,4,3,[5],0.6940264357771588,0.012161186714020495,0.44430361825999176,0.0036492501033480755,27.16178061875659,0.5382686483133496
topology_17_prestress,amp=1,1,1,4,2,"[5, 6]",0.6839389203483348,0.012575777566630251,0.4058209686164888,0.004039588876319983,74.3393999505832,0.16943292273968022
topology_17_prestress,amp=1,1,2,4,5,"[5, 6]",0.678449810675231,0.01247659074133992,0.42883753580823514,0.004429264821759158,12411.102361478486,134.8584957404397
topology_17_prestress,amp=1,1,3,4,9,"[5, 6]",0.6744127283594062,0.012557115450498106,0.4452529007940725,0.00544333982685434,14249906.097187597,5103093.1117376685
topology_17_prestress,amp=1,2,1,4,3,"[5, 6, 7]",0.6374404212086404,0.011085270687117059,0.3894005601751601,0.0035820142200382763,370.47186647536626,2.194321477878596
topology_17_prestress,amp=1,2,2,4,9,"[5, 6, 7]",0.6302698656355054,0.01101008867433266,0.40463523831299386,0.0035673837197520756,231593.06507082796,10502.36965918716
topology_17_prestress,amp=1,2,3,4,19,"[5, 6, 7]",0.6131199546973384,0.011065007295346947,0.4488866682511109,0.003536941381855075,2127151367.3791833,3558337521.6231236
topology_17_prestress,amp=1,3,1,4,4,"[5, 6, 7, 8]",0.6329536810719454,0.011137099903646102,0.39285513473557476,0.003868535108905552,1009.3221730291559,18.015337410611327
topology_17_prestress,amp=1,3,2,4,14,"[5, 6, 7, 8]",0.6143229014351265,0.010520359917971482,0.41570263046545763,0.004760238989017582,1472651.3298350207,103381.29981094829
topology_17_prestress,amp=1,3,3,4,34,"[5, 6, 7, 8]",0.5633366491785303,0.010857813448928387,0.5067621096971175,0.012143708389502378,802815450.4171544,964817262.351575
topology_17_prestress,amp=1,4,1,4,5,"[5, 6, 7, 8, 9]",0.6048807630360765,0.010091299808761525,0.40651429729505717,0.005093472767491882,1810.6587605587092,58.75462381301841
topology_17_prestress,amp=1,4,2,4,20,"[5, 6, 7, 8, 9]",0.5763436954187854,0.009235967250284033,0.43162877420978113,0.006074898582090302,4651854.464325027,331404.73964362807
topology_17_prestress,amp=1,4,3,4,55,"[5, 6, 7, 8, 9]",0.49428897274188416,0.00826407482000028,0.6218405217123348,0.022193647132675763,282104645.31338966,176604377.06766585
topology_17_prestress,amp=1,5,1,4,6,"[5, 6, 7, 8, 9, 10]",0.5898928432677548,0.009675845185651923,0.40519188493496383,0.004700447352662035,2786.7210029252597,132.51790555697605
topology_17_prestress,amp=1,5,2,4,27,"[5, 6, 7, 8, 9, 10]",0.5479191634388819,0.008610294687108225,0.45391678025401205,0.006167705273508913,9899407.311044935,877171.2460490261
topology_17_prestress,amp=1,5,3,4,83,"[5, 6, 7, 8, 9, 10]",0.43142014729531375,0.008698711462145119,0.8858916582225671,0.030888994045713263,1219134601.159712,545633500.6424911
topology_17_prestress,amp=1,6,1,4,7,"[5, 6, 7, 8, 9, 10, 11]",0.578571869359321,0.009010870024816334,0.4099911364685604,0.005010055456546945,4102.179092691395,271.7480884200006
topology_17_prestress,amp=1,6,2,4,35,"[5, 6, 7, 8, 9, 10, 11]",0.531041853065314,0.0074298226501932655,0.46140349555695676,0.006990773373934045,21139059.97553952,1787940.0564935813
topology_17_prestress,amp=1,6,3,4,119,"[5, 6, 7, 8, 9, 10, 11]",0.3624002711495611,0.003500872988256995,1.0662765104589993,0.04799838465611854,2692096859.9641585,3063405123.82165
topology_17_prestress,amp=1,7,1,4,8,"[5, 6, 7, 8, 9, 10, 11, 12]",0.5677291051958727,0.008151948270165953,0.4011748172975097,0.004873214862844967,5402.677896373527,435.93379870042276
topology_17_prestress,amp=1,7,2,4,44,"[5, 6, 7, 8, 9, 10, 11, 12]",0.5112346086736992,0.007071517756054293,0.45892099455971647,0.007126824847904895,40525494.84590609,11184129.678522855
topology_17_prestress,amp=1,7,3,4,164,"[5, 6, 7, 8, 9, 10, 11, 12]",0.2614824284982743,0.0021907053794208205,1.3770750661250368,0.1319184284958601,2343161523.145852,937197005.2549082
topology_17_prestress,amp=1,8,1,4,9,"[5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5651382062680171,0.00858433490646614,0.39855862982085183,0.004851950603824715,6656.965609288547,616.3995343365041
topology_17_prestress,amp=1,8,2,4,54,"[5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4912396768502746,0.007503244805195235,0.46449732037663166,0.007537559912318355,125200139.79555166,80403685.1772963
topology_17_prestress,amp=1,8,3,4,219,"[5, 6, 7, 8, 9, 10, 11, 12, 13]",0.1596252802679594,0.004198501040207701,1.9958506194707084,0.0897727726381809,178883320761.5307,304177428132.2628
topology_17_prestress,amp=1,9,1,4,10,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5572514651868312,0.008129379691085738,0.4037130431707182,0.005099417492053083,7747.339052242686,765.3444194459673
topology_17_prestress,amp=1,9,2,4,65,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.4655603086834337,0.007939601203015751,0.4831013080561404,0.00981284546966649,202918944.71371308,150448471.0391944
topology_17_prestress,amp=1,9,3,4,285,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.07747844993529157,0.003552346652402666,3.005112017731728,0.1923542996588681,14053575893.444286,8215086827.6476345
topology_17_prestress,amp=1,10,1,4,11,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.5541672982878671,0.00781865116433643,0.4028441005208736,0.005223908173102225,8703.452821078818,887.9859124343913
topology_17_prestress,amp=1,10,2,4,77,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.447471839608045,0.007763894122500586,0.5057555383449754,0.010931429829359381,226449438.1542815,134005238.75681908
topology_17_prestress,amp=1,10,3,4,363,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.013210416307818024,0.0009405751209417037,6.498015538709513,0.5223318151141633,18064182430.472458,10361167673.78907
topology_17_prestress,amp=1,11,1,4,12,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.5412833089108611,0.007830800094818575,0.404941456291974,0.005595466962643995,9659.468632489861,1009.9657852013544
topology_17_prestress,amp=1,11,2,4,90,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.4133920499975108,0.006808828219410297,0.5495366651224088,0.01229245597178485,660677993.519891,476310319.0230636
topology_17_prestress,amp=1,11,3,4,454,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.0003027917419955622,2.6284565546528233e-05,8.291138004995492,0.5498304040825926,255804262760.96463,397393110689.5461
topology_17_prestress,amp=1,12,1,4,13,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",0.5238855223919996,0.006559732987218955,0.4015157705664592,0.005922011781821097,10593.449073659349,1129.8875778001768
topology_17_prestress,amp=1,12,2,4,104,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",0.3804864085841241,0.010290179624619781,0.5464229435157998,0.01833559276083968,526361359.86342347,302709275.71425945
topology_17_prestress,amp=1,12,3,4,559,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",9.213771209707923e-06,1.7144761780679054e-06,10.429610575211491,1.6734352276106768,149979461806.65692,120937918680.53842
topology_17_prestress,amp=1,13,1,4,14,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",0.5183151659351055,0.0069150873649797915,0.4062024115238604,0.006148232519166912,11650.164379568241,1269.7294865945184
topology_17_prestress,amp=1,13,2,4,119,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",0.3460600990948534,0.008248476885815714,0.618955333113611,0.014754987803628735,599304924.8932371,476836256.9166367
topology_17_prestress,amp=1,13,3,4,679,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",8.875309447314063e-07,1.3735373699444976e-07,8.524025895038545,0.503571416153022,75551636510.16597,58552557553.083244
topology_17_prestress,amp=1,14,1,4,15,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.5048630984021456,0.006407249455207916,0.4168457208175187,0.007137857899433204,12821.97684912136,1424.1714458830545
topology_17_prestress,amp=1,14,2,4,135,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.3204966393812313,0.007073074987353112,0.6944053623374722,0.017028019962210553,8429780812.858895,8736022257.528807
topology_17_prestress,amp=1,14,3,4,815,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1.3220081564907115e-07,9.086234156734212e-09,6.980041981252853,0.7342724762526208,1948794744780.5828,2835020855761.384
topology_17_prestress,amp=1,15,1,4,16,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.5000892780038827,0.006077348905109358,0.41639286539395015,0.007161850988031551,13968.999431676652,1585.4069244661334
topology_17_prestress,amp=1,15,2,4,152,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.2876102891389027,0.004974133853164844,0.7545029112264261,0.0177205458565545,7666546769.058213,11023036489.02893
topology_17_prestress,amp=1,15,3,4,968,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",1.6767956335429286e-08,5.861613399202203e-10,6.821366189363385,0.3713752512984545,140700871808.97217,75599519219.83318
