sample,Q_extra,D,horizon_steps,lag_stride_frames,target_delay_frames_min,target_delay_frames_max,target_delay_set_frames,max_lag_frames,number_of_terms,status,selected_alpha,min_cv_train_rows,window_rows,terms_per_min_cv_train_row,train_nmse_x_mean,train_nmse_x_std,val_nmse_x_mean,val_nmse_x_std,train_nmse_y_mean,train_nmse_y_std,val_nmse_y_mean,val_nmse_y_std,train_nmse_2d_mean,train_nmse_2d_std,val_nmse_2d_mean,val_nmse_2d_std,train_val_gap_2d
sample_0,0,1,5,1,5,5,[5],0,1,ok,0.0001,449,599,0.0022271714922048997,0.31226187367782926,0.04335544526709742,0.4094516899538311,0.12676664529757517,0.548651148015511,0.04965914940277587,0.6188833793037485,0.10711427030423619,0.32000883208738284,0.043879842997367,0.41721510811547957,0.12567505098916268,0.09720627602809673
sample_0,1,1,5,1,5,6,"[5, 6]",1,2,ok,0.01,448,598,0.004464285714285714,0.30622862218725616,0.043337891755161825,0.4042916967580813,0.12734044297195737,0.5292111057210199,0.04685434799662745,0.6001966827522174,0.1001187534279554,0.31352997337695193,0.04376765190258665,0.41151195181616185,0.1261596194073575,0.09798197843920992
sample_0,2,1,5,1,5,7,"[5, 6, 7]",2,3,ok,0.01,447,597,0.006711409395973154,0.30588439939806933,0.043226475721885836,0.4038940746492467,0.12562034650127146,0.49873023270398953,0.044546344432108385,0.568497875459945,0.09820820901187745,0.31219156608969073,0.04353504376284729,0.4099069432536292,0.12451729591839676,0.09771537716393847
sample_0,3,1,5,1,5,8,"[5, 6, 7, 8]",3,4,ok,0.01,447,596,0.008948545861297539,0.30532363431301374,0.04297540176410469,0.4033835580378236,0.12514596969402897,0.49476537647895646,0.04353111543109368,0.5678314259884472,0.09616311551762975,0.3115205392412741,0.04325020992519121,0.4094201187602148,0.12393261095147663,0.09789957951894068
sample_0,4,1,5,1,5,9,"[5, 6, 7, 8, 9]",4,5,ok,0.01,446,595,0.011210762331838564,0.30448148324457913,0.0439508689494129,0.4054391668269411,0.12852349241533478,0.4902758783052412,0.040885629677680786,0.5650150385638847,0.08906999547165918,0.31055168676356604,0.044111406773329254,0.411239000500046,0.12702021085760984,0.10068731373647999
sample_0,5,1,5,1,5,10,"[5, 6, 7, 8, 9, 10]",5,6,ok,0.01,445,594,0.01348314606741573,0.30133373363116633,0.04260190278739368,0.401412586461927,0.12436541441100882,0.4878097037783929,0.039605267812459065,0.5628848478166818,0.08665020037137168,0.3074220672638067,0.04275343184461437,0.4072571178286399,0.12280251201660965,0.09983505056483316
sample_0,6,1,5,1,5,11,"[5, 6, 7, 8, 9, 10, 11]",6,7,ok,0.01,444,593,0.015765765765765764,0.30127938626795914,0.04256276619700336,0.4015545444778357,0.12379324794476443,0.48345666481349325,0.03815012635393498,0.5591379898166178,0.08383718145443335,0.30722123588795003,0.04262815339851319,0.4072375711551159,0.12198254723422061,0.10001633526716586
sample_0,7,1,5,1,5,12,"[5, 6, 7, 8, 9, 10, 11, 12]",7,8,ok,0.01,444,592,0.018018018018018018,0.2998221980991381,0.042130968339943384,0.3991040705023797,0.1222221607426228,0.48108429958337817,0.037340277183688826,0.5561973095305838,0.08168992070870079,0.3057327113671082,0.04218182092553273,0.40475928655745474,0.1204362205210382,0.09902657519034652
sample_0,8,1,5,1,5,13,"[5, 6, 7, 8, 9, 10, 11, 12, 13]",8,9,ok,0.01,443,591,0.020316027088036117,0.29914129060259037,0.04219482995410478,0.3978592204614904,0.121072674457686,0.48107403760287737,0.03883181126319449,0.5570366769849097,0.08670454542695064,0.30507672743842923,0.042311782572791806,0.4036230320989562,0.11959796762026575,0.098546304660527
sample_0,9,1,5,1,5,14,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",9,10,ok,0.01,442,590,0.02262443438914027,0.29829050084096626,0.04158133108551796,0.39716268438412844,0.11996964261790224,0.4804230085250968,0.038838410751987656,0.5585209663396629,0.08741058106298062,0.30423496230344604,0.04171782213527775,0.40301552587368306,0.1185549356078996,0.09878056357023701
