sample,Q_extra,D,horizon_steps,lag_stride_frames,target_delay_frames_min,target_delay_frames_max,target_delay_set_frames,selected_alpha,full_window_nmse_x,full_window_nmse_y,full_window_nmse_2d,cv_val_nmse_2d_mean,cv_val_nmse_2d_std
sample_0,0,1,5,1,5,5,[5],0.0001,0.3019878328392552,0.5395681604873519,0.3096475831650405,0.41721510811547957,0.12567505098916268
sample_1,0,1,5,1,5,5,[5],0.0001,0.3035133854810183,0.5220816699722529,0.3108305594893977,0.41729967052903433,0.12488664236090577
sample_2,0,1,5,1,5,5,[5],1e-10,0.30195823262816335,0.53212849793338,0.30941985466424315,0.41404058573719305,0.12263939089004823
sample_3,0,1,5,1,5,5,[5],1.0,0.3032683104784749,0.5328408538819801,0.31190531079506567,0.4204612085414202,0.12194318541692058
sample_4,0,1,5,1,5,5,[5],0.0001,0.30232963298615023,0.5340159750683783,0.30991224502570397,0.41573199439128766,0.12336734592831744
