sample,basis_index,basis_term,total_degree,Q_extra,max_effective_delay_Q,target_delay_frames,p_alpha_norm_sq,basis_contribution_weight_x,basis_contribution_weight_y,basis_contribution_weight_2d
sample_0,0,P1(u[target-5]),1,0,0,5,276.54547119140625,0.6980181265772155,0.4604357579998528,0.6903583104504913
sample_1,0,P1(u[target-5]),1,0,0,5,274.4580993652344,0.6965721146931332,0.4779772410508626,0.6892540505398483
sample_2,0,P1(u[target-5]),1,0,0,5,277.3975830078125,0.6980745876046348,0.46789307431252747,0.6906126009331548
sample_3,0,P1(u[target-5]),1,0,0,5,272.60101318359375,0.6919495230515825,0.4639525367959677,0.683371798497604
sample_4,0,P1(u[target-5]),1,0,0,5,274.7476501464844,0.697756911115195,0.4660421260240814,0.690173368195125
