topology,amplitude,target_component,group_type,group_value,num_samples,c_alpha_x_sum_mean,c_alpha_x_sum_std,IPC_alpha_clipped_sum_mean,IPC_alpha_clipped_sum_std,weighted_contribution_x_sum_mean,weighted_contribution_x_sum_std
topology_10_prestress,amp=2.5,x,degree,1,5,1.9585171457380057,0.021621045773034163,2.8923335733213213,0.014235002364860078,1.9489152033403538,0.020852580659681208
topology_10_prestress,amp=2.5,x,readout_time_delay,0,5,1.637795376777649,0.01327635296513998,0.9999690508721313,4.9892730970714455e-05,1.6377450962139228,0.013326154421542821
topology_10_prestress,amp=2.5,x,readout_time_delay,1,5,0.30916550755500793,0.00814009602231046,0.9721402984581673,0.004578614965851411,0.30053953040270215,0.0075072858911775075
topology_10_prestress,amp=2.5,x,readout_time_delay,2,5,0.011556261405348777,0.0006646977896276957,0.9202242239910232,0.009855781201147398,0.010630576723728854,0.0005516499375296245
topology_10_prestress,amp=2.5,x,target_time_delay,5,5,1.637795376777649,0.01327635296513998,0.9999690508721313,4.9892730970714455e-05,1.6377450962139228,0.013326154421542821
topology_10_prestress,amp=2.5,x,target_time_delay,6,5,0.30916550755500793,0.00814009602231046,0.9721402984581673,0.004578614965851411,0.30053953040270215,0.0075072858911775075
topology_10_prestress,amp=2.5,x,target_time_delay,7,5,0.011556261405348777,0.0006646977896276957,0.9202242239910232,0.009855781201147398,0.010630576723728854,0.0005516499375296245
topology_17_prestress,amp=1,x,degree,1,5,7.32734397649765,0.12682488206434614,2.7788502823855614,0.26100946541544245,7.082904120955834,0.31760676198539434
topology_17_prestress,amp=1,x,readout_time_delay,0,5,3.1419591426849367,0.01205849699083401,0.9999993077562594,9.110975810512793e-08,3.141956968431672,0.012058683193919568
topology_17_prestress,amp=1,x,readout_time_delay,1,5,3.397903633117676,0.08648209185319063,0.9713722632896156,0.013132340630902689,3.301242029154923,0.11402500044827364
topology_17_prestress,amp=1,x,readout_time_delay,2,5,0.7874812006950378,0.03345634306881613,0.8074787113396866,0.24788509040848053,0.6397051233692398,0.20388687657264304
topology_17_prestress,amp=1,x,target_time_delay,5,5,3.1419591426849367,0.01205849699083401,0.9999993077562594,9.110975810512793e-08,3.141956968431672,0.012058683193919568
topology_17_prestress,amp=1,x,target_time_delay,6,5,3.397903633117676,0.08648209185319063,0.9713722632896156,0.013132340630902689,3.301242029154923,0.11402500044827364
topology_17_prestress,amp=1,x,target_time_delay,7,5,0.7874812006950378,0.03345634306881613,0.8074787113396866,0.24788509040848053,0.6397051233692398,0.20388687657264304
