topology,amplitude,sample,target_component,group_type,group_value,c_alpha_x_sum,IPC_alpha_clipped_sum,weighted_contribution_x_sum,num_terms,basis_nmse_x,basis_adequacy_label_x
topology_10_prestress,amp=2.5,sample_0,x,degree,1,1.9970005545765162,2.8688071518647575,1.9847536701860138,3,0.2957550879601289,partial
topology_10_prestress,amp=2.5,sample_0,x,readout_time_delay,2,0.012515077367424965,0.902841060052143,0.011299125717040538,1,0.2957550879601289,partial
topology_10_prestress,amp=2.5,sample_0,x,target_time_delay,7,0.012515077367424965,0.902841060052143,0.011299125717040538,1,0.2957550879601289,partial
topology_10_prestress,amp=2.5,sample_0,x,readout_time_delay,1,0.32374700903892517,0.9659754836142307,0.31273167362503645,1,0.2957550879601289,partial
topology_10_prestress,amp=2.5,sample_0,x,target_time_delay,6,0.32374700903892517,0.9659754836142307,0.31273167362503645,1,0.2957550879601289,partial
topology_10_prestress,amp=2.5,sample_0,x,readout_time_delay,0,1.660738468170166,0.9999906081983839,1.6607228708439368,1,0.2957550879601289,partial
topology_10_prestress,amp=2.5,sample_0,x,target_time_delay,5,1.660738468170166,0.9999906081983839,1.6607228708439368,1,0.2957550879601289,partial
topology_10_prestress,amp=2.5,sample_1,x,degree,1,1.948874119669199,2.908060791476546,1.9412916913456166,3,0.29731203299001185,partial
topology_10_prestress,amp=2.5,sample_1,x,readout_time_delay,2,0.011648956686258316,0.9301048279466758,0.01083475085443057,1,0.29731203299001185,partial
topology_10_prestress,amp=2.5,sample_1,x,target_time_delay,7,0.011648956686258316,0.9301048279466758,0.01083475085443057,1,0.29731203299001185,partial
topology_10_prestress,amp=2.5,sample_1,x,readout_time_delay,1,0.3068811297416687,0.9779584748777332,0.3001170016109181,1,0.29731203299001185,partial
topology_10_prestress,amp=2.5,sample_1,x,target_time_delay,6,0.3068811297416687,0.9779584748777332,0.3001170016109181,1,0.29731203299001185,partial
topology_10_prestress,amp=2.5,sample_1,x,readout_time_delay,0,1.630344033241272,0.9999974886521369,1.630339938880268,1,0.29731203299001185,partial
topology_10_prestress,amp=2.5,sample_1,x,target_time_delay,5,1.630344033241272,0.9999974886521369,1.630339938880268,1,0.29731203299001185,partial
