topology,amplitude,sample,target_component,hidden_node,reference_node,horizon_steps,H_cut,D_cut,basis_index,basis_term,total_degree,max_readout_time_delay,max_target_time_delay,max_lag_frames,exponents,coefficient_x,p_alpha_centered_norm_sq,target_x_centered_norm_sq,c_alpha_x,IPC_alpha_raw,IPC_alpha_clipped,weighted_contribution_x_raw,weighted_contribution_x_clipped,basis_nmse_x,basis_R2_x,task_ridge_alpha,ipc_ridge_alpha,basis_adequacy_label_x
topology_10_prestress,amp=2.5,sample_0,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,15.091229438781738,276.4783020019531,5031260.056144705,0.012515077367424965,0.902841060052143,0.902841060052143,0.011299125717040538,0.011299125717040538,0.2957550879601289,0.704244912039871,0.1,1e-06,partial
topology_10_prestress,amp=2.5,sample_0,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,-76.8019027709961,276.1458740234375,5031260.056144705,0.32374700903892517,0.9659754836142307,0.9659754836142307,0.31273167362503645,0.31273167362503645,0.2957550879601289,0.704244912039871,0.1,1e-06,partial
topology_10_prestress,amp=2.5,sample_0,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,173.9992218017578,275.9836730957031,5031260.056144705,1.660738468170166,0.9999906081983839,0.9999906081983839,1.6607228708439368,1.6607228708439368,0.2957550879601289,0.704244912039871,0.1,1e-06,partial
topology_10_prestress,amp=2.5,sample_1,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,14.564745903015137,274.37042236328125,4996387.245677497,0.011648956686258316,0.9301048279466758,0.9301048279466758,0.01083475085443057,0.01083475085443057,0.29731203299001185,0.7026879670099881,0.1,1e-06,partial
topology_10_prestress,amp=2.5,sample_1,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,-74.80377197265625,274.0180969238281,4996387.245677497,0.3068811297416687,0.9779584748777332,0.9779584748777332,0.3001170016109181,0.3001170016109181,0.29731203299001185,0.7026879670099881,0.1,1e-06,partial
topology_10_prestress,amp=2.5,sample_1,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,172.4798583984375,273.8158264160156,4996387.245677497,1.630344033241272,0.9999974886521369,0.9999974886521369,1.630339938880268,1.630339938880268,0.29731203299001185,0.7026879670099881,0.1,1e-06,partial
topology_10_prestress,amp=2.5,sample_2,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,14.710368156433105,277.2646789550781,5020667.434608974,0.011950337328016758,0.9243115703181041,0.9243115703181041,0.011045835061490225,0.011045835061490225,0.2961127114837593,0.7038872885162407,0.1,1e-06,partial
topology_10_prestress,amp=2.5,sample_2,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,-75.02592468261719,277.0022277832031,5020667.434608974,0.3105592727661133,0.9747435286065421,0.9747435286065421,0.3027156413775229,0.3027156413775229,0.2961127114837593,0.7038872885162407,0.1,1e-06,partial
topology_10_prestress,amp=2.5,sample_2,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,172.2958984375,276.8877868652344,5020667.434608974,1.6371642351150513,0.9999913396049458,0.9999913396049458,1.6371500566260067,1.6371500566260067,0.2961127114837593,0.7038872885162407,0.1,1e-06,partial
topology_10_prestress,amp=2.5,sample_3,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,14.063085556030273,272.4413757324219,4882826.937836627,0.011034761555492878,0.9163040803709179,0.9163040803709179,0.010111197039218261,0.010111197039218261,0.29708692772287115,0.7029130722771288,0.1,1e-06,partial
topology_10_prestress,amp=2.5,sample_3,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,-73.29244232177734,272.0899353027344,4882826.937836627,0.29933640360832214,0.9675740129358732,0.9675740129358732,0.28963012525709647,0.28963012525709647,0.29708692772287115,0.7029130722771288,0.1,1e-06,partial
topology_10_prestress,amp=2.5,sample_3,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,170.62057495117188,271.8310241699219,4882826.937836627,1.6206547021865845,0.9998694119720929,0.9998694119720929,1.6204430640851075,1.6204430640851075,0.29708692772287115,0.7029130722771288,0.1,1e-06,partial
